Resource,onshore_wind,solar_pv_sat,hydro,battery,pumped_hydro
t150,0.0,0.0,-0.0,-0.0,-0.0
t151,0.0,0.0,0.0,-0.0,0.0
t152,0.0,0.0,-0.0,-0.0,-0.0
t153,0.0,0.0,0.0,-0.0,0.0
t154,0.0,0.0,-0.0,-0.0,-0.0
t155,0.0,0.0,0.0,-0.0,0.0
t156,0.0,0.0,-0.0,-0.0,-0.0
t157,0.0,0.0,-0.0,-0.0,-0.0
t158,0.0,0.0,0.0,-0.0,0.0
t159,0.0,0.0,-0.0,-0.0,-0.0
t160,0.0,0.0,0.0,-0.0,0.0
t161,0.0,0.0,-0.0,-0.0,-0.0
t162,0.0,0.0,0.0,-0.0,0.0
t163,0.0,0.0,-0.0,-0.0,-0.0
t164,0.0,0.0,0.0,-0.0,-0.0
t165,0.0,0.0,-0.0,-0.0,-0.0
t166,0.0,0.0,-0.0,-0.0,236.03456750836568
t167,0.0,0.0,0.0,-0.0,236.03456750836568
t168,0.0,0.0,-0.0,-0.0,477.44460829848
t169,0.0,0.0,0.0,-0.0,718.6946448140636
t170,0.0,0.0,-0.0,-0.0,966.5117744654572
t171,0.0,0.0,0.0,-0.0,1220.8959976403073
t172,0.0,0.0,-0.0,-0.0,1481.7914412482828
t173,0.0,0.0,0.0,-0.0,1749.2723335380194
t174,0.0,0.0,-0.0,-0.0,2023.329852865359
t175,0.0,0.0,-0.0,-0.0,2303.845391407533
t176,0.0,0.0,0.0,-0.0,2587.6486704557187
t177,0.0,0.0,-0.0,-0.0,2874.655390524453
t178,0.0,0.0,0.0,-0.0,3164.873686919311
t179,0.0,0.0,-0.0,-0.0,3458.477844044064
t180,0.0,0.0,0.0,-0.0,3755.3988685972836
t181,0.0,0.0,-0.0,-0.0,4055.596416746076
t182,0.0,0.0,0.0,-0.0,4359.538727863726
t183,0.0,0.0,-0.0,-0.0,4667.3826381676
t184,0.0,0.0,-0.0,-0.0,4979.00169887832
t185,0.0,0.0,0.0,-0.0,5294.461548861897
t186,0.0,0.0,-0.0,-0.0,5613.764148562431
t187,0.0,0.0,0.0,-0.0,5936.864897897528
t188,0.0,0.0,-0.0,-0.0,6252.963100939507
t189,0.0,0.0,0.0,-0.0,6562.005335342027
t190,0.0,0.0,-0.0,-0.0,6863.904361341125
t191,0.0,0.0,0.0,-0.0,7158.70501711813
t192,0.0,0.0,-0.0,-0.0,7446.44847216592
t193,0.0,0.0,-0.0,-0.0,7727.021510348495
t194,0.0,0.0,0.0,-0.0,7986.741814642703
t195,0.0,0.0,-0.0,-0.0,8225.587330395603
t196,0.0,0.0,0.0,-0.0,8443.340937001405
t197,0.0,0.0,-0.0,-0.0,8640.060045293863
t198,0.0,0.0,0.0,-0.0,8815.760829424527
t199,0.0,0.0,-0.0,-0.0,8970.300666008092
t200,0.0,0.0,0.0,-0.0,9106.115483222984
t201,0.0,0.0,-0.0,-0.0,9223.153818955849
t202,0.0,0.0,-0.0,-0.0,9321.355389715893
t203,0.0,0.0,0.0,-0.0,9400.682904145655
t204,0.0,0.0,-0.0,-0.0,9461.175570895146
t205,0.0,0.0,0.0,-0.0,9500.6242384699
t206,0.0,0.0,-0.0,-0.0,9525.925411849781
t207,0.0,0.0,0.0,-0.0,9537.064278856951
t208,0.0,0.0,-0.0,-0.0,9532.271850648292
t209,0.0,0.0,0.0,-0.0,9505.386887997643
t210,0.0,0.0,-0.0,-0.0,9456.600523602134
t211,0.0,0.0,-0.0,-0.0,9385.839504514634
t212,0.0,0.0,0.0,-0.0,9314.570706877133
t213,0.0,0.0,-0.0,-0.0,9243.076711627133
t214,0.0,0.0,0.0,-0.0,9171.258918389633
t215,0.0,0.0,-0.0,-0.0,9099.047729264632
t216,0.0,0.0,0.0,-0.0,9026.586362702132
