Resource,onshore_wind,solar_pv_sat,hydro,battery,pumped_hydro,Total
t125,189.23968913096738,2898.692253923124,0.0,0.0,0.0,3087.9319430540913
t126,179.92788204620786,2927.573313839401,0.0,0.0,0.0,3107.501195885609
t127,170.6160749614483,2956.446889327975,0.0,0.0,0.0,3127.0629642894232
t128,161.30426787668875,3086.5751393603564,0.0,0.0,0.0,3247.879407237045
t129,151.9924607919292,3216.764202132738,0.0,0.0,0.0,3368.756662924667
t130,142.68065370716965,3346.887604745119,0.0,0.0,0.0,3489.568258452289
t131,133.36884393305468,3477.0148654452028,0.0,0.0,0.0,3610.3837093782577
t132,124.05703684829513,3607.119658837584,0.0,0.0,0.0,3731.176695685879
t133,114.74522976353558,3737.2403164599655,0.0,0.0,0.0,3851.985546223501
t134,117.81768117454544,3714.30528379056,0.0,0.0,0.0,3832.122964965106
t135,120.8901352749107,3691.438562283453,0.0,0.0,0.0,3812.3286975583637
t136,123.96258668592057,3668.5705117640473,0.0,0.0,0.0,3792.533098449968
t137,127.0350380969304,3645.682165624643,0.0,0.0,0.0,3772.7172037215732
t138,130.10748950794027,3622.8295209175353,0.0,0.0,0.0,3752.937010425476
t139,133.17994360830554,3599.9777505381303,0.0,0.0,0.0,3733.157694146436
t140,136.2523950193154,3608.163983730121,0.0,0.0,0.0,3744.4163787494363
t141,139.32484643032524,3616.408392604409,0.0,0.0,0.0,3755.733239034734
t142,142.3972978413351,3624.6664553263995,0.0,0.0,0.0,3767.063753167735
t143,145.46975194170037,3632.87506238839,0.0,0.0,0.0,3778.3448143300902
t144,148.54220335271023,3641.1308283526782,0.0,0.0,0.0,3789.6730317053884
t145,151.61465476372007,3649.257470424669,0.0,0.0,0.0,3800.872125188389
t146,180.40219559368836,3690.221494792354,0.0,0.0,0.0,3870.623690386042
t147,209.18973642365665,3731.289510757742,0.0,0.0,0.0,3940.4792471813985
t148,237.97727725362498,3772.220925395428,0.0,0.0,0.0,4010.1982026490527
t149,266.76481539423787,3813.316673300815,0.0,0.0,0.0,4080.081488695053
t150,295.5523562242061,3854.2974128285005,0.0,0.0,0.0,4149.8497690527065
t151,324.3398970541744,3895.257433773888,0.0,0.0,0.0,4219.597330828063
t152,353.1274378841427,3902.349358518885,0.0,0.0,0.0,4255.476796403028
t153,381.914978714111,3909.510021101583,0.0,0.0,0.0,4291.424999815694
t154,410.7025195440793,3916.6270641665783,0.0,0.0,0.0,4327.329583710658
t155,439.4900576846922,3923.571767799277,0.0,0.0,0.0,4363.061825483969
t156,468.2775985146605,3930.600206104273,0.0,0.0,0.0,4398.877804618934
t157,497.0651393446288,3937.585451566971,0.0,0.0,0.0,4434.6505909116
t158,516.8277842835382,3935.480233648714,0.0,0.0,0.0,4452.308017932252
