Resource,onshore_wind,solar_pv_sat,hydro,battery,pumped_hydro,Total
t205,0.0,102.84082262844332,0.0,0.0,0.0,102.84082262844332
t206,0.0,85.70068902485168,0.0,0.0,0.0,85.70068902485168
t207,0.0,68.56054841896221,0.0,0.0,0.0,68.56054841896221
t208,0.0,51.42040781307275,0.0,0.0,3.8339425669272487,55.25435038
t209,0.0,34.28027420948111,0.0,0.0,21.50797012051889,55.78824433
t210,0.0,17.140133603591636,0.0,0.0,39.029091516408364,56.16922512
t211,0.0,0.0,0.0,0.0,56.60881527,56.60881527
t212,0.0,0.0,0.0,0.0,57.01503811,57.01503811
t213,0.0,0.0,0.0,0.0,57.1951962,57.1951962
t214,0.0,0.0,0.0,0.0,57.45423459,57.45423459
t215,0.0,0.0,0.0,0.0,57.7689513,57.7689513
t216,0.0,0.0,0.0,0.0,57.96909325,57.96909325
t217,0.0,0.0,0.0,0.0,58.29350472,58.29350472
t218,0.0,0.0,0.0,0.0,58.55883154,58.55883154
t219,0.0,0.0,0.0,0.0,58.73073587,58.73073587
t220,0.0,0.0,0.0,0.0,59.07406161,59.07406161
t221,0.0,0.0,0.0,0.0,59.41640294,59.41640294
t222,0.0,0.0,0.0,0.0,59.77064241,59.77064241
t223,0.0,0.0,0.0,0.0,60.16586436,60.16586436
t224,0.0,0.0,0.0,0.0,60.14183662,60.14183662
t225,0.0,0.0,0.0,0.0,60.12441895,60.12441895
t226,0.0,0.0,0.0,0.0,60.00124003,60.00124003
t227,0.0,0.0,0.0,0.0,59.94462669,59.94462669
t228,0.0,0.0,0.0,0.0,59.75537109,59.75537109
t229,0.0,0.0,0.0,0.0,59.45815086,59.45815086
t230,0.0,0.0,0.0,0.0,59.10999067,59.10999067
t231,0.0,0.0,0.0,0.0,58.92399779,58.92399779
t232,0.0,0.0,0.0,0.0,58.72258137,58.72258137
t233,0.0,0.0,0.0,0.0,58.55859426,58.55859426
t234,0.0,0.0,0.0,0.0,58.37213285,58.37213285
t235,0.0,0.0,0.0,0.0,58.21872186,58.21872186
t236,0.0,0.0,0.0,0.0,57.93608732,57.93608732
t237,0.0,0.0,0.0,0.0,57.80680666,57.80680666
t238,0.0,0.0,0.0,0.0,57.59115427,57.59115427
t239,0.0,0.0,0.0,0.0,57.38460847,57.38460847
t240,0.0,0.0,0.0,0.0,57.22389256,57.22389256
t241,0.0,0.0,0.0,0.0,56.98605905,56.98605905
t242,0.0,0.0,0.0,0.0,56.78458679,56.78458679
t243,0.0,0.0,0.0,0.0,56.61880895,56.61880895
t244,0.0,0.0,0.0,0.0,56.48608154,56.48608154
t245,0.0,0.0,0.0,0.0,56.30145204,56.30145204
t246,0.0,0.0,0.0,0.0,56.04851837,56.04851837
t247,0.0,0.0,0.0,0.0,55.85992283,55.85992283
t248,0.0,0.0,0.0,0.0,55.60513658,55.60513658
t249,0.0,0.0,0.0,0.0,55.33007941,55.33007941
t250,0.0,0.0,0.0,0.0,55.090276,55.090276
t251,0.0,0.0,0.0,0.0,54.81037888,54.81037888
t252,0.0,0.0,0.0,0.0,54.54854933,54.54854933
t253,0.0,0.0,0.0,0.0,54.25763541,54.25763541
t254,0.0,0.0,0.0,0.0,53.98387051,53.98387051
t255,0.0,0.0,0.0,0.0,53.57922603,53.57922603
t256,0.0,0.0,0.0,0.0,53.26447863,53.26447863
t257,0.0,0.0,0.0,0.0,52.82955336,52.82955336
t258,0.0,0.0,0.0,0.0,52.42767847,52.42767847
t259,0.0,0.0,0.0,0.0,52.05444729,52.05444729
t260,0.0,0.0,0.0,0.0,51.6817786,51.6817786
t261,0.0,0.0,0.0,0.0,51.29104234,51.29104234
t262,0.0,0.0,0.0,0.0,50.92586508,50.92586508
t263,0.0,0.0,0.0,0.0,50.43534889,50.43534889
t264,0.0,0.0,0.0,0.0,49.95408683,49.95408683
t265,0.0,0.0,0.0,0.0,49.43713034,49.43713034
t266,0.0,0.0,0.0,0.0,48.94264414,48.94264414
t267,0.0,0.0,0.0,0.0,48.51954683,48.51954683
t268,0.0,0.0,0.0,0.0,48.10173758,48.10173758
t269,0.0,0.0,0.0,0.0,47.69657804,47.69657804
t270,0.0,0.0,0.0,0.0,47.28568977,47.28568977
t271,0.0,0.0,0.0,0.0,46.88273361,46.88273361
t272,0.0,0.0,0.0,0.0,46.51570824,46.51570824
t273,0.0,0.0,0.0,0.0,45.95963459,45.95963459
t274,0.0,0.0,0.0,0.0,45.62477828,45.62477828
t275,0.0,0.0,0.0,0.0,45.20288998,45.20288998
t276,0.0,0.0,0.0,0.0,44.7669002,44.7669002
t277,0.0,0.0,0.0,0.0,44.13348934,44.13348934
t278,0.0,0.0,0.0,0.0,43.80376156,43.80376156
t279,0.0,0.0,0.0,0.0,43.42864457,43.42864457
t280,0.0,0.0,0.0,0.0,43.17823775,43.17823775
t281,0.0,0.0,0.0,0.0,42.94826548,42.94826548
t282,0.0,0.0,0.0,0.0,42.61914202,42.61914202
t283,0.0,0.0,0.0,0.0,42.46188064,42.46188064
t284,0.0,0.0,0.0,0.0,42.22563642,42.22563642
t285,0.0,0.0,0.0,0.0,41.92725744,41.92725744
t286,0.0,0.0,0.0,0.0,41.72538563,41.72538563
t287,0.0,0.0,0.0,0.0,41.52483582,41.52483582
t288,0.0,0.0,0.0,0.0,41.23615163,41.23615163
t289,0.0,0.0,0.0,0.0,40.89433885,40.89433885
t290,0.0,0.0,0.0,0.0,40.59056912,40.59056912
t291,0.0,0.0,0.0,0.0,40.38462857,40.38462857
t292,0.0,0.0,0.0,0.0,40.21173843,40.21173843
t293,0.0,0.0,0.0,0.0,39.99830556,39.99830556
t294,0.0,0.0,0.0,0.0,39.79192346,39.79192346
t295,0.0,0.0,0.0,0.0,39.57760925,39.57760925
t296,0.0,0.0,0.0,0.0,39.49047225,39.49047225
t297,0.0,0.0,0.0,0.0,39.3945218,39.3945218
t298,0.0,0.0,0.0,0.0,39.27257171,39.27257171
t299,0.0,0.0,0.0,0.0,39.14014051,39.14014051
t300,0.0,0.0,0.0,0.0,39.08923362,39.08923362
t301,0.0,0.0,0.0,0.0,38.95107367,38.95107367
t302,0.0,0.0,0.0,0.0,38.7608446,38.7608446
t303,0.0,0.0,0.0,0.0,38.70898653,38.70898653
t304,0.0,0.0,0.0,0.0,38.59146832,38.59146832
t305,0.0,0.0,0.0,0.0,38.57898239,38.57898239
t306,0.0,0.0,0.0,0.0,38.5532763,38.5532763
t307,0.0,0.0,0.0,0.0,38.50024852,38.50024852
t308,0.0,0.0,0.0,0.0,38.47690841,38.47690841
t309,0.0,0.0,0.0,0.0,38.40685704,38.40685704
t310,0.0,0.0,0.0,0.0,38.30022989,38.30022989
t311,0.0,0.0,0.0,0.0,38.34534632,38.34534632
t312,0.0,0.0,0.0,0.0,38.29219289,38.29219289
t313,0.0,0.0,0.0,0.0,38.30161487,38.30161487
t314,0.0,0.0,0.0,0.0,38.25261916,38.25261916
t315,0.0,0.0,0.0,0.0,38.20582681,38.20582681
t316,0.0,0.0,0.0,0.0,38.07574745,38.07574745
t317,0.0,0.0,0.0,0.0,38.08095425,38.08095425
t318,0.0,0.0,0.0,0.0,37.99009455,37.99009455
t319,0.0,0.0,0.0,0.0,37.99353866,37.99353866
t320,0.0,0.0,0.0,0.0,37.93248562,37.93248562
t321,0.0,0.0,0.0,0.0,37.91109307,37.91109307
t322,0.0,0.0,0.0,0.0,37.90997143,37.90997143
t323,0.0,0.0,0.0,0.0,37.90920652,37.90920652
t324,0.0,0.0,0.0,0.0,37.84586617,37.84586617
t325,0.0,0.0,0.0,0.0,37.92794758,37.92794758
t326,0.0,0.0,0.0,0.0,37.92409541,37.92409541
t327,0.0,0.0,0.0,0.0,37.92420928,37.92420928
t328,0.0,0.0,0.0,0.0,37.90757762,37.90757762
t329,0.0,0.0,0.0,0.0,37.94789721,37.94789721
t330,0.0,0.0,0.0,0.0,37.91021785,37.91021785
t331,0.0,0.0,0.0,0.0,37.95141877,37.95141877
t332,0.0,0.0,0.0,0.0,37.96265319,37.96265319
t333,0.0,0.0,0.0,0.0,38.00870071,38.00870071
t334,0.0,0.0,0.0,0.0,38.04417208,38.04417208
t335,0.0,0.0,0.0,0.0,38.08123675,38.08123675
t336,0.0,0.0,0.0,0.0,38.2099612,38.2099612
t337,0.0,0.0,0.0,0.0,38.37173605,38.37173605
t338,0.0,0.0,0.0,0.0,38.57300108,38.57300108
t339,0.0,0.0,0.0,0.0,38.69538579,38.69538579
t340,0.0,0.0,0.0,0.0,38.7803134,38.7803134
t341,0.0,0.0,0.0,0.0,38.8734622,38.8734622
t342,0.0,0.0,0.0,0.0,39.06532151,39.06532151
t343,0.0,0.0,0.0,0.0,39.26158754,39.26158754
t344,0.0,0.0,0.0,0.0,39.39683727,39.39683727
t345,0.0,0.0,0.0,0.0,39.49198585,39.49198585
t346,0.0,0.0,0.0,0.0,39.61798147,39.61798147
t347,0.0,0.0,0.0,0.0,39.82811739,39.82811739
t348,0.0,0.0,0.0,0.0,40.07042236,40.07042236
t349,0.0,0.0,0.0,0.0,40.47136928,40.47136928
t350,0.0,0.0,0.0,0.0,40.87366284,40.87366284
t351,0.0,0.0,0.0,0.0,41.21822841,41.21822841
t352,0.0,0.0,0.0,0.0,41.59187831,41.59187831
t353,0.0,0.0,0.0,0.0,41.91290414,41.91290414
t354,0.0,0.0,0.0,0.0,42.28813262,42.28813262
t355,0.0,0.0,0.0,0.0,42.79512206,42.79512206
t356,0.0,0.0,0.0,0.0,43.33624105,43.33624105
t357,0.0,0.0,0.0,0.0,43.78041218,43.78041218
t358,0.0,0.0,0.0,0.0,44.415835,44.415835
t359,0.0,0.0,0.0,0.0,44.9752961,44.9752961
t360,0.0,0.0,0.0,0.0,45.62377295,45.62377295
t361,0.0,0.0,0.0,0.0,46.54722914,46.54722914
t362,0.0,0.0,0.0,0.0,47.35471687,47.35471687
t363,0.0,0.0,0.0,0.0,47.98549512,47.98549512
t364,0.0,0.0,0.0,0.0,48.53210502,48.53210502
t365,0.0,0.0,0.0,0.0,48.95600998,48.95600998
t366,0.0,0.0,0.0,0.0,49.25388275,49.25388275
t367,0.0,0.0,0.0,0.0,49.79148111,49.79148111
t368,0.0,2.6879790711137552,0.0,0.0,47.51534217888624,50.20332125
t369,0.0,5.375965144525343,0.0,0.0,45.081876345474654,50.45784149
t370,0.0,8.063944215639099,0.0,0.0,42.7295011943609,50.79344541
t371,0.0,10.751923286752854,0.0,0.0,40.21388628324714,50.96580957
t372,0.0,13.43990936016444,0.0,0.0,37.74365359983556,51.18356296
t373,0.0,16.127888431278198,0.0,0.0,35.725557388721796,51.85344581999999
t374,0.0,40.93656749882261,0.0,0.0,11.429995231177386,52.36656273
t375,0.0,52.3865677,0.0,0.0,0.0,52.3865677
t376,0.0,52.48985966,0.0,0.0,0.0,52.48985966
t377,0.0,52.42997943,0.0,0.0,0.0,52.42997943
t378,0.0,52.42562388,0.0,0.0,0.0,52.42562388
t379,0.0,52.61736736,0.0,0.0,0.0,52.61736736
t380,0.0,52.6499554,0.0,0.0,0.0,52.6499554
t381,0.0,52.59484973,0.0,0.0,0.0,52.59484973
t382,0.0,52.52387985,0.0,0.0,0.0,52.52387985
t383,0.0,52.38920943,0.0,0.0,0.0,52.38920943
t384,0.0,52.31887711,0.0,0.0,0.0,52.31887711
t385,0.0,52.57287939,0.0,0.0,0.0,52.57287939
