Constraint,CapRes_1
t246,2.5023254287067414e-10
t247,2.496524705899347e-10
t248,2.490267429661286e-10
t249,2.2122880907408366e-10
t250,2.4769734849979005e-10
t251,2.439739289103123e-10
t252,2.437235572056831e-10
t253,2.1636070389242065e-10
t254,2.4502274873755684e-10
t255,2.457319220728768e-10
t256,2.438773250918568e-10
t257,2.2098838010642198e-10
t258,2.450804864986784e-10
t259,2.456278153681623e-10
t260,2.4642624077420067e-10
t261,2.448108858381927e-10
t262,2.453490142777324e-10
t263,2.443138538371621e-10
t264,2.434216809587636e-10
t265,2.4282712887936555e-10
t266,2.3929696952441125e-10
t267,2.385365236547054e-10
t268,2.3735751631356895e-10
t269,2.364376198801483e-10
t270,2.3527270060950084e-10
t271,2.313585371541791e-10
t272,2.304550652220353e-10
t273,2.2924638350820562e-10
t274,2.2827731620207264e-10
t275,2.2741175760339537e-10
t276,2.2351693156874428e-10
t277,2.2231164715853558e-10
t278,2.2157312089734304e-10
t279,2.2098765251999486e-10
t280,2.2087462396384922e-10
t281,2.180037461682272e-10
t282,2.1747429526349565e-10
t283,2.1752393575747503e-10
t284,2.1746144615848254e-10
t285,2.1744609468107616e-10
t286,2.1434139469254308e-10
t287,2.143010734714065e-10
t288,2.1413905168088509e-10
t289,2.1402465912696319e-10
t290,2.1375820075829998e-10
t291,2.110045772287024e-10
t292,2.1123200832825375e-10
t293,2.1151855231491932e-10
t294,2.1142785257216245e-10
t295,2.115073196229895e-10
t296,2.0919452125406115e-10
t297,2.097155689850179e-10
t298,2.0975786484188937e-10
t299,2.099252792582133e-10
t300,2.1033627588758038e-10
t301,2.0811251564254767e-10
t302,2.0784793177082817e-10
t303,2.0800783702435582e-10
t304,2.080911842886939e-10
t305,2.085373542003866e-10
t306,2.0590370406253457e-10
t307,2.0594209858788018e-10
t308,2.060046653288544e-10
t309,2.0602446309601248e-10
t310,2.054728089398162e-10
t311,2.0236246530491757e-10
t312,2.0128901339993418e-10
t313,2.0211400749439076e-10
t314,2.0412147466268086e-10
t315,2.0571312702959725e-10
t316,2.040432827746041e-10
t317,2.0550869003554708e-10
t318,2.0628343354365742e-10
t319,2.0726311804376656e-10
t320,2.0775189284306386e-10
t321,2.0596021445719535e-10
t322,2.0629592258940334e-10
t323,2.0619200441080936e-10
t324,2.0653954776387635e-10
t325,1.8627818200627344e-10
t326,2.0561792332656765e-10
t327,2.058209078767769e-10
t328,2.0610303825217865e-10
t329,1.8538214213479629e-10
t330,2.073335100114657e-10
t331,2.0536382940885628e-10
t332,2.0614908390234437e-10
t333,2.0746691344460537e-10
t334,2.0815177141322303e-10
t335,2.0907580971683337e-10
t336,2.0775644774979426e-10
t337,2.091978139379218e-10
t338,2.1029695079809123e-10
t339,2.114202044490051e-10
t340,2.1261938161035296e-10
t341,2.116474279202408e-10
t342,2.129063842998108e-10
t343,2.1300632153082854e-10
t344,2.1315905556768836e-10
t345,2.135594276796245e-10
t346,2.1106316177717687e-10
t347,2.1120524403057147e-10
t348,2.1108436905950623e-10
t349,2.1141332754730618e-10
t350,2.112326268637388e-10
t351,2.0759337435144392e-10
t352,2.0629968090753692e-10
t353,2.0737217534650037e-10
t354,2.1036371228653775e-10
t355,2.131184321801394e-10
t356,2.1127167864870705e-10
t357,2.1408233749986664e-10
t358,2.162644919987185e-10
t359,2.1856889657169509e-10
t360,2.21405812928876e-10
t361,2.2030750226169322e-10
t362,2.2330358919848477e-10
t363,2.2853014085950558e-10
t364,2.3594896841916454e-10
t365,2.408395386149336e-10
t366,2.3531678701158043e-10
t367,2.4491106590133634e-10
t368,2.511389578510063e-10
t369,2.423424089296399e-10
t370,2.342205997189351e-10
t371,2.126675112384848e-10
t372,2.1448098453743557e-10
t373,2.1377078267095168e-10
t374,2.0820226164380371e-10
t375,2.2500906294474518e-10
