Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,geothermal
t8678,0.0,0.0,0.0,0.0,2573.2790621565873,1.0330515843961445,76.10190234924197,40.141316192308246,0.0
t8679,0.0,0.0,0.0,0.0,2572.6345546254493,1.0347723983238362,76.20447293555333,40.249038073282186,0.0
t8680,0.0,0.0,0.0,0.0,2571.9921459043135,1.0365091110874696,76.30802529137594,40.141191187427026,0.0
t8681,0.0,0.0,0.0,0.0,2571.4479351073564,1.038270375002366,76.41675148884723,40.195783882467595,0.0
t8682,0.0,0.0,0.0,0.0,2570.7927813951273,1.0400114036469859,76.52011170454635,40.24171558771205,0.0
t8683,0.0,0.0,0.0,0.0,2570.13113775307,1.041753575152079,76.62330621774406,40.315157496006066,0.0
t8684,0.0,0.0,0.0,0.0,2569.472784020039,1.0434933216114604,76.72630642074836,40.46030308234967,0.0
t8685,0.0,0.0,0.0,0.0,2568.9095285672274,1.0452511771886501,76.83414307009475,40.35245303312921,0.0
t8686,0.0,0.0,0.0,0.0,2568.2368434958244,1.0470102836320334,76.93783899941333,40.30989199194629,0.0
t8687,0.0,0.0,0.0,0.0,2567.55783619297,1.0487684671476005,77.04124635589307,40.32639202987977,0.0
t8688,0.0,0.0,0.0,0.0,2566.88184821624,1.0505083467408212,77.14463909232154,40.35862395735046,0.0
t8689,0.0,0.0,0.0,0.0,2566.301188869238,1.0523279093425164,77.25298896729205,40.422695421984024,0.0
t8690,0.0,0.0,0.0,0.0,2565.626772236065,1.054117120721631,77.35740271076541,40.112354052788916,0.0
t8691,0.0,0.0,0.0,0.0,2564.9616924755846,1.055910038972854,77.462109731559,39.92741250447284,0.0
t8692,0.0,0.0,0.0,0.0,2564.3150212920227,1.0577082169958185,77.5672787568359,39.83451647333955,0.0
t8693,0.0,0.0,0.0,0.0,2563.7790278215757,1.0595289184937464,77.67564185047843,39.859799678737105,0.0
t8694,0.0,0.0,0.0,0.0,2563.1517255321414,1.0612681387661116,77.78279952512845,39.93264383319372,0.0
t8695,0.0,0.0,0.0,0.0,2562.5321182137473,1.063051256956035,77.88544736215083,39.717811844680725,0.0
t8696,0.0,0.0,0.0,0.0,2561.9303458298127,1.064823461376389,77.98908796855675,39.62743624617044,0.0
t8697,0.0,0.0,0.0,0.0,2561.4387541659803,1.0666434207180466,78.09749327618535,39.608766936614245,0.0
