BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t13787,56.893499557433714,14.946910007622508,-23.621724645056226,0.0,0.0,0.0,0.0,0.0,0.0,-48.21868492
t13788,56.87401252493141,15.5906689912785,-24.66650044620992,0.0,0.0,0.0,0.0,0.0,0.0,-47.79818107
t13789,56.85603870918409,16.219355892402078,-25.769106241586147,0.0,0.0,0.0,0.0,0.0,0.0,-47.30628836
t13790,56.82974548127606,16.842956266447107,-26.779216967723233,0.0,0.0,0.0,0.0,0.0,0.0,-46.89348478
t13791,56.813256476320205,17.387110325166386,-27.677381111486564,0.0,0.0,0.0,0.0,0.0,0.0,-46.52298569
t13792,56.709385317668506,18.851426900597406,-29.443138708265916,0.0,0.0,0.0,0.0,0.0,0.0,-46.11767351
t13793,56.68458879508546,19.305606944124982,-30.162219589210462,0.0,0.0,0.0,0.0,0.0,0.0,-45.82797615
t13794,56.663077109912955,19.73619503429644,-30.9244501242093,0.0,0.0,0.0,0.0,0.0,0.0,-45.47482202
t13795,56.64531324483461,20.163511812605392,-31.672174337440048,0.0,0.0,0.0,0.0,0.0,0.0,-45.13665072
t13796,56.635264994446345,20.541442498854824,-32.419352263301064,0.0,0.0,0.0,0.0,0.0,0.0,-44.75735523
t13797,56.544089466781514,21.763288945783795,-33.76759204256533,0.0,0.0,0.0,0.0,0.0,0.0,-44.53978637
t13798,56.52183519398975,22.058160699375755,-34.41553896336528,0.0,0.0,0.0,0.0,0.0,0.0,-44.16445693
t13799,56.50165252088464,22.43238910287941,-35.02826232376401,0.0,0.0,0.0,0.0,0.0,0.0,-43.9057793
t13800,56.48464481330145,22.78150844074501,-35.68250836404643,0.0,0.0,0.0,0.0,0.0,0.0,-43.58364489
t13801,56.47454117978512,23.10631779142482,-36.367822391209906,0.0,0.0,0.0,0.0,0.0,0.0,-43.21303658
t13802,56.38116030723479,24.11986685675909,-37.51983060399396,0.0,0.0,0.0,0.0,0.0,0.0,-42.98119656
t13803,56.35141589901472,24.383998925675854,-37.93978770469058,0.0,0.0,0.0,0.0,0.0,0.0,-42.79562712
t13804,56.324135395334764,24.629859730883105,-38.45454614621782,0.0,0.0,0.0,0.0,0.0,0.0,-42.49944898
t13805,56.302823236115046,24.903099293046377,-38.87584325916129,0.0,0.0,0.0,0.0,0.0,0.0,-42.33007927
t13806,56.29079670648055,25.10108754957365,-39.26069973605417,0.0,0.0,0.0,0.0,0.0,0.0,-42.13118452
t13807,56.21658716507956,25.83986896132893,-40.10213274640849,0.0,0.0,0.0,0.0,0.0,0.0,-41.95432338
t13808,56.19565314523784,25.98547534983271,-40.39100828507047,0.0,0.0,0.0,0.0,0.0,0.0,-41.79012021
t13809,56.177051886634864,26.147233863058545,-40.70189407969346,0.0,0.0,0.0,0.0,0.0,0.0,-41.62239167
t13810,56.164950915612735,26.30596100286852,-40.96292747848128,0.0,0.0,0.0,0.0,0.0,0.0,-41.50798444
t13811,56.158316999818524,26.415891726538096,-41.20579775635672,0.0,0.0,0.0,0.0,0.0,0.0,-41.36841097
t13812,56.09542739699703,27.002470087505944,-41.89550028450306,0.0,0.0,0.0,0.0,0.0,0.0,-41.2023972
t13813,56.07932212088283,27.099196580780557,-42.10996623166318,0.0,0.0,0.0,0.0,0.0,0.0,-41.06855247
t13814,56.05448256644354,27.211357156373392,-42.32715937281682,0.0,0.0,0.0,0.0,0.0,0.0,-40.93868035
t13815,56.03401725034614,27.310952001058403,-42.509720691404446,0.0,0.0,0.0,0.0,0.0,0.0,-40.83524856
t13816,56.02027908623775,27.36879767280602,-42.60878607904377,0.0,0.0,0.0,0.0,0.0,0.0,-40.78029068
t13817,55.95576539616643,27.827238771624682,-43.098947877791005,0.0,0.0,0.0,0.0,0.0,0.0,-40.68405629
t13818,55.93216841762921,27.84256945471124,-43.21732233234036,0.0,0.0,0.0,0.0,0.0,0.0,-40.55741554
t13819,55.909821288115445,27.897936430794253,-43.36111874890957,0.0,0.0,0.0,0.0,0.0,0.0,-40.44663897
t13820,55.891061011248055,27.952014994870122,-43.50305799611814,0.0,0.0,0.0,0.0,0.0,0.0,-40.34001801
t13821,55.87849188465854,27.976426047502105,-43.57172494216049,0.0,0.0,0.0,0.0,0.0,0.0,-40.28319299
t13822,55.82605469906605,28.370624666563504,-43.93021025562966,0.0,0.0,0.0,0.0,0.0,0.0,-40.26646911
t13823,55.80809167470491,28.324422115192473,-43.90259878989719,0.0,0.0,0.0,0.0,0.0,0.0,-40.229915
t13824,55.79076417927315,28.294831491422315,-43.89311612069561,0.0,0.0,0.0,0.0,0.0,0.0,-40.19247955
t13825,55.77436962476267,28.263565364189997,-43.915557348952625,0.0,0.0,0.0,0.0,0.0,0.0,-40.12237764
t13826,55.78168252641931,28.217068449325943,-43.92805774574488,0.0,0.0,0.0,0.0,0.0,0.0,-40.07069323
t13827,55.75150300320772,28.55833515109336,-44.281575244301145,0.0,0.0,0.0,0.0,0.0,0.0,-40.02826291
t13828,55.75564128142504,28.487349373094002,-44.205599424519214,0.0,0.0,0.0,0.0,0.0,0.0,-40.03739123
t13829,55.770807256641724,29.339189848293525,-45.12420105493539,0.0,0.0,0.0,0.0,0.0,0.0,-39.98579605
t13830,55.7851399692971,29.044754425145992,-44.93843871444287,0.0,0.0,0.0,0.0,0.0,0.0,-39.89145568
t13831,55.79895821304579,28.88780727472492,-44.79887174777088,0.0,0.0,0.0,0.0,0.0,0.0,-39.88789374
t13832,55.77127328741195,29.12803815006245,-45.02819795747428,0.0,0.0,0.0,0.0,0.0,0.0,-39.87111348
