Year,Month,Day,Hour,Minute,Total Wind Output (kW)
2012,1,11,3,0,8564.8
2012,1,11,4,0,22544.66
2012,1,11,5,0,39748.5
2012,1,11,6,0,64819.1
2012,1,11,7,0,55697.1
2012,1,11,8,0,62241.1
2012,1,11,9,0,77176.9
2012,1,11,10,0,91120.4
2012,1,11,11,0,96405.6
2012,1,11,12,0,96382.4
2012,1,11,13,0,100127.1
2012,1,11,14,0,98019.5
2012,1,11,15,0,79005.4
2012,1,11,16,0,47327.2
2012,1,11,17,0,61770.9
2012,1,11,18,0,98395.8
2012,1,11,19,0,69849.5
2012,1,11,20,0,44458.3
2012,1,11,21,0,34740.4
2012,1,11,22,0,41852.7
2012,1,11,23,0,90625.2
2012,1,12,0,0,114390.7
2012,1,12,1,0,104711.2
2012,1,12,2,0,50679.3
2012,1,12,3,0,79205.6
2012,1,12,4,0,52694.2
2012,1,12,5,0,41689.14
2012,1,12,6,0,26668.28
2012,1,12,7,0,30334.69
2012,1,12,8,0,14905.97
2012,1,12,9,0,14415.57
2012,1,12,10,0,23108.11
2012,1,12,11,0,36044.49
2012,1,12,12,0,42083.95
2012,1,12,13,0,62763.6
2012,1,12,14,0,72343.8
2012,1,12,15,0,89108.3
2012,1,12,16,0,85879
2012,1,12,17,0,119429.6
2012,1,12,18,0,119779.6
2012,1,12,19,0,115922.1
2012,1,12,20,0,78026.9
2012,1,12,21,0,72671.8
2012,1,12,22,0,91614.5
2012,1,12,23,0,138727.5
2012,1,13,0,0,161278.5
2012,1,13,1,0,147242.5
2012,1,13,2,0,158110.5
2012,1,13,3,0,145982.5
2012,1,13,4,0,161278.5
2012,1,13,5,0,130967
2012,1,13,6,0,157790.5
2012,1,13,7,0,158584.5
2012,1,13,8,0,161278.5
2012,1,13,9,0,161278.5
2012,1,13,10,0,161278.5
2012,1,13,11,0,161278.5
2012,1,13,12,0,161278.5
2012,1,13,13,0,161278.5
2012,1,13,14,0,161278.5
2012,1,13,15,0,161278.5
2012,1,13,16,0,158369.5
2012,1,13,17,0,161278.5
2012,1,13,18,0,161278.5
2012,1,13,19,0,152195.5
2012,1,13,20,0,161065.5
2012,1,13,21,0,161278.5
2012,1,13,22,0,133378.9
2012,1,13,23,0,112435
2012,1,14,0,0,110392.9
2012,1,14,1,0,121553.2
2012,1,14,2,0,128105.8
2012,1,14,3,0,132062.4
2012,1,14,4,0,129895.7
2012,1,14,5,0,115918.9
2012,1,14,6,0,82280.8
2012,1,14,7,0,72122.1
2012,1,14,8,0,61666.1
2012,1,14,9,0,50661.8
2012,1,14,10,0,42773.8
2012,1,14,11,0,51277.4
2012,1,14,12,0,35262.8
2012,1,14,13,0,15955.03
2012,1,14,14,0,10087.58
2012,1,14,15,0,3922.48
2012,1,14,16,0,0
2012,1,14,17,0,0
2012,1,14,18,0,0
2012,1,14,19,0,0
2012,1,14,20,0,575.263
2012,1,14,21,0,23644.64
2012,1,14,22,0,61652.15
2012,1,14,23,0,117013.9
2012,1,15,0,0,151658.7
2012,1,15,1,0,161278.5
2012,1,15,2,0,152463.6
2012,1,15,3,0,161278.5
2012,1,15,4,0,161278.5
2012,1,15,5,0,161278.5
2012,1,15,6,0,160479.7
2012,1,15,7,0,148847.7
2012,1,15,8,0,139153.4
2012,1,15,9,0,128313.9
2012,1,15,10,0,91299.9
2012,1,15,11,0,77608.4
2012,1,15,12,0,90471.5
2012,1,15,13,0,115515.1
2012,1,15,14,0,130427.5
2012,1,15,15,0,160974.5
2012,1,15,16,0,161278.5
2012,1,15,17,0,153723.5
2012,1,15,18,0,147985.5
2012,1,15,19,0,134778.2
2012,1,15,20,0,161278.5
2012,1,15,21,0,160978.5
2012,1,15,22,0,161278.5
2012,1,15,23,0,161278.5
2012,1,16,0,0,161278.5
2012,1,16,1,0,161278.5
2012,1,16,2,0,161278.5
2012,1,16,3,0,145012.9
2012,1,16,4,0,158983
2012,1,16,5,0,150481.3
2012,1,16,6,0,139229.6
2012,1,16,7,0,139378.9
2012,1,16,8,0,150698.8
2012,1,16,9,0,155738.4
2012,1,16,10,0,161278.5
2012,1,16,11,0,161278.5
2012,1,16,12,0,161278.5
2012,1,16,13,0,161278.5
2012,1,16,14,0,161278.5
2012,1,16,15,0,161278.5
2012,1,16,16,0,161278.5
2012,1,16,17,0,161278.5
