325158,city??,CA,country??,2012,32.7200508118,-116.26385498,Not Available,1,8760
WIND Toolkit data from NREL downloaded on 2022-10-10,,,,,,,,,
Temperature,Pressure,Speed,Direction,,,,,,
C,atm,m/s,Degrees,,,,,,
6.9,0.87,8.630,57.9,,,,,,
6.8,0.87,8.780,50.1,,,,,,
7.0,0.87,10.260,49.5,,,,,,
7.1,0.87,12.360,47.1,,,,,,
7.1,0.87,10.780,44.4,,,,,,
7.4,0.87,10.280,46.4,,,,,,
7.8,0.87,10.070,43.6,,,,,,
7.9,0.87,9.040,46.3,,,,,,
8.0,0.87,8.850,43.7,,,,,,
8.1,0.87,8.210,38.6,,,,,,
8.3,0.87,7.540,30.4,,,,,,
8.6,0.87,6.930,32.4,,,,,,
8.9,0.87,5.560,36.3,,,,,,
9.1,0.87,4.560,42.8,,,,,,
9.5,0.87,4.250,41.9,,,,,,
9.8,0.87,3.630,40.3,,,,,,
10.0,0.87,2.940,41.9,,,,,,
10.1,0.87,2.010,42.7,,,,,,
10.2,0.87,3.070,44.7,,,,,,
10.1,0.87,2.410,49.9,,,,,,
10.2,0.87,2.370,46.3,,,,,,
10.2,0.87,2.590,46.8,,,,,,
10.0,0.87,2.070,44.4,,,,,,
10.0,0.87,2.430,47.0,,,,,,
10.1,0.87,3.170,53.8,,,,,,
9.8,0.87,3.660,56.3,,,,,,
9.6,0.87,3.280,58.0,,,,,,
9.9,0.87,2.200,56.5,,,,,,
10.4,0.87,2.890,57.4,,,,,,
10.6,0.87,3.360,55.4,,,,,,
10.7,0.87,3.370,50.9,,,,,,
10.9,0.87,2.950,44.3,,,,,,
11.5,0.86,2.820,54.1,,,,,,
12.2,0.86,2.040,55.7,,,,,,
12.3,0.86,1.520,56.9,,,,,,
12.0,0.86,1.630,47.3,,,,,,
11.9,0.86,0.730,32.7,,,,,,
11.8,0.86,1.080,355.0,,,,,,
11.9,0.86,1.210,287.7,,,,,,
11.7,0.86,2.240,254.8,,,,,,
11.7,0.86,2.900,263.7,,,,,,
12.3,0.86,1.200,321.9,,,,,,
12.3,0.86,1.270,22.9,,,,,,
12.2,0.86,1.730,2.4,,,,,,
11.8,0.86,3.930,21.9,,,,,,
11.7,0.86,5.340,27.8,,,,,,
11.2,0.86,6.450,31.4,,,,,,
10.9,0.86,7.950,36.2,,,,,,
10.9,0.86,7.510,43.1,,,,,,
10.5,0.86,7.740,42.8,,,,,,
10.4,0.86,8.410,40.4,,,,,,
10.5,0.86,8.520,40.3,,,,,,
10.9,0.86,8.610,41.1,,,,,,
11.0,0.86,8.610,44.7,,,,,,
11.3,0.86,8.700,44.2,,,,,,
11.4,0.86,8.500,42.6,,,,,,
11.5,0.86,8.050,43.3,,,,,,
11.4,0.86,7.130,51.6,,,,,,
11.7,0.86,7.830,45.0,,,,,,
11.8,0.86,8.840,41.8,,,,,,
11.7,0.86,7.930,48.1,,,,,,
11.5,0.86,6.820,50.7,,,,,,
11.3,0.86,6.210,52.4,,,,,,
11.0,0.86,6.540,60.7,,,,,,
10.9,0.86,9.190,69.9,,,,,,
10.4,0.86,9.900,76.0,,,,,,
9.9,0.86,9.560,72.9,,,,,,
9.7,0.86,7.480,60.6,,,,,,
9.9,0.86,8.890,63.3,,,,,,
9.7,0.86,7.590,43.2,,,,,,
9.7,0.86,7.070,45.4,,,,,,
9.3,0.86,5.950,49.8,,,,,,
8.8,0.86,6.460,56.1,,,,,,
8.6,0.86,5.020,67.7,,,,,,
8.2,0.86,4.900,56.6,,,,,,
8.4,0.86,5.680,44.1,,,,,,
8.3,0.86,6.460,46.5,,,,,,
8.5,0.86,6.830,43.0,,,,,,
8.7,0.86,7.760,41.1,,,,,,
8.8,0.86,8.070,39.2,,,,,,
8.8,0.86,8.670,35.6,,,,,,
8.6,0.86,8.640,36.5,,,,,,
8.5,0.86,9.570,37.4,,,,,,
8.6,0.86,9.520,45.7,,,,,,
8.7,0.86,9.410,49.7,,,,,,
8.5,0.86,8.010,54.1,,,,,,
8.4,0.86,7.880,52.2,,,,,,
8.4,0.86,8.680,41.0,,,,,,
8.5,0.87,9.970,35.4,,,,,,
8.6,0.87,11.500,33.0,,,,,,
8.2,0.87,10.130,38.4,,,,,,
8.2,0.87,10.640,39.6,,,,,,
8.2,0.87,10.170,38.0,,,,,,
8.0,0.87,11.500,42.7,,,,,,
7.8,0.87,9.760,46.2,,,,,,
7.4,0.87,10.650,42.1,,,,,,
7.3,0.87,10.630,42.9,,,,,,
7.1,0.87,11.280,43.6,,,,,,
7.2,0.87,10.950,44.5,,,,,,
7.3,0.87,10.930,45.0,,,,,,
7.4,0.87,10.950,42.1,,,,,,
7.8,0.87,11.400,42.0,,,,,,
8.1,0.87,11.010,40.1,,,,,,
8.3,0.87,11.580,38.8,,,,,,
8.5,0.87,11.240,41.4,,,,,,
8.5,0.87,10.470,38.9,,,,,,
8.9,0.87,11.460,40.6,,,,,,
9.1,0.87,11.980,42.2,,,,,,
9.1,0.87,10.260,40.4,,,,,,
9.2,0.87,10.640,39.5,,,,,,
9.3,0.87,10.850,42.4,,,,,,
9.3,0.87,9.650,40.3,,,,,,
9.5,0.87,8.850,38.3,,,,,,
9.7,0.87,8.730,41.1,,,,,,
9.7,0.87,9.200,41.0,,,,,,
9.7,0.87,9.430,37.2,,,,,,
9.6,0.87,9.560,36.3,,,,,,
9.5,0.87,9.460,37.7,,,,,,
9.4,0.87,8.890,37.6,,,,,,
9.4,0.87,7.780,41.9,,,,,,
9.4,0.87,7.510,47.7,,,,,,
9.4,0.87,7.260,51.4,,,,,,
9.4,0.87,7.070,53.5,,,,,,
9.6,0.87,6.490,52.0,,,,,,
9.7,0.87,6.910,46.2,,,,,,
9.8,0.87,6.070,47.2,,,,,,
10.1,0.87,4.720,53.2,,,,,,
10.4,0.87,4.270,47.8,,,,,,
