,Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
0,NSRDB,72872,-,-,-,32.85,-117.14,-8,130,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,3.0.6
1,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2012,1,2,6,30,0,0,0,3.3000000000000003,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2012,1,2,7,0,0,0,0,3.6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2012,1,2,7,30,81,32,455,4.1000000000000005,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2012,1,2,8,0,172,47,633,4.6000000000000005,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2012,1,2,8,30,264,57,741,4.7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2012,1,2,9,0,351,65,810,4.9,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2012,1,2,9,30,429,70,858,4.9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2012,1,2,10,0,494,75,889,4.9,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2012,1,2,10,30,546,78,911,4.7,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2012,1,2,11,0,582,79,927,4.6000000000000005,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2012,1,2,11,30,603,80,935,4.3,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2012,1,2,12,0,607,80,936,4.1000000000000005,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2012,1,2,12,30,594,80,930,3.8000000000000003,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2012,1,2,13,0,567,75,927,3.6,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2012,1,2,13,30,522,73,909,3.3000000000000003,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2012,1,2,14,0,462,71,877,3.1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2012,1,2,14,30,390,66,837,2.5,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2012,1,2,15,0,307,61,776,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
