Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro_long,pumped_hydro_short,geothermal,Total
t21,15.202436314298495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.202436314298495
t22,15.385884586542161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385884586542161
t23,15.579756598785835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.579756598785835
t24,15.786408111029502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.786408111029502
t25,15.922111433273166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.922111433273166
t26,15.270500459678132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.270500459678132
t27,14.626380946083081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.626380946083081
t28,14.012227152557095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.012227152557095
t29,13.30068493896205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.30068493896205
t30,12.554329665367007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.554329665367007
t31,11.911972951771958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.911972951771958
t32,11.300181648176924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.300181648176924
t33,10.628018284581877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.628018284581877
t34,9.906499721055887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.906499721055887
t35,9.261301297460843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.261301297460843
t36,8.571595013865796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.571595013865796
t37,7.773042730270756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.773042730270756
t38,7.401946964964001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.401946964964001
t39,7.049800029588187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.049800029588187
t40,6.622738844212382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.622738844212382
t41,6.300012428905628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.300012428905628
t42,5.921320673598874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.921320673598874
t43,5.471239988223065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.471239988223065
t44,5.059057912847255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.059057912847255
t45,4.664502767540501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.664502767540501
t46,4.250998742233744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.250998742233744
t47,3.9028834968579353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9028834968579353
t48,3.445481601482129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.445481601482129
t49,2.981029006175376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.981029006175376
t50,2.90374848381353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.90374848381353
t51,2.830874661451695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.830874661451695
t52,2.7681362490207952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7681362490207952
t53,2.702905456658957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.702905456658957
t54,2.606386944297121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.606386944297121
t55,2.5089870719352767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5089870719352767
t56,2.390197809504386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.390197809504386
t57,2.27757799714254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27757799714254
t58,2.130145094780705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.130145094780705
t59,1.9461644724188645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9461644724188645
t60,1.703574419987973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.703574419987973
t61,1.3970869776261345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3970869776261345
t62,1.5186721404850836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5186721404850836
t63,1.68035844334403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68035844334403
t64,1.8142823962029802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8142823962029802
t65,1.8928658090619344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8928658090619344
t66,1.9348734119208792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9348734119208792
t67,1.9178310448488851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9178310448488851
t68,1.9151329577078364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9151329577078364
t69,1.913756900566785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913756900566785
t70,1.8453986934257323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8453986934257323
t71,1.7974774862846807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7974774862846807
t72,1.6878622091436384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6878622091436384
t73,1.4720450020025844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4720450020025844
t74,0.8779743830398523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8779743830398523
