Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro_long,pumped_hydro_short,geothermal
t102,0.0,0.0,0.0,0.0,1346.08472549701,0.0,1919.8591764426533,0.0,0.0,0.0
t103,0.0,0.0,0.0,0.0,1347.59259206701,0.0,1919.8591764426533,0.0,0.0,0.0
t104,0.0,0.0,0.0,0.0,1349.0706102690099,0.0,1919.8591764426533,0.0,0.0,0.0
t105,0.0,0.0,0.0,0.0,1350.51878010301,0.0,1960.8970706559694,0.0,0.0,0.0
t106,0.0,0.0,0.0,0.0,1351.9371015690099,0.0,1960.8970706559694,0.0,0.0,0.0
t107,0.0,0.0,0.0,0.0,1353.32557467301,0.0,1960.8970706559694,0.0,0.0,0.0
t108,0.0,0.0,0.0,0.0,1354.6841994030099,0.0,1960.8970706559694,0.0,0.0,0.0
t109,0.0,0.0,0.0,0.0,1356.01297577101,0.0,1960.8970706559694,0.0,0.0,0.0
t110,0.0,0.0,0.0,0.0,1357.3255458450099,0.0,2001.9349648692855,0.0,0.0,0.0
t111,0.0,0.0,0.0,0.0,1358.6219096310099,0.0,2001.9349648692855,0.0,0.0,0.0
t112,0.0,0.0,0.0,0.0,1359.9020671230098,0.0,2001.9349648692855,0.0,0.0,0.0
t113,0.0,0.0,0.0,0.0,1361.16601832101,0.0,2001.9349648692855,0.0,0.0,0.0
t114,0.0,0.0,0.0,0.0,1362.4137632310099,0.0,2001.9349648692855,0.0,0.0,0.0
t115,0.0,0.0,0.0,0.0,1363.6453018530099,0.0,2042.9728590826016,0.0,0.0,0.0
t116,0.0,0.0,0.0,0.0,1364.8606341810098,0.0,2042.9728590826016,0.0,0.0,0.0
t117,0.0,0.0,0.0,0.0,1366.0597602210098,0.0,2042.9728590826016,0.0,0.0,0.0
t118,0.0,0.0,0.0,0.0,1367.2426799670097,0.0,2042.9728590826016,0.0,0.0,0.0
t119,0.0,0.0,0.0,0.0,1368.4093934250097,0.0,2042.9728590826016,0.0,0.0,0.0
t120,0.0,0.0,0.0,0.0,1369.5599005830097,0.0,2084.0107532959178,0.0,0.0,0.0
t121,0.0,0.0,0.0,0.0,1370.6942014530098,0.0,2084.0107532959178,0.0,0.0,0.0
t122,0.0,0.0,0.0,0.0,1371.8210202510097,0.0,2084.0107532959178,0.0,0.0,0.0
t123,0.0,0.0,0.0,0.0,1372.9403569770097,0.0,2084.0107532959178,0.0,0.0,0.0
t124,0.0,0.0,0.0,0.0,1374.0522116310096,0.0,2084.0107532959178,0.0,0.0,0.0
t125,0.0,0.0,0.0,0.0,1375.1565842070097,0.0,2125.048647509234,0.0,0.0,0.0
t126,0.0,0.0,0.0,0.0,1376.2534747110096,0.0,2125.048647509234,0.0,0.0,0.0
t127,0.0,0.0,0.0,0.0,1377.3428831430097,0.0,2125.048647509234,0.0,0.0,0.0
t128,0.0,0.0,0.0,0.0,1378.4248095030096,0.0,2125.048647509234,0.0,0.0,0.0
t129,0.0,0.0,0.0,0.0,1379.4992537910096,0.0,2125.048647509234,0.0,0.0,0.0
t130,0.0,0.0,0.0,0.0,1380.5662160070096,0.0,2166.08654172255,0.0,0.0,0.0
t131,0.0,0.0,0.0,0.0,1381.6256961450097,0.0,2166.08654172255,0.0,0.0,0.0
t132,0.0,0.0,0.0,0.0,1382.6776942110096,0.0,2166.08654172255,0.0,0.0,0.0
t133,0.0,0.0,0.0,0.0,1383.7222102050096,0.0,2166.08654172255,0.0,0.0,0.0
t134,0.0,0.0,0.0,0.0,1384.7650819470095,0.0,2166.08654172255,0.0,0.0,0.0
t135,0.0,0.0,0.0,0.0,1385.8063094370095,0.0,2207.124435935866,0.0,0.0,0.0
t136,0.0,0.0,0.0,0.0,1386.8458926750095,0.0,2207.124435935866,0.0,0.0,0.0
t137,0.0,0.0,0.0,0.0,1387.8838316610095,0.0,2207.124435935866,0.0,0.0,0.0
t138,0.0,0.0,0.0,0.0,1388.9201263950094,0.0,2207.124435935866,0.0,0.0,0.0
t139,0.0,0.0,0.0,0.0,1389.9547768770094,0.0,2207.124435935866,0.0,0.0,0.0
t140,0.0,0.0,0.0,0.0,1390.9877831070094,0.0,2248.1623301491823,0.0,0.0,0.0
t141,0.0,0.0,0.0,0.0,1392.0191450850093,0.0,2248.1623301491823,0.0,0.0,0.0
t142,0.0,0.0,0.0,0.0,1393.0488628110093,0.0,2248.1623301491823,0.0,0.0,0.0
t143,0.0,0.0,0.0,0.0,1394.0769362850092,0.0,2248.1623301491823,0.0,0.0,0.0
t144,0.0,0.0,0.0,0.0,1395.1033655070091,0.0,2248.1623301491823,0.0,0.0,0.0
t145,0.0,0.0,0.0,0.0,1396.128150477009,0.0,2289.2002243624984,0.0,0.0,0.0
t146,0.0,0.0,0.0,0.0,1397.153507529009,0.0,2289.2002243624984,0.0,0.0,0.0
t147,0.0,0.0,0.0,0.0,1398.179436663009,0.0,2289.2002243624984,0.0,0.0,0.0
t148,0.0,0.0,0.0,0.0,1399.205937885009,0.0,2289.2002243624984,0.0,0.0,0.0
t149,0.0,0.0,0.0,0.0,1400.233011189009,0.0,2289.2002243624984,0.0,0.0,0.0
t150,0.0,0.0,0.0,0.0,1401.2606565750089,0.0,2330.2381185758145,0.0,0.0,0.0
t151,0.0,0.0,0.0,0.0,1402.288874043009,0.0,2330.2381185758145,0.0,0.0,0.0
t152,0.0,0.0,0.0,0.0,1403.317663593009,0.0,2330.2381185758145,0.0,0.0,0.0
t153,0.0,0.0,0.0,0.0,1404.347025231009,0.0,2330.2381185758145,0.0,0.0,0.0
t154,0.0,0.0,0.0,0.0,1405.3769589510089,0.0,2330.2381185758145,0.0,0.0,0.0
t155,0.0,0.0,0.0,0.0,1406.407464753009,0.0,2371.2760127891306,0.0,0.0,0.0
