Constraint,CapRes_1
t268,1.0674460986391567e-13
t269,1.0217090966140446e-13
t270,9.804970323241843e-14
t271,9.48518733843615e-14
t272,9.136968131226849e-14
t273,8.822048182075234e-14
t274,8.517275700798217e-14
t275,8.232907773809469e-14
t276,7.99631070878812e-14
t277,7.717224454268886e-14
t278,7.906078676191415e-14
t279,8.127085872782922e-14
t280,8.384028479493771e-14
t281,8.6929858801113e-14
t282,8.995066213403636e-14
t283,9.322972905020921e-14
t284,9.665856135135113e-14
t285,1.004193969987159e-13
t286,1.050567296411456e-13
t287,1.093787364687855e-13
t288,1.1403696324841243e-13
t289,1.1860595017332056e-13
t290,1.184090669581964e-13
t291,1.1907100711497878e-13
t292,1.1952214367254798e-13
t293,1.1994378361788342e-13
t294,1.20288800880812e-13
t295,1.2074096341536193e-13
t296,1.21403879516419e-13
t297,1.2219916106024892e-13
t298,1.2275347105102809e-13
t299,1.230628216295286e-13
t300,1.23618105005363e-13
t301,1.2452890636698512e-13
t302,1.2460933750490347e-13
t303,1.2458815413161746e-13
t304,1.2468580302924e-13
t305,1.2473678514609035e-13
t306,1.2522694111604952e-13
t307,1.2587111578674588e-13
t308,1.2645502437350922e-13
t309,1.2686590383292693e-13
t310,1.2700268432995253e-13
t311,1.279490282130118e-13
t312,1.2826268010548984e-13
t313,1.2907680868441826e-13
t314,1.2316698279344127e-13
t315,1.1815967757179978e-13
t316,1.1387903495387326e-13
t317,1.0972924293923536e-13
t318,1.0583440756567413e-13
t319,1.0227797521410077e-13
t320,9.896329943752206e-14
t321,9.597671914339005e-14
t322,9.284076719581196e-14
t323,9.000254963798018e-14
t324,8.722258348637607e-14
t325,8.499377593331672e-14
t326,8.512747781406387e-14
t327,8.477195076338242e-14
t328,8.463966607768933e-14
t329,8.449564881990254e-14
t330,8.411170882619729e-14
t331,8.428246700715487e-14
t332,8.397126166032782e-14
t333,8.382666948564127e-14
t334,8.360386742578396e-14
t335,8.339001920723024e-14
t336,8.370043705296217e-14
t337,8.376475224124562e-14
t338,8.384978147171875e-14
t339,8.374338670793362e-14
t340,8.373468563914516e-14
t341,8.423280632358924e-14
t342,8.422949932675295e-14
t343,8.438652627126506e-14
t344,8.446671195835038e-14
t345,8.469238615352284e-14
t346,8.516294075441403e-14
t347,8.537741053566849e-14
t348,8.56840115143274e-14
t349,8.660101650292763e-14
t350,8.769417460398548e-14
t351,8.921349065476911e-14
t352,9.022313396248609e-14
t353,9.142649000024362e-14
t354,9.251520950051263e-14
t355,9.406618868448558e-14
t356,9.659765301525931e-14
t357,9.838804935323129e-14
t358,1.0036138907769213e-13
t359,1.0240687910303798e-13
t360,1.0497105887212905e-13
t361,1.0960402649169731e-13
t362,1.145463043160339e-13
t363,1.189469242471534e-13
t364,1.2369884811710343e-13
t365,1.289630416198941e-13
t366,1.3728570985728733e-13
t367,1.452838885680507e-13
t368,1.545830415050556e-13
t369,1.6547288394776932e-13
t370,1.8033183053024078e-13
t371,2.3014774733944005e-13
t372,2.8438011966933195e-13
t373,4.1886502953038346e-13
t374,0.4362948960302187
t375,0.43629489603000277
t376,2.7899915246319037e-13
t377,1.145062851840225e-13
t378,7.284594066574982e-14
t379,5.330721998411562e-14
t380,3.995883907634237e-14
t381,3.153293928364578e-14
t382,2.5875488255500376e-14
t383,2.1721917956493974e-14
t384,1.8591658649941254e-14
t385,1.6178445558224712e-14
t386,1.4939880948738323e-14
t387,1.3859991977320256e-14
t388,1.2892513760364878e-14
t389,1.2020718442751016e-14
t390,1.1217444874558642e-14
t391,1.0497292575385901e-14
t392,1.0271536383751418e-14
t393,1.0081628171540344e-14
t394,9.868993268029147e-15
t395,9.68529598960568e-15
t396,9.516211200612455e-15
t397,9.421091683022571e-15
t398,9.332405544055279e-15
t399,9.320636770535069e-15
t400,9.299666471317876e-15
t401,9.358326302259477e-15
t402,9.286559477297806e-15
t403,9.279075539708836e-15
t404,9.36691505904585e-15
t405,9.495467943233105e-15
t406,9.52510868104704e-15
t407,9.608217420031547e-15
t408,9.702521710179789e-15
t409,9.846440815250613e-15
t410,9.848717860620446e-15
t411,9.932840493634806e-15
t412,1.001765607589872e-14
t413,1.0138198659631387e-14
t414,1.0159459663613599e-14
t415,1.02371204354927e-14
t416,1.032305146219904e-14
t417,1.0440883789154615e-14
t418,1.0460755528679379e-14
t419,1.0539023425413065e-14
t420,1.0639523631581516e-14
t421,1.0778518856510877e-14
t422,1.0788919272045396e-14
t423,1.0847163092199436e-14
t424,1.0921586440595446e-14
t425,1.1034851598182397e-14
t426,1.1042257418212957e-14
t427,1.1106995678471985e-14
t428,1.1152644934943468e-14
t429,1.1230503533589952e-14
t430,1.1203983624867161e-14
t431,1.1250506971690287e-14
t432,1.1287744547800568e-14
t433,1.1377324376730344e-14
t434,1.138656344695296e-14
t435,1.144781773427428e-14
t436,1.1540127450858176e-14
t437,1.1652186459493298e-14
t438,1.167031023588433e-14
t439,1.1750894225484898e-14
t440,1.1637343488588491e-14
t441,1.155097381568772e-14
t442,1.1380201686585063e-14
t443,1.1264101513529161e-14
t444,1.1183053941871522e-14
t445,1.1131345229780012e-14
t446,1.107020672883574e-14
t447,1.1061225068537418e-14
t448,1.1042719276218339e-14
t449,1.1058874067822548e-14
t450,1.0995404355549663e-14
t451,1.1017221233161083e-14
t452,1.1013959304351373e-14
t453,1.1056673644747502e-14
t454,1.1025380362949392e-14
t455,1.1067666828036998e-14
t456,1.1102620642131353e-14
t457,1.1100947905695197e-14
t458,1.1207164070968926e-14
t459,1.1285184629631473e-14
t460,1.1366398287037032e-14
t461,1.1502848138400583e-14
t462,1.1574748611953212e-14
t463,1.1680503281578084e-14
t464,1.1926515275869214e-14
t465,1.2236511729391285e-14
t466,1.2492891374407851e-14
t467,1.2802646836226275e-14
t468,1.3128003897068722e-14
t469,1.3520779020974684e-14
t470,1.4018781768643028e-14
t471,1.4594964827615815e-14
t472,1.520230125988315e-14
t473,1.5914378366911008e-14
t474,1.661966953491961e-14
t475,1.743248460265098e-14
t476,1.9401635106890145e-14
t477,2.1658491420878548e-14
t478,2.4476479594947996e-14
t479,2.7743950861380963e-14
t480,3.169865702733609e-14
t481,3.666806204622758e-14
t482,4.514051274657283e-14
t483,5.797319205685828e-14
t484,8.046700671632324e-14
t485,1.3587769399009064e-13
t486,7.599467418777557e-13
t487,0.4362948960302376
t488,0.4362948960302743
t489,0.43629489603031163
t490,0.43629489603036886
t491,0.4362948960305043
t492,4.260692344031961
t493,4.2606923440435684
t494,4.260692344044044
t495,4.260692344044275
t496,4.260692344044503
t497,4.260692344044614
t498,4.260692344044697
t499,4.260692344044766
