Time_Index,onshore_wind,solar_pv_sat,hydro,battery,pumped_hydro
296,0.410070572,0.0,0.222460372,1.0,1.0
297,0.408553114,0.0,0.220607168,1.0,1.0
298,0.407035656,0.0,0.218753964,1.0,1.0
299,0.405518198,0.0,0.21690076,1.0,1.0
300,0.40400074,0.0,0.215047557,1.0,1.0
301,0.402483282,0.0,0.213194353,1.0,1.0
302,0.401672883,0.0,0.211928485,1.0,1.0
303,0.400862483,0.0,0.210662618,1.0,1.0
304,0.400052084,0.0,0.20939675,1.0,1.0
305,0.399241684,0.0,0.208130883,1.0,1.0
306,0.398431285,0.0,0.206865015,1.0,1.0
307,0.397620885,0.0,0.205599148,1.0,1.0
308,0.396810486,0.0,0.20433328,1.0,1.0
309,0.396000087,0.0,0.203067413,1.0,1.0
310,0.395189687,0.0,0.201801545,1.0,1.0
311,0.394379288,0.0,0.200535678,1.0,1.0
312,0.393568888,0.0,0.19926981,1.0,1.0
313,0.392758489,0.0,0.198003943,1.0,1.0
314,0.398730715,0.0,0.19822441,1.0,1.0
315,0.404702941,0.0,0.198444878,1.0,1.0
316,0.410675167,0.0,0.198665346,1.0,1.0
317,0.416647393,0.0,0.198885814,1.0,1.0
318,0.422619619,0.0,0.199106281,1.0,1.0
319,0.428591845,0.0,0.199326749,1.0,1.0
320,0.434564072,0.0,0.199547216,1.0,1.0
321,0.440536298,0.0,0.199767683,1.0,1.0
322,0.446508524,0.0,0.199988152,1.0,1.0
323,0.45248075,0.0,0.200208619,1.0,1.0
324,0.458452976,0.0,0.200429087,1.0,1.0
325,0.464425202,0.0,0.200649554,1.0,1.0
326,0.465175974,0.0,0.201636514,1.0,1.0
327,0.465926746,0.0,0.202623474,1.0,1.0
328,0.466677517,0.0,0.203610433,1.0,1.0
329,0.467428289,0.0,0.204597393,1.0,1.0
330,0.468179061,0.0,0.205584352,1.0,1.0
331,0.468929833,0.0,0.206571312,1.0,1.0
332,0.469680604,0.0,0.207558272,1.0,1.0
333,0.470431376,0.0,0.208545231,1.0,1.0
334,0.471182148,0.0,0.209532191,1.0,1.0
335,0.47193292,0.0,0.21051915,1.0,1.0
336,0.472683691,0.0,0.21150611,1.0,1.0
337,0.473434463,0.0,0.21249307,1.0,1.0
338,0.474244191,0.0,0.215796992,1.0,1.0
339,0.475053918,0.0,0.219100914,1.0,1.0
340,0.475863646,0.0,0.222404836,1.0,1.0
341,0.476673374,0.0,0.225708759,1.0,1.0
342,0.477483101,0.0,0.22901268,1.0,1.0
343,0.478292829,0.0,0.232316603,1.0,1.0
