Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,274,45.58159243
,,,,,,,275,45.1949579
,,,,,,,276,44.77835767
,,,,,,,277,44.24453869
,,,,,,,278,43.8205071
,,,,,,,279,43.48460991
,,,,,,,280,43.2403725
,,,,,,,281,42.96368902
,,,,,,,282,42.77513991
,,,,,,,283,42.58526881
,,,,,,,284,42.36577012
,,,,,,,285,42.14186471
,,,,,,,286,41.99772091
,,,,,,,287,41.7769002
,,,,,,,288,41.55211345
,,,,,,,289,41.19223312
,,,,,,,290,40.93649664
,,,,,,,291,40.74509827
,,,,,,,292,40.6008518
,,,,,,,293,40.42796076
,,,,,,,294,40.2793067
,,,,,,,295,40.13197463
,,,,,,,296,39.95405918
,,,,,,,297,39.85590538
,,,,,,,298,39.74541277
,,,,,,,299,39.56627032
,,,,,,,300,39.4294324
,,,,,,,301,39.2842217
,,,,,,,302,39.19182181
,,,,,,,303,39.06284614
,,,,,,,304,38.95193802
,,,,,,,305,38.82047064
,,,,,,,306,38.7418839
,,,,,,,307,38.74085543
,,,,,,,308,38.72324406
,,,,,,,309,38.66068411
,,,,,,,310,38.58534469
,,,,,,,311,38.56480099
,,,,,,,312,38.49666469
,,,,,,,313,38.50652735
,,,,,,,314,38.38878681
,,,,,,,315,38.33450304
,,,,,,,316,38.28065992
,,,,,,,317,38.2484096
,,,,,,,318,38.24171826
,,,,,,,319,38.25661984
,,,,,,,320,38.26475232
,,,,,,,321,38.20149592
,,,,,,,322,38.15939178
,,,,,,,323,38.1484914
,,,,,,,324,38.09616787
,,,,,,,325,38.17031717
,,,,,,,326,38.23565051
,,,,,,,327,38.22122221
,,,,,,,328,38.30021637
,,,,,,,329,38.34846806
,,,,,,,330,38.33766968
,,,,,,,331,38.36829449
,,,,,,,332,38.36939344
,,,,,,,333,38.41808499
,,,,,,,334,38.46853923
,,,,,,,335,38.5038412
,,,,,,,336,38.5876171
,,,,,,,337,38.72427365
,,,,,,,338,38.90174238
,,,,,,,339,38.97961923
,,,,,,,340,39.09671589
,,,,,,,341,39.23657591
,,,,,,,342,39.36233442
,,,,,,,343,39.54802434
,,,,,,,344,39.7000196
,,,,,,,345,39.8846246
,,,,,,,346,40.01326427
,,,,,,,347,40.20929867
,,,,,,,348,40.44102751
,,,,,,,349,40.89265169
,,,,,,,350,41.27291167
,,,,,,,351,41.57032532
,,,,,,,352,41.87831511
,,,,,,,353,42.22886596
,,,,,,,354,42.53358694
,,,,,,,355,42.97271288
,,,,,,,356,43.46844265
,,,,,,,357,43.89895296
,,,,,,,358,44.37881855
,,,,,,,359,44.82943367
,,,,,,,360,45.38360672
,,,,,,,361,46.1290314
,,,,,,,362,46.8616049
,,,,,,,363,47.35048677
,,,,,,,364,47.80984362
,,,,,,,365,48.24212135
,,,,,,,366,48.53955345
,,,,,,,367,49.03881333
,,,,,,,368,49.4581449
,,,,,,,369,49.72720732
,,,,,,,370,50.00023581
,,,,,,,371,50.22327725
,,,,,,,372,50.47231834
,,,,,,,373,51.05142277
,,,,,,,374,50.75837623
,,,,,,,375,50.213706
,,,,,,,376,49.67212044
,,,,,,,377,48.97132875
,,,,,,,378,48.28551991
,,,,,,,379,47.63584618
,,,,,,,380,46.94599631
,,,,,,,381,46.23411283
,,,,,,,382,45.55748312
,,,,,,,383,44.80966142
,,,,,,,384,44.19888873
,,,,,,,385,43.69343664
,,,,,,,386,43.24688337
,,,,,,,387,42.58131613
,,,,,,,388,41.90473207
,,,,,,,389,40.91676185
,,,,,,,390,40.03234956
,,,,,,,391,39.24135972
,,,,,,,392,38.54011278
,,,,,,,393,37.81110352
,,,,,,,394,37.09928047
,,,,,,,395,36.56582189
,,,,,,,396,36.13724324
,,,,,,,397,35.66856345
,,,,,,,398,35.21180702
,,,,,,,399,34.70701736
