Resource,onshore_wind,solar_pv_sat,solar_btm,hydro,battery4,battery8,pumped_hydro
t122,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t123,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t124,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t125,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t126,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t127,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t128,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t129,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t130,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t131,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t132,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t133,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t134,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t135,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t136,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t137,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t138,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t139,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t140,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t141,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t142,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t143,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t144,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t145,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t146,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t147,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t148,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t149,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t150,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
