Resource,onshore_wind,solar_pv_sat,solar_btm,hydro,battery4,battery8,pumped_hydro,Total
t170,360.37409691929196,3274.2841077490034,18.67844974041,0.0,0.0,0.0,0.0,3653.3366544087053
t171,378.8739354958178,3331.9886953072078,17.90588267676,0.0,0.0,0.0,0.0,3728.7685134797857
t172,397.3737753245913,3389.724495317325,17.13331561311,0.0,0.0,0.0,0.0,3804.2315862550263
t173,415.87361390111715,3447.4188209454273,16.36074854946,0.0,0.0,0.0,0.0,3879.6531833960044
t174,434.37345247764296,3505.118081738755,15.588181526039998,0.0,0.0,0.0,0.0,3955.0797157424377
t175,452.8732910541687,3562.8836073838575,14.815614462389998,0.0,0.0,0.0,0.0,4030.5725129004163
t176,471.3731296306945,3568.4676507504773,14.449164742979999,0.0,0.0,0.0,0.0,4054.289945124152
t177,489.87296820722037,3574.098795662312,14.08271502357,0.0,0.0,0.0,0.0,4078.0544788931024
t178,508.412569405215,3579.7268468957764,13.716265304159998,0.0,0.0,0.0,0.0,4101.855681605151
t179,527.1962850236342,3585.266425508972,13.349815584749999,0.0,0.0,0.0,0.0,4125.812526117356
t180,545.3724851890455,3590.82237751637,12.98336586534,0.0,0.0,0.0,0.0,4149.178228570756
t181,563.8723237655713,3596.412688226276,12.616916145929999,0.0,0.0,0.0,0.0,4172.901928137777
t182,560.621260806794,3652.9213549279575,13.05392123934,0.0,0.0,0.0,0.0,4226.596536974092
t183,557.3701978480168,3709.3423908609952,13.49092633275,0.0,0.0,0.0,0.0,4280.203515041762
t184,554.1191348892395,3765.8340850314216,13.927931426159999,0.0,0.0,0.0,0.0,4333.881151346821
t185,550.8680719304622,3822.289097938245,14.36493651957,0.0,0.0,0.0,0.0,4387.522106388277
t186,547.617008971685,3878.743015459141,14.801941612979999,0.0,0.0,0.0,0.0,4441.161966043806
t187,544.3659472651555,3935.2218529053885,15.23894674662,0.0,0.0,0.0,0.0,4494.826746917164
t188,541.1148843063781,3851.131705037341,14.463425956139998,0.0,0.0,0.0,0.0,4406.710015299859
t189,537.8638213476008,3767.071406397008,13.687905165659998,0.0,0.0,0.0,0.0,4318.623132910269
t190,534.6127583888236,3683.0598583252067,12.912384375179998,0.0,0.0,0.0,0.0,4230.58500108921
t191,531.3616954300463,3599.023251176874,12.136863584699999,0.0,0.0,0.0,0.0,4142.521810191621
t192,528.1106324712691,3514.963640955113,11.361342794219999,0.0,0.0,0.0,0.0,4054.4356162206022
t193,524.8595695124918,3430.9672891880464,10.58582204397,0.0,0.0,0.0,0.0,3966.412680744508
t194,528.3811154716789,3134.3472033221697,9.748613376089999,0.0,0.0,0.0,0.0,3672.4769321699387
t195,531.902661430866,2837.7394464504678,8.91140470821,0.0,0.0,0.0,0.0,3378.553512589544
t196,535.4242073900531,2541.2529975187344,8.07419604033,0.0,0.0,0.0,0.0,3084.7514009491174
t197,538.9457533492401,2244.734470819767,7.23698741268,0.0,0.0,0.0,0.0,2790.9172115816873
t198,542.4672993084272,1948.2069131269932,6.399778744799999,0.0,0.0,0.0,0.0,2497.07399118022
t199,545.9888452676144,1651.7590387461883,5.56257007692,0.0,0.0,0.0,0.0,2203.3104540907225
t200,549.5103899745537,1391.1191898943732,4.72628681973,0.0,0.0,0.0,0.0,1945.355866688657
t201,553.0319359337408,1130.5080889059898,3.89000352231,0.0,0.0,0.0,0.0,1687.4300283620405
t202,556.5534818929278,872.9843971710948,0.0,0.0,0.0,0.0,0.0,1429.5378790640225
t203,560.075027852115,609.374101104908,2.2174369677,0.0,0.0,0.0,0.0,1171.666565924723
t204,563.596573811302,366.3906676212926,0.0,0.0,0.0,0.0,0.0,929.9872414325946
t205,567.1181197704891,95.3391443759557,0.54487041309,0.0,0.0,0.0,0.0,663.0021345595349
t206,538.4187173519232,79.44929022572225,0.45405867086999996,0.0,0.0,0.0,0.0,618.3220662485155
t207,509.7193149333571,63.55942958397047,0.36324692864999997,0.0,0.0,0.0,0.0,573.6419914459776
t208,481.01991251479114,47.669568942218696,0.27243522666,0.0,0.0,0.0,0.0,528.9619166836699
t209,452.3205100962251,31.779714791985235,0.18162348443999998,0.0,0.0,0.0,0.0,484.28184837265036
t210,423.62110767765904,15.889854150233457,0.09081174221999999,0.0,0.0,0.0,0.0,439.6017735701125
t211,394.92170400684535,0.0,0.0,0.0,0.0,0.0,0.0,394.92170400684535
t212,366.2223015882794,0.0,0.0,0.0,0.0,0.0,0.0,366.2223015882794
t213,337.52289916971336,0.0,0.0,0.0,0.0,0.0,0.0,337.52289916971336
t214,308.82349675114733,0.0,0.0,0.0,0.0,0.0,0.0,308.82349675114733
t215,280.1240943325813,0.0,0.0,0.0,0.0,0.0,0.0,280.1240943325813
t216,251.4246919140153,0.0,0.0,0.0,0.0,0.0,0.0,251.4246919140153
t217,222.7252894954493,0.0,0.0,0.0,0.0,0.0,0.0,222.7252894954493
t218,233.76538078274402,0.0,0.0,0.0,0.0,0.0,0.0,233.76538078274402
t219,244.80547081779096,0.0,0.0,0.0,0.0,0.0,0.0,244.80547081779096
t220,255.8455621050857,0.0,0.0,0.0,0.0,0.0,0.0,255.8455621050857
t221,266.88565214013266,0.0,0.0,0.0,0.0,0.0,0.0,266.88565214013266
