Resource,onshore_wind,solar_pv_sat,solar_btm,hydro,battery4,battery8,pumped_hydro,Total
t108,0.0,54.56684206,0.0,0.0,0.0,0.0,0.0,54.56684206
t109,0.0,54.62851112,0.0,0.0,0.0,0.0,0.0,54.62851112
t110,0.0,54.71958717,0.0,0.0,0.0,0.0,0.0,54.71958717
t111,0.0,54.70622397,0.0,0.0,0.0,0.0,0.0,54.70622397
t112,0.0,54.66906448,0.0,0.0,0.0,0.0,0.0,54.66906448
t113,0.0,54.60880963,0.0,0.0,0.0,0.0,0.0,54.60880963
t114,0.0,54.61994366,0.0,0.0,0.0,0.0,0.0,54.61994366
t115,0.0,54.62226423,0.0,0.0,0.0,0.0,0.0,54.62226423
t116,0.0,54.56261489,0.0,0.0,0.0,0.0,0.0,54.56261489
t117,0.0,54.30025643,0.0,0.0,0.0,0.0,0.0,54.30025643
t118,0.0,54.28687764,0.0,0.0,0.0,0.0,0.0,54.28687764
t119,0.0,54.24448586,0.0,0.0,0.0,0.0,0.0,54.24448586
t120,0.0,54.2201616,0.0,0.0,0.0,0.0,0.0,54.2201616
t121,0.0,54.21875229,0.0,0.0,0.0,0.0,0.0,54.21875229
t122,0.0,54.20982726,0.0,0.0,0.0,0.0,0.0,54.20982726
t123,0.0,54.13171672,0.0,0.0,0.0,0.0,0.0,54.13171672
t124,0.0,54.02848787,0.0,0.0,0.0,0.0,0.0,54.02848787
t125,0.0,54.01434845,0.0,0.0,0.0,0.0,0.0,54.01434845
t126,0.0,53.9772941,0.0,0.0,0.0,0.0,0.0,53.9772941
t127,0.0,53.94773117,0.0,0.0,0.0,0.0,0.0,53.94773117
t128,0.0,53.87998556,0.0,0.0,0.0,0.0,0.0,53.87998556
t129,0.0,53.7514272,0.0,0.0,0.0,0.0,0.0,53.7514272
t130,0.0,53.68852901,0.0,0.0,0.0,0.0,0.0,53.68852901
t131,0.0,53.62176573,0.0,0.0,0.0,0.0,0.0,53.62176573
t132,0.0,53.57747675,0.0,0.0,0.0,0.0,0.0,53.57747675
t133,0.0,271.28248943771723,0.0,0.0,0.0,0.0,0.0,271.28248943771723
t134,0.0,60.984975246558754,0.0,0.0,0.0,0.0,0.0,60.984975246558754
t135,0.0,267.8701612681629,0.0,0.0,0.0,0.0,0.0,267.8701612681629
t136,0.0,266.18439841324056,0.0,0.0,0.0,0.0,0.0,266.18439841324056
t137,0.0,264.48602328017535,0.0,0.0,0.0,0.0,0.0,264.48602328017535
t138,0.0,262.8098302449348,0.0,0.0,0.0,0.0,0.0,262.8098302449348
t139,0.0,261.13418440226394,0.0,0.0,0.0,0.0,0.0,261.13418440226394
t140,0.0,261.8883421883412,0.0,0.0,0.0,0.0,0.0,261.8883421883412
t141,0.0,262.67864821676284,0.0,0.0,0.0,0.0,0.0,262.67864821676284
t142,0.0,263.47744292505433,0.0,0.0,0.0,0.0,0.0,263.47744292505433
t143,0.0,264.24550454476,0.0,0.0,0.0,0.0,0.0,264.24550454476
t144,0.0,265.042868193396,0.0,0.0,0.0,0.0,0.0,265.042868193396
t145,0.0,265.7599943549018,0.0,0.0,0.0,0.0,0.0,265.7599943549018
t146,0.0,269.83220928695516,0.0,0.0,0.0,0.0,0.0,269.83220928695516
t147,0.0,273.96905136125537,0.0,0.0,0.0,0.0,0.0,273.96905136125537
t148,0.0,278.0210016753802,0.0,0.0,0.0,0.0,0.0,278.0210016753802
t149,0.0,282.17507710419477,0.0,0.0,0.0,0.0,0.0,282.17507710419477
t150,0.0,286.2576793080339,0.0,0.0,0.0,0.0,0.0,286.2576793080339
t151,0.0,290.3274101975483,0.0,0.0,0.0,0.0,0.0,290.3274101975483
t152,0.0,291.69707602955896,0.0,0.0,0.0,0.0,0.0,291.69707602955896
t153,0.0,293.1094613128679,0.0,0.0,0.0,0.0,0.0,293.1094613128679
t154,0.0,294.49473638659265,0.0,0.0,0.0,0.0,0.0,294.49473638659265
t155,0.0,295.7729185365589,0.0,0.0,0.0,0.0,0.0,295.7729185365589
t156,0.0,297.1031320843035,0.0,0.0,0.0,0.0,0.0,297.1031320843035
t157,0.0,298.40650815732675,0.0,0.0,0.0,0.0,0.0,298.40650815732675
t158,0.0,298.8111197720695,0.0,0.0,0.0,0.0,0.0,298.8111197720695
t159,0.0,299.21655229983935,0.0,0.0,0.0,0.0,0.0,299.21655229983935
t160,0.0,299.5702285279392,0.0,0.0,0.0,0.0,0.0,299.5702285279392
t161,0.0,299.9587280409677,0.0,0.0,0.0,0.0,0.0,299.9587280409677
t162,0.0,300.35104833888033,0.0,0.0,0.0,0.0,0.0,300.35104833888033
t163,0.0,300.7160095171946,0.0,0.0,0.0,0.0,0.0,300.7160095171946
t164,0.0,298.93532766069745,0.0,0.0,0.0,0.0,0.0,298.93532766069745
t165,0.0,297.1886020965132,0.0,0.0,0.0,0.0,0.0,297.1886020965132
t166,0.0,295.4131233247305,0.0,0.0,0.0,0.0,0.0,295.4131233247305
t167,0.0,293.64969815448,0.0,0.0,0.0,0.0,0.0,293.64969815448
t168,0.0,291.88189193090625,0.0,0.0,0.0,0.0,0.0,291.88189193090625
t169,0.0,290.05958983379867,0.0,0.0,0.0,0.0,0.0,290.05958983379867
t170,0.0,296.6582229867758,0.0,0.0,0.0,0.0,0.0,296.6582229867758
t171,0.0,303.25685668995436,0.0,0.0,0.0,0.0,0.0,303.25685668995436
t172,0.0,309.8242714497027,0.0,0.0,0.0,0.0,0.0,309.8242714497027
t173,0.0,316.4331605914655,0.0,0.0,0.0,0.0,0.0,316.4331605914655
t174,0.0,323.03712105952104,0.0,0.0,0.0,0.0,0.0,323.03712105952104
t175,0.0,329.5748101842837,0.0,0.0,0.0,0.0,0.0,329.5748101842837
t176,0.0,331.2752955054457,0.0,0.0,0.0,0.0,0.0,331.2752955054457
t177,0.0,332.9286792813934,0.0,0.0,0.0,0.0,0.0,332.9286792813934
t178,0.0,334.5851567357106,0.0,0.0,0.0,0.0,0.0,334.5851567357106
t179,0.0,336.33010031877916,0.0,0.0,0.0,0.0,0.0,336.33010031877916
t180,0.0,338.05867699916314,0.0,0.0,0.0,0.0,0.0,338.05867699916314
t181,0.0,339.75289497703943,0.0,0.0,0.0,0.0,0.0,339.75289497703943
t182,0.0,344.86722496189003,0.0,0.0,0.0,0.0,0.0,344.86722496189003
t183,0.0,350.0691857153834,0.0,0.0,0.0,0.0,0.0,350.0691857153834
t184,0.0,355.20049472300707,0.0,0.0,0.0,0.0,0.0,355.20049472300707
t185,0.0,360.3684785027147,0.0,0.0,0.0,0.0,0.0,360.3684785027147
t186,0.0,365.53755766835104,0.0,0.0,0.0,0.0,0.0,365.53755766835104
t187,0.0,370.68171690863556,0.0,0.0,0.0,0.0,0.0,370.68171690863556
t188,0.0,362.60247037197496,0.0,0.0,0.0,0.0,0.0,362.60247037197496
t189,0.0,354.49337460760023,0.0,0.0,0.0,0.0,0.0,354.49337460760023
t190,0.0,346.33553476621273,0.0,0.0,0.0,0.0,0.0,346.33553476621273
t191,0.0,338.20274750983793,0.0,0.0,0.0,0.0,0.0,338.20274750983793
t192,0.0,330.0929633268918,0.0,0.0,0.0,0.0,0.0,330.0929633268918
t193,0.0,321.919920689251,0.0,0.0,0.0,0.0,0.0,321.919920689251
t194,0.0,294.1729487415824,0.0,0.0,0.0,0.0,0.0,294.1729487415824
t195,0.0,266.4136542912583,0.0,0.0,0.0,0.0,0.0,266.4136542912583
t196,0.0,238.53304540944686,0.0,0.0,0.0,0.0,0.0,238.53304540944686
t197,0.0,210.68451429486942,0.0,0.0,0.0,0.0,0.0,210.68451429486942
t198,0.0,182.8450206656167,0.0,0.0,0.0,0.0,0.0,182.8450206656167
t199,0.0,154.9258372328767,0.0,0.0,0.0,0.0,0.0,154.9258372328767
t200,0.0,130.341399648013,0.0,0.0,0.0,0.0,0.0,130.341399648013
t201,0.0,105.7282077081994,0.0,0.0,0.0,0.0,0.0,105.7282077081994
t202,0.0,78.02761300641563,3.05372026512,0.0,0.0,0.0,0.0,81.08133327153564
t203,0.0,56.41362263592355,0.0,0.0,0.0,0.0,0.0,56.41362263592355
t204,0.0,14.172763191341863,1.3811537105099998,0.0,37.832438558148134,0.0,0.0,53.38635546
t205,0.0,0.0,0.0,0.0,16.46979572854103,37.54589843145897,0.0,54.01569416
t206,0.0,0.0,0.0,-0.0,8.7753150079082,45.7036622920918,0.0,54.4789773
t207,0.0,0.0,0.0,-0.0,1.0539960699716673,53.90677259002833,0.0,54.96076866
t208,0.0,0.0,0.0,-0.0,0.0,62.24375911191879,-0.0,62.24375911191879
t209,0.0,0.0,0.0,-0.0,0.0,70.37618950705163,-0.0,70.37618950705163
t210,0.0,0.0,0.0,-0.0,0.0,78.1339839584881,-0.0,78.1339839584881
t211,0.0,0.0,0.0,0.0,0.0,86.0353702105873,-0.0,86.0353702105873
t212,0.0,0.0,0.0,-0.0,0.0,90.85720315772942,-0.0,90.85720315772942
t213,0.0,0.0,0.0,-0.0,89.99358726916016,95.1251774673716,-0.0,185.11876473653177
t214,0.0,0.0,0.0,0.0,0.0,99.58640851201372,-0.0,99.58640851201372
t215,0.0,0.0,0.0,0.0,0.0,104.18405144065582,-0.0,104.18405144065582
t216,0.0,0.0,0.0,0.0,0.0,108.50098620729798,-0.0,108.50098620729798
t217,0.0,0.0,0.0,-0.0,225.99111537502105,113.12238129794008,-0.0,339.1134966729611
t218,0.0,0.0,0.0,0.0,0.0,112.30041983530086,-0.0,112.30041983530086
t219,0.0,0.0,0.0,-0.0,283.172921522129,111.24957343912786,-0.0,394.42249496125686
t220,0.0,0.0,0.0,0.0,0.0,110.6187093304886,-0.0,110.6187093304886
t221,0.0,0.0,0.0,-0.0,327.7568947254614,109.98543358431564,-0.0,437.742328309777
t222,0.0,0.0,0.0,-0.0,0.0,109.38130811417633,-0.0,109.38130811417633
t223,0.0,0.0,0.0,0.0,0.0,108.8775897200371,-0.0,108.8775897200371
t224,0.0,0.0,0.0,-0.0,0.0,107.34670975236412,-0.0,107.34670975236412
t225,0.0,0.0,0.0,-0.0,443.3893396489625,105.83202428922483,-0.0,549.2213639381873
t226,0.0,0.0,0.0,0.0,0.0,104.05822393055195,-0.0,104.05822393055195
