Constraint,CapRes_1
t83,1.052540465737788e-9
t84,1.0541074535253578e-9
t85,1.0282035359618323e-9
t86,1.084323620554611e-9
t87,1.1314845082277783e-9
t88,1.0976651731318224e-9
t89,1.1099311940506193e-9
t90,1.4249049385344804e-9
t91,1.4264090863865464e-9
t92,1.4708056497022938e-9
t93,1.1916427623837936e-9
t94,1.4414294570425232e-9
t95,1.5781596918153892e-9
t96,1.5663411792905765e-9
t97,1.3100022467168144e-9
t98,1.5973921239180526e-9
t99,1.5815248112888372e-9
t100,1.5808883305574526e-9
t101,1.2682827344795778e-9
t102,1.4923766392720162e-9
t103,1.4733467566570812e-9
t104,1.4972962497160732e-9
t105,1.259433777128589e-9
t106,1.4584326893510974e-9
t107,1.4640011117103282e-9
t108,1.4822943361282262e-9
t109,1.2292575939057572e-9
t110,1.54467775533362e-9
t111,1.4982778343786673e-9
t112,1.5453362521763906e-9
t113,1.2689869855016742e-9
t114,1.6102888463635687e-9
t115,1.6428143943223067e-9
t116,1.6031451437855915e-9
t117,1.3694217842504644e-9
t118,1.633329745803324e-9
t119,1.64646477404235e-9
t120,1.6793570667242164e-9
t121,1.307126157651973e-9
t122,1.6480527612959027e-9
t123,1.6531643957669316e-9
t124,1.6754043915620563e-9
t125,1.3076543510776861e-9
t126,1.6293019877152278e-9
t127,1.63971333392638e-9
t128,1.6600003021814214e-9
t129,1.277895266037225e-9
t130,1.6926089597529126e-9
t131,1.6070674752347102e-9
t132,1.62424042388873e-9
t133,1.235561525911849e-9
t134,1.6302583921195217e-9
t135,1.6339333918605155e-9
t136,1.5727872770879776e-9
t137,1.296216898972901e-9
t138,1.5815211767491506e-9
t139,1.579771357652593e-9
t140,1.60044215994153e-9
t141,1.2131209184031305e-9
t142,1.5593521728849088e-9
t143,1.586757833113815e-9
t144,1.6289587573825908e-9
t145,1.26094086329717e-9
t146,1.588561613642641e-9
t147,1.6089178855426647e-9
t148,1.6475312607034274e-9
t149,1.2775930993944257e-9
t150,1.7103735678485028e-9
t151,1.6050672406816845e-9
t152,1.6308072292273508e-9
t153,1.2770581789221978e-9
t154,1.6731062112073192e-9
t155,1.681814601770975e-9
t156,1.5821189291598243e-9
t157,1.2548915235070789e-9
t158,1.6264303626123347e-9
t159,1.6305769935728127e-9
t160,1.6442405746195557e-9
t161,1.2292905727409765e-9
t162,1.5796422710115061e-9
t163,1.5981308970821097e-9
t164,1.611859766176735e-9
t165,1.2182225434438593e-9
t166,1.4988100923496472e-9
t167,1.4949401890060993e-9
t168,1.4907673033363633e-9
t169,1.2311922592759294e-9
t170,1.5011183358597174e-9
t171,1.3439868888360235e-9
t172,1.319989032330909e-9
t173,1.317589895737165e-9
t174,1.3511033708830374e-9
t175,1.3833476772076105e-9
t176,1.2859690410324684e-9
t177,1.3336939741508145e-9
t178,1.365744197536904e-9
t179,1.404146005922344e-9
t180,1.4486498829024962e-9
t181,1.3767217488734202e-9
t182,1.4506552942708108e-9
t183,1.4632774606841245e-9
t184,1.420335625079319e-9
t185,1.395717919765926e-9
t186,1.244628521818135e-9
t187,1.2339712518891236e-9
t188,1.2222309687755955e-9
t189,1.2244239029777607e-9
t190,1.212367585494373e-9
t191,1.107204137881844e-9
t192,1.0865063512922208e-9
t193,1.101854531856828e-9
t194,1.2121673103715284e-9
t195,1.327565391494427e-9
t196,1.2906987870849176e-9
t197,1.4024255391486344e-9
t198,1.4171812521180208e-9
t199,1.4387649986533463e-9
t200,1.4608734882555176e-9
t201,1.4163387579420668e-9
t202,1.4191061290799698e-9
t203,1.3780631188113881e-9
t204,1.2311464018600001e-9
t205,1.0651621454875262e-9
t206,1.0595644726809946e-9
t207,1.019240304223323e-9
t208,1.0362657929611325e-9
t209,1.0505905669409753e-9
t210,1.0154426538705445e-9
t211,1.3763425203688782e-9
t212,1.3991788275409803e-9
t213,1.1369910758442058e-9
t214,1.4078628997085955e-9
t215,1.417265626661714e-9
t216,1.3955983255504454e-9
