Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,geothermal
t30,0.0,0.0,0.0,0.0,0.0,-0.01434957498905778,-0.013513749962683012,8.923218483930766e-9,0.0
t31,0.0,0.0,0.0,0.0,0.0,-0.014349570509079956,-0.009740150305167082,9.595790250190512e-9,0.0
t32,0.0,0.0,0.0,0.0,0.0,-0.014349571698726547,-0.010532463050125288,9.4005772315465e-9,0.0
t33,0.0,0.0,0.0,0.0,0.0,-0.014349572989477664,-0.011341298510097717,9.274021480266638e-9,0.0
t34,0.0,0.0,0.0,0.0,0.0,-0.014349574171138706,-0.01218298553076388,9.080084146269207e-9,0.0
t35,0.0,0.0,0.0,0.0,0.0,-0.014349575339640909,-0.013038154690962561,8.75204783157884e-9,0.0
t36,0.0,0.0,0.0,0.0,0.0,-0.014349570765865863,-0.009353568802116151,9.559912468179478e-9,0.0
t37,0.0,0.0,0.0,0.0,0.0,-0.014349571991150209,-0.010219402457179724,9.384242766090362e-9,0.0
t38,0.0,0.0,0.0,0.0,0.0,-0.014349573105296394,-0.0111068292278643,9.157574115474918e-9,0.0
t39,0.0,0.0,0.0,0.0,0.0,-0.014349574193961788,-0.011998050678735474,8.873426150311479e-9,0.0
t40,0.0,0.0,0.0,0.0,0.0,-0.014349575277323558,-0.012895422091256215,8.448758470357284e-9,0.0
t41,0.0,0.0,0.0,0.0,0.0,-0.014349570749209839,-0.009250679055995685,9.14171366113907e-9,0.0
t42,0.0,0.0,0.0,0.0,0.0,-0.014349571842900217,-0.01015497011553718,8.788361511349709e-9,0.0
t43,0.0,0.0,0.0,0.0,0.0,-0.014349572903553225,-0.011047690937646137,8.59186516610568e-9,0.0
t44,0.0,0.0,0.0,0.0,0.0,-0.014349573947635617,-0.011939251640588653,8.33650948427508e-9,0.0
t45,0.0,0.0,0.0,0.0,0.0,-0.014349575091322408,-0.012841097415804466,8.019264120683711e-9,0.0
t46,0.0,0.0,0.0,0.0,0.0,-0.014349570413616121,-0.009238507076190632,8.652532808946643e-9,0.0
t47,0.0,0.0,0.0,0.0,0.0,-0.014349571431425314,-0.010151220656678221,8.44272840064018e-9,0.0
t48,0.0,0.0,0.0,0.0,0.0,-0.014349572424570951,-0.011056217410272524,8.199515673870385e-9,0.0
t49,0.0,0.0,0.0,0.0,0.0,-0.014349573442593005,-0.011961140663554077,7.930151005387752e-9,0.0
t50,0.0,0.0,0.0,0.0,0.0,-0.014349574433431095,-0.012899784141927202,7.559153072059583e-9,0.0
t51,0.0,0.0,0.0,0.0,0.0,-0.014349569667718248,-0.009316798467940212,8.126403621837443e-9,0.0
t52,0.0,0.0,0.0,0.0,0.0,-0.014349570585946736,-0.010241177611248294,7.865832357071034e-9,0.0
t53,0.0,0.0,0.0,0.0,0.0,-0.014349571484145153,-0.011158545163010776,7.58498336239754e-9,0.0
t54,0.0,0.0,0.0,0.0,0.0,-0.014349572423023956,-0.012096397398985983,7.260919232554975e-9,0.0
t55,0.0,0.0,0.0,0.0,0.0,-0.014349573336876838,-0.013050499568605963,6.828099888758377e-9,0.0
t56,0.0,0.0,0.0,0.0,0.0,-0.014349568498044613,-0.00951275826548369,7.2921922860689675e-9,0.0
