Constraint,CapRes_1
t80,7.294099497661457e-10
t81,6.494547339834944e-10
t82,5.748357255540537e-10
t83,5.689269586307512e-10
t84,5.663306258894251e-10
t85,5.608074051503239e-10
t86,5.821301417933901e-10
t87,6.0188938517309e-10
t88,5.937728633409921e-10
t89,6.024422191027858e-10
t90,7.170467969546839e-10
t91,7.127783344997882e-10
t92,7.270228237497621e-10
t93,6.308238745574284e-10
t94,7.414454808312409e-10
t95,7.50212954969238e-10
t96,7.428376936126795e-10
t97,6.671030134737256e-10
t98,7.477259579280622e-10
t99,7.380478961496927e-10
t100,7.320969316679928e-10
t101,6.365115216288785e-10
t102,6.964370672705046e-10
t103,6.857295736420433e-10
t104,6.830558156515996e-10
t105,6.053189972159239e-10
t106,6.579556828586802e-10
t107,6.5177143332317e-10
t108,6.496426890602697e-10
t109,5.763602117799644e-10
t110,6.646173339237e-10
t111,6.600028593258555e-10
t112,6.760529449123148e-10
t113,6.081272262336733e-10
t114,7.089560827973718e-10
t115,7.250817988991893e-10
t116,7.170731146247089e-10
t117,6.575253081595971e-10
t118,7.378258356334599e-10
t119,7.470578444340799e-10
t120,7.613945245940093e-10
t121,6.508658875390713e-10
t122,7.572615092592762e-10
t123,7.573041232201461e-10
t124,7.615463701936326e-10
t125,6.508472410313235e-10
t126,7.503491277266521e-10
t127,7.523406562550262e-10
t128,7.529379936333375e-10
t129,6.328649080485854e-10
t130,7.546316514875756e-10
t131,7.306078768458423e-10
t132,7.307511880201688e-10
t133,6.087312835315941e-10
t134,7.402289896547926e-10
t135,7.479984354528805e-10
t136,7.258325833532635e-10
t137,6.386486565929869e-10
t138,7.390158233915338e-10
t139,7.436125775836773e-10
t140,7.566050914945296e-10
t141,6.194429545417735e-10
t142,7.478882969034991e-10
t143,7.589965836535113e-10
t144,7.756557179027054e-10
t145,6.497005713322868e-10
t146,7.681439336513247e-10
t147,7.751237271895883e-10
t148,7.889911394034207e-10
t149,6.593601686433503e-10
t150,8.111321144454929e-10
