Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,Total
t13,0.0,0.0,0.0,0.0,0.0,1.0151601650270429e-10,9.89811783555094e-11,1.827902841415448e-10,3.832874789997585e-10
t14,0.0,0.0,0.0,0.0,0.0,1.0158691466767137e-10,9.903855868421651e-11,1.8547427846570468e-10,3.8609975181759256e-10
t15,0.0,0.0,0.0,0.0,0.0,1.0163215991285724e-10,9.909172155817721e-11,1.8835743924696013e-10,3.890813207179946e-10
t16,0.0,0.0,0.0,0.0,0.0,1.0127992308581376e-10,9.892104282164251e-11,1.7784107385584234e-10,3.780420397632986e-10
t17,0.0,0.0,0.0,0.0,0.0,1.0132367331018473e-10,9.896133541360942e-11,1.804732251550828e-10,3.8075823387887696e-10
t18,0.0,0.0,0.0,0.0,0.0,1.0136496598014848e-10,9.900172367838448e-11,1.8307871970564513e-10,3.834454093641781e-10
t19,0.0,0.0,0.0,0.0,0.0,1.0140746076652369e-10,9.903830705309485e-11,1.8576940486227526e-10,3.862151726818938e-10
t20,0.0,0.0,0.0,0.0,0.0,1.0143962585506849e-10,9.907763527336825e-11,1.8868339878686111e-10,3.8920065991529785e-10
t21,0.0,0.0,0.0,0.0,0.0,1.0104758867754251e-10,9.887194797050357e-11,1.7807503646309823e-10,3.779945731111443e-10
t22,0.0,0.0,0.0,0.0,0.0,1.0099840393084982e-10,9.888270702273073e-11,1.8081740941286352e-10,3.806985203664441e-10
t23,0.0,0.0,0.0,0.0,0.0,1.0095999659205148e-10,9.888072035754993e-11,1.8347373484003628e-10,3.833144517896377e-10
t24,0.0,0.0,0.0,0.0,0.0,1.0098457930485471e-10,9.888989147331246e-11,1.8620242394715416e-10,3.8607689472532134e-10
t25,0.0,0.0,0.0,0.0,0.0,1.010294375688376e-10,9.890063729514969e-11,1.8904710449793953e-10,3.889771793619268e-10
t26,0.0,0.0,0.0,0.0,0.0,1.0074932443210606e-10,9.869710824156522e-11,1.7862817282541793e-10,3.780746054990892e-10
t27,0.0,0.0,0.0,0.0,0.0,1.0085670985874322e-10,9.872646434599461e-11,1.8163424999403565e-10,3.812174241987735e-10
t28,0.0,0.0,0.0,0.0,0.0,1.0096763106113986e-10,9.874850540754502e-11,1.845467854380006e-10,3.842629219066855e-10
t29,0.0,0.0,0.0,0.0,0.0,1.0108129395406062e-10,9.87780453484451e-11,1.87508447573073e-10,3.873677868755787e-10
t30,0.0,0.0,0.0,0.0,0.0,1.0118618796285301e-10,9.881774771479153e-11,1.9064514124053457e-10,3.906490769181791e-10
t31,0.0,0.0,0.0,0.0,0.0,1.0084272485911654e-10,9.85863753304767e-11,1.7980792106696896e-10,3.792370212565622e-10
t32,0.0,0.0,0.0,0.0,0.0,1.0123745939520918e-10,9.883094122064045e-11,1.831623690067017e-10,3.8323076962255133e-10
t33,0.0,0.0,0.0,0.0,0.0,1.0113131791448797e-10,9.866576595427411e-11,1.8559366637747416e-10,3.8539075024623624e-10
t34,0.0,0.0,0.0,0.0,0.0,1.0127897960981424e-10,9.872341311540614e-11,1.8860877455766833e-10,3.886111672828887e-10
t35,0.0,0.0,0.0,0.0,0.0,1.0138587979554871e-10,9.878112025770726e-11,1.918874731693528e-10,3.920544732226088e-10
t36,0.0,0.0,0.0,0.0,0.0,1.0104767516000347e-10,9.856749284807651e-11,1.8110354506940386e-10,3.8071871307748385e-10
t37,0.0,0.0,0.0,0.0,0.0,1.0132486883057858e-10,9.883347605687795e-11,1.8459172401893134e-10,3.8475006890638786e-10
t38,0.0,0.0,0.0,0.0,0.0,1.0115304265550175e-10,9.871099175088207e-11,1.8709187076465266e-10,3.869559051710365e-10
t39,0.0,0.0,0.0,0.0,0.0,1.011473593586108e-10,9.877412783076522e-11,1.9010343646576125e-10,3.900249236551373e-10
t40,0.0,0.0,0.0,0.0,0.0,1.0095982051695692e-10,9.881467375261808e-11,1.9325449533589633e-10,3.9302898960547133e-10
t41,0.0,0.0,0.0,0.0,0.0,1.0023850997591647e-10,9.86106696436227e-11,1.8229762488451457e-10,3.8114680450405374e-10
t42,0.0,0.0,0.0,0.0,0.0,9.999621965723557e-11,9.87419583515325e-11,1.8523319756500483e-10,3.839713755737729e-10
