Resource,onshore_wind,solar_pv_sat,hydro,battery,pumped_hydro,Total
t9348,0.0,57.93617064,0.0,0.0,0.0,57.93617064
t9349,0.0,58.3283249,0.0,0.0,0.0,58.3283249
t9350,0.0,58.80918742,0.0,0.0,0.0,58.80918742
t9351,0.0,59.24554207,0.0,0.0,0.0,59.24554207
t9352,0.0,59.66823588,0.0,0.0,0.0,59.66823588
t9353,0.0,60.13578529,0.0,0.0,0.0,60.13578529
t9354,0.0,60.47642115,0.0,0.0,0.0,60.47642115
t9355,0.0,60.89285262,0.0,0.0,0.0,60.89285262
t9356,0.0,61.48098243,0.0,0.0,0.0,61.48098243
t9357,0.0,61.88579272,0.0,0.0,0.0,61.88579272
t9358,0.0,62.39988964,0.0,0.0,0.0,62.39988964
t9359,0.0,62.92442607,0.0,0.0,0.0,62.92442607
t9360,0.0,63.38682777,0.0,0.0,0.0,63.38682777
t9361,0.0,63.97966838,0.0,0.0,0.0,63.97966838
t9362,0.0,64.50777457,0.0,0.0,0.0,64.50777457
t9363,0.0,64.96096654,0.0,0.0,0.0,64.96096654
t9364,0.0,65.51727572,0.0,0.0,0.0,65.51727572
t9365,0.0,65.93280603,0.0,0.0,0.0,65.93280603
t9366,0.0,66.44440287,0.0,0.0,0.0,66.44440287
t9367,0.0,67.00094821,0.0,0.0,0.0,67.00094821
t9368,0.0,67.34410408,0.0,0.0,0.0,67.34410408
t9369,0.0,67.8639694,0.0,0.0,0.0,67.8639694
t9370,0.0,68.37237725,0.0,0.0,0.0,68.37237725
t9371,0.0,68.88505851,0.0,0.0,0.0,68.88505851
t9372,0.0,69.30696132,0.0,0.0,0.0,69.30696132
t9373,0.0,69.93950536,0.0,0.0,0.0,69.93950536
t9374,0.0,70.6924042,0.0,0.0,0.0,70.6924042
t9375,0.0,71.18530653,0.0,0.0,0.0,71.18530653
t9376,0.0,71.69759836,0.0,0.0,0.0,71.69759836
t9377,0.0,72.12519863,0.0,0.0,0.0,72.12519863
t9378,0.0,72.5113757,0.0,0.0,0.0,72.5113757
t9379,0.0,72.96938227,0.0,0.0,0.0,72.96938227
t9380,0.0,73.65162113,0.0,0.0,0.0,73.65162113
t9381,0.0,74.1690486,0.0,0.0,0.0,74.1690486
t9382,0.0,74.77945786,0.0,0.0,0.0,74.77945786
t9383,0.0,75.27042278,0.0,0.0,0.0,75.27042278
t9384,0.0,75.77857402,0.0,0.0,0.0,75.77857402
t9385,0.0,76.16377764,0.0,0.0,0.0,76.16377764
t9386,0.0,76.73772963,0.0,0.0,0.0,76.73772963
t9387,0.0,77.32666434,0.0,0.0,0.0,77.32666434
t9388,0.0,77.91427713,0.0,0.0,0.0,77.91427713
t9389,0.0,78.52232066,0.0,0.0,0.0,78.52232066
t9390,0.0,79.04575521,0.0,0.0,0.0,79.04575521
t9391,0.0,79.57668124,0.0,0.0,0.0,79.57668124
t9392,0.0,80.22577102,0.0,0.0,0.0,80.22577102
t9393,0.0,80.73560859,0.0,0.0,-0.0,80.73560859
t9394,0.0,81.44066377,0.0,0.0,0.0,81.44066377
t9395,0.0,82.19480708,0.0,0.0,-0.0,82.19480708
t9396,0.0,82.73081769,0.0,0.0,-0.0,82.73081769
t9397,0.0,83.2954721,0.0,0.0,-0.0,83.2954721
t9398,0.0,83.9263811,0.0,0.0,0.0,83.9263811
t9399,0.0,343.3725657396806,0.0,0.0,-0.0,343.3725657396806
t9400,0.0,402.72555150770967,0.0,0.0,0.0,402.72555150770967
t9401,0.0,402.72555150770967,0.0,0.0,-0.0,402.72555150770967
t9402,0.0,402.72555150770967,0.0,0.0,0.0,402.72555150770967
t9403,0.0,402.72555150770967,0.0,0.0,-0.0,402.72555150770967
t9404,0.0,401.94962945030744,0.0,0.0,0.0,401.94962945030744
t9405,0.0,401.1737073929052,0.0,0.0,0.0,401.1737073929052
t9406,0.0,400.397785335503,0.0,0.0,0.0,400.397785335503
t9407,0.0,399.6218632781008,-0.0,0.0,0.0,399.6218632781008
t9408,0.0,398.8459412206986,-0.0,0.0,0.0,398.8459412206986
t9409,0.0,398.0700191632963,0.0,0.0,0.0,398.0700191632963
t9410,0.0,394.238315899716,0.0,0.0,0.0,394.238315899716
t9411,0.0,390.40661263613555,-0.0,0.0,0.0,390.40661263613555
t9412,0.0,386.57490937255517,0.0,0.0,0.0,386.57490937255517
t9413,0.0,382.7432057062492,-0.0,0.0,-0.0,382.7432057062492
t9414,0.0,378.91150244266885,0.0,0.0,-0.0,378.91150244266885
t9415,0.0,375.0797991790884,-0.0,0.0,-0.0,375.0797991790884
t9416,0.0,369.6323742928023,0.0,0.0,-0.0,369.6323742928023
t9417,0.0,364.1849490037906,0.0,0.0,-0.0,364.1849490037906
t9418,0.0,358.7375241175045,0.0,0.0,0.0,358.7375241175045
t9419,0.0,353.2900992312184,0.0,0.0,-0.0,353.2900992312184
t9420,0.0,347.84267394220666,0.0,0.0,-0.0,347.84267394220666
t9421,0.0,342.39524905592054,0.0,0.0,-0.0,342.39524905592054
t9422,0.0,333.4892779448445,0.0,0.0,0.0,333.4892779448445
