Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
t71,0.0,0.0,27664.406990451906,0.0,27664.406990451906
t72,0.0,0.0,27463.307508087426,0.0,27463.307508087426
t73,0.0,0.0,28005.00196960132,0.0,28005.00196960132
t74,0.0,0.0,27819.46247395221,0.0,27819.46247395221
t75,0.0,0.0,25581.84556746514,0.0,25581.84556746514
t76,0.0,0.0,25216.44822006447,0.0,25216.44822006447
t77,0.0,0.0,25249.202985726668,0.0,25249.202985726668
t78,0.0,0.0,22016.466698328197,0.0,22016.466698328197
t79,0.0,0.0,20996.70091704799,0.0,20996.70091704799
t80,0.0,0.0,19259.742597457345,0.0,19259.742597457345
t81,0.0,6824.363554148764,16924.152282487095,0.0,23748.51583663586
t82,0.0,13492.87866525153,16802.4566908959,0.0,30295.33535614743
t83,0.0,18120.37858954037,16184.02584339384,0.0,34304.404432934214
t84,0.0,20353.2072447186,2419.2063886090305,0.0,22772.41363332763
t85,0.0,20164.39086179749,1144.8314671502183,0.0,21309.222328947708
t86,0.0,19427.10784277219,628.2417610445104,0.0,20055.349603816703
t87,0.0,15824.611140055104,264.95126740482215,0.0,16089.562407459925
t88,0.0,10019.256636591706,379.05005826382654,0.0,10398.306694855533
t89,0.0,839.1839240938313,175.7184958741935,0.0,1014.9024199680248
t90,0.0,0.0,1626.7128190041228,0.0,1626.7128190041228
t91,0.0,0.0,6277.136399906362,0.0,6277.136399906362
t92,0.0,0.0,7714.49299585062,0.0,7714.49299585062
t93,0.0,0.0,11676.192283382894,0.0,11676.192283382894
t94,0.0,0.0,10942.357899693834,0.0,10942.357899693834
t95,0.0,0.0,12989.818677123796,0.0,12989.818677123796
t96,0.0,0.0,11758.452087170972,0.0,11758.452087170972
t97,0.0,0.0,9126.363767424591,0.0,9126.363767424591
t98,0.0,0.0,14639.14834536859,0.0,14639.14834536859
t99,0.0,0.0,10248.992027419443,0.0,10248.992027419443
t100,0.0,0.0,11884.494467700604,0.0,11884.494467700604
t101,0.0,0.0,12128.8243987858,0.0,12128.8243987858
t102,0.0,0.0,10161.695569069265,0.0,10161.695569069265
t103,0.0,0.0,6388.4155860911305,0.0,6388.4155860911305
t104,0.0,0.0,7140.772487671175,0.0,7140.772487671175
t105,0.0,3095.989262817599,8326.975276281977,0.0,11422.964539099576
t106,0.0,8403.827582711081,7421.625886341277,0.0,15825.453469052358
t107,0.0,13103.257557636534,6907.554913569711,0.0,20010.812471206245
t108,0.0,17721.766225595802,5868.042753326953,0.0,23589.808978922756
t109,0.0,16031.41003563537,5972.39288151054,0.0,22003.80291714591
t110,0.0,14547.852741255203,9897.469803738775,0.0,24445.32254499398
t111,0.0,11907.420465802827,11494.990362529637,0.0,23402.410828332464
t112,0.0,8835.407886530766,22666.36457746026,0.0,31501.772463991023
t113,0.0,2688.3856425434524,21669.328948786264,0.0,24357.714591329717
t114,0.0,0.0,22681.25673820178,0.0,22681.25673820178
t115,0.0,0.0,19193.51528713481,0.0,19193.51528713481
t116,0.0,0.0,12846.848615234236,0.0,12846.848615234236
t117,0.0,0.0,13433.585953414638,0.0,13433.585953414638
t118,0.0,0.0,2722.9947021081116,0.0,2722.9947021081116
t119,0.0,0.0,10449.297346115987,0.0,10449.297346115987
t120,0.0,0.0,4704.131859467765,0.0,4704.131859467765
t121,0.0,0.0,9344.486415806028,0.0,9344.486415806028
t122,0.0,0.0,8367.218442231855,0.0,8367.218442231855
t123,0.0,0.0,4260.454306908647,0.0,4260.454306908647
t124,0.0,0.0,1954.7714859459572,0.0,1954.7714859459572
t125,0.0,0.0,4162.602988469615,0.0,4162.602988469615
t126,0.0,0.0,5856.706311043199,0.0,5856.706311043199
t127,0.0,0.0,6774.184562879587,0.0,6774.184562879587
t128,0.0,0.0,6518.09004152863,0.0,6518.09004152863
t129,0.0,3066.0184083856766,12138.145753589059,0.0,15204.164161974735
t130,0.0,8808.434117542034,14840.824835351093,0.0,23649.258952893128
t131,0.0,15093.322291916194,7045.450767986982,0.0,22138.77305990318
t132,0.0,18581.92974779198,7117.204958395511,0.0,25699.13470618749
t133,0.0,17823.667130664337,6069.381964479681,0.0,23893.04909514402
t134,0.0,12770.581073442194,8406.29321140933,0.0,21176.874284851525
t135,0.0,10936.364782208537,4960.585639793227,0.0,15896.950422001762
t136,0.0,5970.19420283897,3731.8717526915802,0.0,9702.06595553055
t137,0.0,452.55990192203046,7888.733710499192,0.0,8341.293612421223
t138,0.0,0.0,11488.735240648215,0.0,11488.735240648215
t139,0.0,0.0,9762.64812406964,0.0,9762.64812406964
t140,0.0,0.0,4886.307719667365,0.0,4886.307719667365
t141,0.0,0.0,8382.504492942213,0.0,8382.504492942213
t142,0.0,0.0,8838.229556760109,0.0,8838.229556760109
t143,0.0,0.0,10984.575659829552,0.0,10984.575659829552
t144,0.0,0.0,11290.690797569918,0.0,11290.690797569918
t145,0.0,0.0,10047.4115059852,0.0,10047.4115059852
t146,0.0,0.0,12445.087111360896,0.0,12445.087111360896
t147,0.0,0.0,14402.473131167286,0.0,14402.473131167286
t148,0.0,0.0,13483.384976829908,0.0,13483.384976829908
t149,0.0,0.0,9413.2169225861,0.0,9413.2169225861
t150,0.0,0.0,2815.322606339333,0.0,2815.322606339333
t151,0.0,0.0,1916.0090696098282,0.0,1916.0090696098282
t152,0.0,0.0,2042.261169561087,0.0,2042.261169561087
t153,0.0,5643.511889531014,4470.001674038835,0.0,10113.51356356985
t154,0.0,12189.146497462898,7278.200988980217,0.0,19467.347486443115
t155,0.0,16418.034057807166,9300.764179022226,0.0,25718.798236829392
t156,0.0,19139.387640225734,6059.729290041315,0.0,25199.11693026705
t157,0.0,19493.04372252242,6160.270003696759,0.0,25653.313726219178
t158,0.0,18914.606231986316,7702.816998994615,0.0,26617.42323098093
t159,0.0,15264.15616217815,10007.077885629478,0.0,25271.23404780763
t160,0.0,8961.28547514484,11369.79963434584,0.0,20331.08510949068
t161,0.0,1657.3882500853167,9862.815007363026,0.0,11520.203257448342
t162,0.0,0.0,19223.9813776592,0.0,19223.9813776592
t163,0.0,0.0,25835.186596278865,0.0,25835.186596278865
t164,0.0,0.0,24923.00919925134,0.0,24923.00919925134
t165,0.0,0.0,26507.54570690459,0.0,26507.54570690459
t166,0.0,0.0,24632.953943800567,0.0,24632.953943800567
t167,0.0,0.0,25562.48104398512,0.0,25562.48104398512
t168,0.0,0.0,27318.655276795987,0.0,27318.655276795987
t169,0.0,0.0,23532.779512415105,0.0,23532.779512415105
t170,0.0,0.0,23919.512149415994,0.0,23919.512149415994
t171,0.0,0.0,22656.645738784515,0.0,22656.645738784515
t172,0.0,0.0,21818.568117043014,0.0,21818.568117043014
t173,0.0,0.0,21652.213494555846,0.0,21652.213494555846
t174,0.0,0.0,19947.353569832227,0.0,19947.353569832227
t175,0.0,0.0,17620.79414226881,0.0,17620.79414226881
t176,0.0,2349.7149874627275,18503.726342919876,0.0,20853.441330382604
t177,0.0,10226.055532171971,15727.781281155892,0.0,25953.836813327864
t178,0.0,16250.197272988404,5148.495047538246,0.0,21398.69232052665
t179,0.0,20825.21038049938,5626.682208999078,0.0,26451.892589498457
t180,0.0,22282.142723453995,7621.695381017732,0.0,29903.838104471728
t181,0.0,22443.466476461377,10735.738822531988,0.0,33179.205298993365
t182,0.0,22272.706601324284,16103.175915008365,0.0,38375.88251633265
t183,0.0,20631.93619093548,11220.930487446376,0.0,31852.866678381855
t184,0.0,16076.366317283251,8707.819694278403,0.0,24784.186011561655
t185,0.0,10055.221661910015,7460.685568069511,0.0,17515.907229979526
t186,0.0,2277.784936826113,8315.275374474482,0.0,10593.060311300596
t187,0.0,0.0,9366.177828042226,0.0,9366.177828042226
t188,0.0,0.0,6884.065834281581,0.0,6884.065834281581
t189,0.0,0.0,6857.587728166612,0.0,6857.587728166612
t190,0.0,0.0,12725.601665725791,0.0,12725.601665725791
t191,0.0,0.0,9307.70422239172,0.0,9307.70422239172
t192,0.0,0.0,18385.303001605153,0.0,18385.303001605153
t193,0.0,0.0,21275.739838873425,0.0,21275.739838873425
t194,0.0,0.0,18128.618023049625,0.0,18128.618023049625
t195,0.0,0.0,19508.656012097512,0.0,19508.656012097512
t196,0.0,0.0,21729.766472049858,0.0,21729.766472049858
t197,0.0,0.0,20264.574450101296,0.0,20264.574450101296
t198,0.0,0.0,16599.357722339868,0.0,16599.357722339868
t199,0.0,0.0,17990.943284271038,0.0,17990.943284271038
t200,0.0,1576.466943119126,11902.956917737481,0.0,13479.423860856608
t201,0.0,8116.107380164624,8171.152849579171,0.0,16287.260229743795
t202,0.0,14053.33364312848,20652.66266191234,0.0,34705.996305040826
t203,0.0,21495.096798574847,25833.314686872756,0.0,47328.41148544761
t204,0.0,20691.877899799325,26709.50894836314,0.0,47401.38684816247
t205,0.0,22196.414792281837,27603.45399930649,0.0,49799.86879158833
t206,0.0,22448.53494578302,27938.605269081076,0.0,50387.14021486409
t207,0.0,21315.271671983315,27772.301950704248,0.0,49087.57362268756
t208,0.0,16693.76591858086,27458.147848813143,0.0,44151.913767394
t209,0.0,10609.682468900579,27743.931438347026,0.0,38353.61390724761
t210,0.0,2637.4351900091838,27587.987758418752,0.0,30225.422948427935
t211,0.0,0.0,24990.077995884032,0.0,24990.077995884032
t212,0.0,0.0,18185.741292138395,0.0,18185.741292138395
t213,0.0,0.0,15383.86722024705,0.0,15383.86722024705
t214,0.0,0.0,16016.836643451707,0.0,16016.836643451707
t215,0.0,0.0,18724.514887767822,0.0,18724.514887767822
t216,0.0,0.0,15998.390883597132,0.0,15998.390883597132
t217,0.0,0.0,11123.848566301716,0.0,11123.848566301716
t218,0.0,0.0,11032.173091378154,0.0,11032.173091378154
t219,0.0,0.0,16477.334623346873,0.0,16477.334623346873
t220,0.0,0.0,14273.611538014682,0.0,14273.611538014682
t221,0.0,0.0,13237.128869889753,0.0,13237.128869889753
t222,0.0,0.0,7611.506533971686,0.0,7611.506533971686
