Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
t72,0.0,0.0,0.0,-0.0
t73,0.0,0.0,0.0,7767.525593182239
t74,0.0,0.0,0.0,10429.773443888658
t75,0.0,0.0,0.0,1252.6401816223088
t76,0.0,0.0,0.0,9020.165774804547
t77,0.0,0.0,0.0,132.85728138766945
t78,0.0,0.0,0.0,7655.075190215716
t79,0.0,0.0,0.0,9991.63026037745
t80,0.0,0.0,0.0,814.4969981110988
t81,0.0,0.0,0.0,7078.135333981006
t82,0.0,0.0,0.0,14845.660927163244
t83,0.0,0.0,0.0,20077.198141670553
t84,0.0,0.0,0.0,25608.217788749324
t85,0.0,0.0,0.0,29907.311367799684
t86,0.0,0.0,0.0,33087.398388290465
t87,0.0,0.0,0.0,33087.398388290465
t88,0.0,0.0,0.0,32486.002095101114
t89,0.0,0.0,0.0,23668.52202804278
t90,0.0,0.0,0.0,14512.371115177875
t91,0.0,0.0,0.0,10570.436136619277
t92,0.0,0.0,0.0,8652.19180081676
t93,0.0,0.0,0.0,9020.00920206026
t94,0.0,0.0,0.0,9020.00920206026
t95,0.0,0.0,0.0,9036.404980792886
t96,0.0,0.0,0.0,9036.404980792886
t97,0.0,0.0,0.0,8818.469401109496
t98,0.0,0.0,0.0,12549.807376824314
t99,0.0,0.0,0.0,12549.807376824314
t100,0.0,0.0,0.0,13992.726966698747
t101,0.0,0.0,0.0,15386.495101716702
t102,0.0,0.0,0.0,15386.495101716702
t103,0.0,0.0,0.0,9297.158576159767
t104,0.0,0.0,0.0,2843.811193637217
t105,0.0,0.0,0.0,21.418734982419952
t106,0.0,0.0,0.0,0.0
t107,0.0,0.0,0.0,3755.295849359108
t108,0.0,0.0,0.0,10965.348928841388
t109,0.0,0.0,0.0,16777.964548872496
t110,0.0,0.0,0.0,24545.490142054736
t111,0.0,0.0,0.0,31961.67196960578
t112,0.0,0.0,0.0,33087.398388290465
t113,0.0,0.0,0.0,28555.08861715306
t114,0.0,0.0,0.0,33087.398388290465
t115,0.0,0.0,0.0,33087.398388290465
t116,0.0,0.0,0.0,32037.08134867937
t117,0.0,0.0,0.0,31381.682420854417
t118,0.0,0.0,0.0,23105.29157577903
t119,0.0,0.0,0.0,23091.92329936004
t120,0.0,0.0,0.0,19831.967538673012
t121,0.0,0.0,0.0,19598.09825178398
t122,0.0,0.0,0.0,19598.09825178398
t123,0.0,0.0,0.0,17435.836323452004
t124,0.0,0.0,0.0,12824.671338843436
t125,0.0,0.0,0.0,10318.98629343892
t126,0.0,0.0,0.0,8602.213336833618
t127,0.0,0.0,0.0,5902.175867711873
t128,0.0,0.0,0.0,33.27875486928772
t129,0.0,0.0,0.0,0.0
t130,0.0,0.0,0.0,7519.097333995678
t131,0.0,0.0,0.0,13566.632481155555
t132,0.0,0.0,0.0,19025.842436853098
t133,0.0,0.0,0.0,26793.368030035334
t134,0.0,0.0,0.0,32488.821152205346
t135,0.0,0.0,0.0,33087.398388290465
t136,0.0,0.0,0.0,29942.5915766207
t137,0.0,0.0,0.0,25658.508158878198
t138,0.0,0.0,0.0,23906.59019814379
t139,0.0,0.0,0.0,20561.39513794189
t140,0.0,0.0,0.0,12415.959179883142
t141,0.0,0.0,0.0,8746.280254155474
t142,0.0,0.0,0.0,6447.450507844065
t143,0.0,0.0,0.0,6088.009457554581
t144,0.0,0.0,0.0,6854.362824686038
t145,0.0,0.0,0.0,7277.074281649387
t146,0.0,0.0,0.0,10352.215365184948
t147,0.0,0.0,0.0,15471.914184678346
t148,0.0,0.0,0.0,19841.805494671855
t149,0.0,0.0,0.0,20369.55389184825
t150,0.0,0.0,0.0,15264.272095203052
t151,0.0,0.0,0.0,8405.497091514395
t152,0.0,0.0,0.0,866.6986948145435
t153,0.0,0.0,0.0,0.0
t154,0.0,0.0,0.0,5539.167575102769
t155,0.0,0.0,0.0,7681.701722637983
t156,0.0,0.0,0.0,12667.167713417333
t157,0.0,0.0,0.0,18256.7377447332
t158,0.0,0.0,0.0,23546.25121159012
t159,0.0,0.0,0.0,25365.632316033643
t160,0.0,0.0,0.0,20718.41901490948
t161,0.0,0.0,0.0,11541.285752643129
t162,0.0,0.0,0.0,2364.1524903767845
t163,0.0,0.0,0.0,5766.50692532733
t164,0.0,0.0,0.0,9177.13326226635
t165,0.0,0.0,0.0,0.0
t166,0.0,0.0,0.0,7767.525593182239
t167,0.0,0.0,0.0,1193.091931112792
t168,0.0,0.0,0.0,8960.617524295032
t169,0.0,0.0,0.0,9177.13326226635
t170,0.0,0.0,0.0,-0.0
t171,0.0,0.0,0.0,7767.525593182239
t172,0.0,0.0,0.0,1193.091931112792
t173,0.0,0.0,0.0,8960.617524295032
t174,0.0,0.0,0.0,11709.968180851358
t175,0.0,0.0,0.0,2532.834918585009
t176,0.0,0.0,0.0,5623.734118091888
