Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
t69,0.0,0.0,0.0,21.672397103638
t70,0.0,0.0,0.0,21.672397103638
t71,0.0,0.0,0.0,21.672397103638
t72,0.0,0.0,0.0,21.672397103638
t73,0.0,0.0,0.0,21.672397103638
t74,0.0,0.0,0.0,21.672397103638
t75,0.0,0.0,0.0,21.672397103638
t76,0.0,0.0,0.0,21.672397103638
t77,0.0,0.0,0.0,21.672397103638
t78,0.0,0.0,0.0,21.672397103638
t79,0.0,0.0,0.0,21.672397103638
t80,0.0,0.0,0.0,21.672397103638
t81,0.0,0.0,0.0,21.672397103638
t82,0.0,0.0,0.0,21.672397103638
t83,0.0,0.0,0.0,21.672397103638
t84,0.0,0.0,0.0,21.672397103638
t85,0.0,0.0,0.0,21.672397103638
t86,0.0,0.0,0.0,21.672397103638
t87,0.0,0.0,0.0,1.7968750000000087
t88,0.0,0.0,0.0,-210.1588653108004
t89,0.0,0.0,0.0,-210.1588653108004
t90,0.0,0.0,0.0,-210.1588653108004
t91,0.0,0.0,0.0,-210.1588653108004
t92,0.0,0.0,0.0,-210.1588653108004
t93,0.0,0.0,0.0,-210.1588653108004
t94,0.0,0.0,0.0,-210.1588653108004
t95,0.0,0.0,0.0,-210.1588653108004
t96,0.0,0.0,0.0,-210.1588653108004
t97,0.0,0.0,0.0,-210.1588653108004
t98,0.0,0.0,0.0,-210.1588653108004
t99,0.0,0.0,0.0,-210.1588653108004
t100,0.0,0.0,0.0,-210.1588653108004
t101,0.0,0.0,0.0,-210.1588653108004
t102,0.0,0.0,0.0,-210.1588653108004
t103,0.0,0.0,0.0,-210.1588653108004
t104,0.0,0.0,0.0,-210.1588653108004
t105,0.0,0.0,0.0,-210.1588653108004
t106,0.0,0.0,0.0,-210.1588653108004
t107,0.0,0.0,0.0,21.672397103638
t108,0.0,0.0,0.0,21.672397103638
t109,0.0,0.0,0.0,21.672397103638
t110,0.0,0.0,0.0,21.672397103638
t111,0.0,0.0,0.0,21.672397103638
t112,0.0,0.0,0.0,21.672397103638
t113,0.0,0.0,0.0,21.672397103638
t114,0.0,0.0,0.0,21.672397103638
t115,0.0,0.0,0.0,21.672397103638
t116,0.0,0.0,0.0,-177.60246359906148
t117,0.0,0.0,0.0,-177.60246359906148
t118,0.0,0.0,0.0,-177.60246359906148
t119,0.0,0.0,0.0,-177.60246359906148
t120,0.0,0.0,0.0,-177.60246359906148
t121,0.0,0.0,0.0,-177.60246359906148
t122,0.0,0.0,0.0,-177.60246359906148
t123,0.0,0.0,0.0,-177.60246359906148
t124,0.0,0.0,0.0,-177.60246359906148
t125,0.0,0.0,0.0,-177.60246359906148
t126,0.0,0.0,0.0,-177.60246359906148
t127,0.0,0.0,0.0,-177.60246359906148
t128,0.0,0.0,0.0,-177.60246359906148
t129,0.0,0.0,0.0,-177.60246359906148
t130,0.0,0.0,0.0,21.672397103638
t131,0.0,0.0,0.0,21.672397103638
t132,0.0,0.0,0.0,21.672397103638
t133,0.0,0.0,0.0,21.672397103638
t134,0.0,0.0,0.0,21.672397103638
t135,0.0,0.0,0.0,21.672397103638
t136,0.0,0.0,0.0,-177.60246359906148
t137,0.0,0.0,0.0,-177.60246359906148
t138,0.0,0.0,0.0,-177.60246359906148
t139,0.0,0.0,0.0,-177.60246359906148
t140,0.0,0.0,0.0,-177.60246359906148
t141,0.0,0.0,0.0,-177.60246359906148
