Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
t156,0.0,19158.546186412146,0.0,1386.2082074364484,20544.754393848594
t157,0.0,19512.556278801225,0.0,1085.2031612419096,20597.759440043134
t158,0.0,18933.539771758074,0.0,1234.7114147634848,20168.25118652156
t159,0.0,15279.435597775926,0.0,2963.763501754558,18243.199099530484
t160,0.0,8970.255730875715,0.0,6185.853435204664,15156.10916608038
t161,0.0,1659.0472973826993,3741.990101332258,8442.962601285042,13844.0
t162,0.0,-0.0,6348.037398714958,8442.962601285042,14791.0
t163,0.0,-0.0,18710.922018991758,2175.0202911466417,20885.942310138398
t164,0.0,-0.0,18250.165248876285,2170.8986762043774,20421.063925080663
t165,0.0,-0.0,5261.037398714958,8442.962601285042,13704.0
t166,0.0,-0.0,21505.962601285042,0.0,21505.962601285042
t167,0.0,-0.0,6374.715509829723,7146.123545727661,13520.839055557382
t168,0.0,-0.0,19744.962601285042,0.0,19744.962601285042
t169,0.0,-0.0,12756.08252094462,3167.9400401702123,15924.02256111483
t170,0.0,-0.0,1809.037398714958,8442.962601285042,10252.0
t171,0.0,-0.0,18479.962601285046,0.0,18479.962601285046
t172,0.0,-0.0,4120.715509829723,7146.123545727661,11266.839055557382
t173,0.0,-0.0,18495.962601285042,0.0,18495.962601285042
t174,0.0,-0.0,13812.18168523669,2500.3904580241765,16312.572143260866
t175,0.0,-0.0,2376.0373987149583,8442.962601285042,10819.0
t176,0.0,2352.0670545172443,12822.479296571382,2330.2081250982083,17504.754476186834
t177,0.0,10236.291823995967,0.0,5173.8353886445375,15410.127212640506
t178,0.0,16266.463736725129,0.0,2415.7494322799566,18682.213169005085
t179,0.0,10383.6164677953,0.0,5452.673066744872,15836.289534540172
t180,0.0,17493.01152901013,0.0,1911.4755361374537,19404.487065147587
t181,0.0,21173.962601285042,0.0,-0.0,21173.962601285042
t182,0.0,20928.962601285042,0.0,-0.0,20928.962601285042
t183,0.0,20652.588779715195,0.0,27.186910784923413,20679.77569050012
t184,0.0,16092.45877605931,0.0,2297.2519126128664,18389.710688672174
t185,0.0,10065.286948858873,3317.0738914559975,3870.3008804850856,17252.661720799955
t186,0.0,2280.0650018279407,8323.59897344793,5868.649313004586,16472.313288280457
t187,0.0,-0.0,9375.55338142365,6852.704609930696,16228.257991354345
t188,0.0,-0.0,6890.956791072655,7939.502905106194,14830.459696178848
t189,0.0,-0.0,6864.452180346959,7725.255210469042,14589.707390816002
t190,0.0,-0.0,12738.340005731523,4429.31129777676,17167.651303508283
t191,0.0,-0.0,9317.021243635356,5580.6265977446965,14897.647841380052
t192,0.0,-0.0,18403.706708313464,710.1279464857893,19113.834654799255
t193,0.0,-0.0,3159.1763390620713,8038.893131111486,11198.069470173557
t194,0.0,-0.0,18146.764787837466,373.0989067237882,18519.863694561256
t195,0.0,-0.0,5034.297339131752,6830.332631076646,11864.629970208398
t196,0.0,-0.0,18727.962601285042,0.0,18727.962601285042
t197,0.0,-0.0,3749.6737737123167,7627.644413786363,11377.31818749868
t198,0.0,-0.0,16615.973696035904,1573.494452624569,18189.468148660475
t199,0.0,-0.0,11300.66096033131,4787.650820476866,16088.311780808177
t200,0.0,1578.044988107233,11914.871789527011,4120.522911825399,17613.439689459643
t201,0.0,8124.2316117764,7344.688831438768,3474.521079034937,18943.441522250105
t202,0.0,14067.401044172651,0.0,4389.280778556195,18456.681822728846
t203,0.0,21516.613411986833,0.0,759.6745946491055,22276.28800663594
t204,0.0,20712.590490289615,0.0,1136.686055497714,21849.27654578733
t205,0.0,22218.633425707543,0.0,266.1645877887491,22484.798013496293
t206,0.0,16105.49327964237,0.0,3194.734660821336,19300.22794046371
t207,0.0,21336.608280263576,0.0,476.6771605107332,21813.285440774307
t208,0.0,16710.476394975834,0.0,2759.7431031546043,19470.21949813044
t209,0.0,10620.302771672252,0.0,6013.829914806395,16634.132686478646
t210,0.0,2640.0752652744577,4361.9621334405,8442.962601285042,15445.0
t211,0.0,-0.0,7650.037398714957,8442.962601285042,16093.0
t212,0.0,-0.0,18203.94523737577,2968.508681954637,21172.453919330408
t213,0.0,-0.0,15399.266486733784,4068.348057275629,19467.61454400941
t214,0.0,-0.0,16032.869512964673,3287.546544160184,19320.416057124858
t215,0.0,-0.0,15415.751095297686,3003.105752993678,18418.856848291365
t216,0.0,-0.0,16014.405288886017,2166.2786561995126,18180.68394508553
t217,0.0,-0.0,11134.983549851568,4261.989525716737,15396.973075568305
t218,0.0,-0.0,11043.21630768584,4131.373146799601,15174.589454485442
t219,0.0,-0.0,16493.82845179867,1338.5670747431861,17832.395526541855
t220,0.0,-0.0,14287.899437452135,2470.0315819164543,16757.93101936859
t221,2223.0000000000005,-0.0,13250.379249138894,2052.291676073074,17525.67092521197
t222,2223.0000000000005,-0.0,7619.125659631317,5372.918470826862,15215.04413045818
t223,4047.2391845507013,-0.0,1232.798214164257,8442.962601285042,13723.0
t224,4750.0,1419.0404550850212,20.99694362993485,8442.962601285042,14633.0
t225,2223.0000000000005,8910.254020301296,529.2138974683444,5848.7473417577,17511.21525952734
t226,2223.0000000000005,15486.441499257675,0.0,2817.760551013683,20527.202050271357
t227,0.0,19671.560811823434,0.0,1818.7008947308047,21490.26170655424
t228,0.0,20442.582792704725,0.0,1359.189904290158,21801.77269699488
t229,0.0,20406.581766360072,0.0,1263.190417462485,21669.772183822555
t230,0.0,20163.574838533677,0.0,1327.6938813756826,21491.26871990936
t231,0.0,15186.432946385576,0.0,3765.264827449733,18951.69777383531
t232,0.0,11370.324153852496,0.0,5675.819223716273,17046.14337756877
t233,0.0,6009.171314028114,246.86608468684312,8442.962601285042,14698.999999999998
t234,0.0,450.0128293081463,23807.9497719769,0.0,24257.962601285046
t235,0.0,-0.0,7792.037398714957,8442.962601285042,16235.0
t236,0.0,-0.0,8045.92481393259,8088.018893676226,16133.943707608816
t237,0.0,-0.0,19461.898280170877,2027.0321605570825,21488.93044072796
t238,0.0,-0.0,11638.07555122075,5430.443525032146,17068.519076252895
t239,0.0,-0.0,19621.31779956542,786.3224008598122,20407.64020042523
t240,0.0,-0.0,5662.86801529991,7186.547292992566,12849.415308292477
t241,0.0,-0.0,15006.089331551551,2120.9366348667454,17127.025966418296
t242,0.0,-0.0,16224.6945668057,1287.6340172396717,17512.328584045372
t243,0.0,-0.0,17603.743571495164,500.60951489493897,18104.353086390103
t244,0.0,-0.0,11914.400840731274,3329.7808802768845,15244.181721008159
t245,117.0,-0.0,1866.0373987149565,8442.962601285042,10425.999999999998
t246,117.0,-0.0,16158.441575642066,1765.260512821488,18040.702088463553
t247,117.0,-0.0,12637.237088435646,4276.362756424699,17030.599844860346
t248,239.1543133140921,534.0152241123336,4622.867861288532,8442.962601285042,13839.0
t249,117.0,8484.241875222917,6809.757076798291,3590.4818246319164,19001.480776653123
t250,117.0,13836.394458461138,454.2886841054923,4107.139729359206,18514.822871925837
t251,0.0,17700.504619453754,0.0,2483.7289909156448,20184.2336103694
t252,0.0,14532.414301124405,0.0,4029.7741500803186,18562.188451204725
t253,0.0,15954.454841738148,0.0,3216.753879773448,19171.208721511597
t254,0.0,18099.515994773643,0.0,2074.2233032556996,20173.739298029344
t255,0.0,17424.496750811424,0.0,2305.732925236809,19730.229676048235
t256,0.0,14385.410110217077,0.0,3760.7762455339835,18146.18635575106
t257,0.0,8463.241276521872,1843.4026084957598,5933.659358133706,16240.303243151338
t258,0.0,1752.0499487730497,4565.987449941907,8442.962601285042,14761.0
t259,0.0,-0.0,23826.962601285042,0.0,23826.962601285042
t260,0.0,-0.0,6575.037398714958,8442.962601285042,15018.0
t261,0.0,-0.0,22877.962601285042,0.0,22877.962601285042
t262,0.0,-0.0,15626.082520944621,3167.9400401702123,18794.022561114834
t263,0.0,-0.0,3839.0373987149574,8442.962601285042,12282.0
t264,0.0,-0.0,19599.962601285042,-0.0,19599.962601285042
t265,0.0,-0.0,4534.715509829723,7146.123545727661,11680.839055557382
t266,0.0,-0.0,18394.962601285046,-0.0,18394.962601285046
t267,0.0,-0.0,1678.426356582184,8243.76812235143,9922.194478933614
t268,0.0,-0.0,18139.962601285042,-0.0,18139.962601285042
t269,0.0,-0.0,3767.5190958909016,7314.721752697071,11082.240848587971
t270,0.0,-0.0,17817.03700598372,752.962797650663,18569.999803634382
t271,0.0,-0.0,15066.056720067503,2904.9529406087695,17971.009660676275
t272,0.0,294.00838181465554,10254.168790265061,5666.392714602664,16214.56988668238
t273,0.0,6339.18072218742,6551.1167720898075,4715.332553503908,17605.630047781135
t274,0.0,10290.293363512947,5031.381071769469,3616.6440830013144,18938.31851828373
t275,0.0,14727.419860491267,0.0,3953.771370396888,18681.191230888155
t276,0.0,17664.503593109104,0.0,2480.72950408797,20145.233097197073
t277,0.0,16329.46553282827,0.0,3078.7485342283867,19408.214067056655
t278,0.0,18381.524034473416,0.0,1977.719283405814,20359.24331787923
t279,0.0,18810.536265080515,0.0,1678.213168102264,20488.74943318278
t280,0.0,15459.440729499185,0.0,3274.760935892929,18734.201665392113
