Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro
t101,0.0,0.0,0.0,0.0,1.0544394594876019e-12,136.02214982706826,4277.541970126893,1.405214657246417e-9
t102,0.0,0.0,0.0,0.0,1.0544232761086615e-12,140.92003169580676,4365.1681672867735,1.4010008707411062e-9
t103,0.0,0.0,0.0,0.0,1.0544312951896034e-12,145.67566359363673,4455.6789664304415,1.403176643779168e-9
t104,0.0,0.0,0.0,0.0,1.0543079142746092e-12,150.3029693079491,4547.997800170762,1.4118421588401169e-9
t105,0.0,0.0,0.0,0.0,1.0542021776887333e-12,154.79879099550377,4640.342247667835,1.4276280426050212e-9
t106,0.0,0.0,0.0,0.0,1.054139578571972e-12,159.14413844047994,4731.852505150012,1.4136742697866618e-9
t107,0.0,0.0,0.0,0.0,1.0541011201102127e-12,163.38696739317035,4824.808426762095,1.4073128141573507e-9
t108,0.0,0.0,0.0,0.0,1.0539285111271264e-12,167.53801847908625,4919.330782170438,1.407890985308739e-9
t109,0.0,0.0,0.0,0.0,1.0537750793045548e-12,171.5915437670709,5013.663277175649,1.4153623016842734e-9
t110,0.0,0.0,0.0,0.0,1.053682934256952e-12,175.568282429712,5110.636065908913,1.4302573484857387e-9
t111,0.0,0.0,0.0,0.0,1.0536133682308918e-12,179.4499071870227,5204.718814870494,1.4156486805180736e-9
t112,0.0,0.0,0.0,0.0,1.0534181006694715e-12,183.27055210023957,5300.239622161185,1.4088021339718315e-9
t113,0.0,0.0,0.0,0.0,1.0532476536088224e-12,186.95732684839018,5392.664481501891,1.4090189015097517e-9
t114,0.0,0.0,0.0,0.0,1.0531444848995704e-12,190.64045378969357,5489.891905375551,1.4162220320189558e-9
t115,0.0,0.0,0.0,0.0,1.053071279166569e-12,194.25610349173525,5587.969764945326,1.430911871733066e-9
t116,0.0,0.0,0.0,0.0,1.0528777079725054e-12,197.81199209193076,5681.4026539602955,1.4161489030501201e-9
t117,0.0,0.0,0.0,0.0,1.0526997339761593e-12,201.26209859916315,5772.389193489579,1.4091870579315463e-9
t118,0.0,0.0,0.0,0.0,1.0526256331801171e-12,204.7152331250379,5867.083724303056,1.4093177107619634e-9
t119,0.0,0.0,0.0,0.0,1.0524288435307985e-12,208.11294222458397,5962.088581583796,1.416453288973286e-9
t120,0.0,0.0,0.0,0.0,1.0522593759603598e-12,211.45915490781772,6055.84032832247,1.4310897995742735e-9
t121,0.0,0.0,0.0,0.0,1.0520794322891436e-12,214.72521269480285,6144.187890643601,1.4162871021153665e-9
t122,0.0,0.0,0.0,0.0,1.051996661611842e-12,218.00103730545,6235.650711008027,1.409295160872736e-9
t123,0.0,0.0,0.0,0.0,1.0517993288906663e-12,221.23233685853222,6327.210421423075,1.4094008104868005e-9
t124,0.0,0.0,0.0,0.0,1.0516220774696803e-12,224.42053660764793,6417.442573344006,1.4165162568209775e-9
t125,0.0,0.0,0.0,0.0,1.0514370083124346e-12,227.5202929223618,6505.271278761294,1.4311368124105798e-9
t126,0.0,0.0,0.0,0.0,1.0513457533293964e-12,230.65742395741816,6593.652841453298,1.4163197430143886e-9
t127,0.0,0.0,0.0,0.0,1.0511387199513253e-12,233.75936362193713,6682.21628460164,1.409314024072764e-9
t128,0.0,0.0,0.0,0.0,1.0509493975398475e-12,236.82629499645273,6770.079446070239,1.409407777484947e-9
t129,0.0,0.0,0.0,0.0,1.050751745700645e-12,239.81778254278953,6855.961092545331,1.4165139715334665e-9
t130,0.0,0.0,0.0,0.0,1.0506523244603512e-12,242.8267853885329,6945.934416250318,1.431130074864494e-9
t131,0.0,0.0,0.0,0.0,1.0504323531381533e-12,245.83578736542677,7033.54590876764,1.4163021650092714e-9
t132,0.0,0.0,0.0,0.0,1.05022904191743e-12,248.81681599146233,7120.693092073298,1.4092889983533885e-9
t133,0.0,0.0,0.0,0.0,1.0500174021646688e-12,251.7323421794122,7205.858369863226,1.4093767828230087e-9
t134,0.0,0.0,0.0,0.0,1.0499078182873654e-12,254.67080337988443,7294.502678245803,1.4164786705387842e-9
t135,0.0,0.0,0.0,0.0,1.0496840173234924e-12,257.58597628096203,7383.605347747927,1.4310886371093801e-9
t136,0.0,0.0,0.0,0.0,1.049473708605503e-12,260.5091409238706,7469.322144832555,1.4162564134873157e-9
t137,0.0,0.0,0.0,0.0,1.0492572692510739e-12,263.3746654228968,7553.058753370837,1.4092394291670776e-9
t138,0.0,0.0,0.0,0.0,1.0491444604577267e-12,266.2670640845236,7640.192240330196,1.4093248558419957e-9
t139,0.0,0.0,0.0,0.0,1.048916589193687e-12,269.14059288354247,7727.724130550387,1.4164232723988654e-9
t140,0.0,0.0,0.0,0.0,1.0487053631317336e-12,271.9970276931523,7814.1037917588155,1.431030022708157e-9
t141,0.0,0.0,0.0,0.0,1.0484852628814191e-12,274.83336328569357,7896.341181575028,1.4161971592914084e-9
t142,0.0,0.0,0.0,0.0,1.0483692875553222e-12,277.70185384121993,7981.736426342897,1.4091802586549113e-9
t143,0.0,0.0,0.0,0.0,1.0481375609496852e-12,280.55671005742477,8067.326092279423,1.4092649864994646e-9
t144,0.0,0.0,0.0,0.0,1.0479227147590119e-12,283.398972967349,8151.733316155007,1.4163629185082158e-9
t145,0.0,0.0,0.0,0.0,1.0477021295651527e-12,286.1875610630926,8234.332797641684,1.4309695124552257e-9
t146,0.0,0.0,0.0,0.0,1.0475837569486833e-12,289.05056892523754,8318.197401467885,1.4161379468348089e-9
t147,0.0,0.0,0.0,0.0,1.0473499320553723e-12,291.90642260855986,8402.82036851652,1.4091211461267848e-9
t148,0.0,0.0,0.0,0.0,1.0471343179053428e-12,294.7547343912294,8486.88428181796,1.4092057954951058e-9
t149,0.0,0.0,0.0,0.0,1.0469144290400282e-12,297.55530781796347,8569.656465460605,1.4163042895657197e-9
t150,0.0,0.0,0.0,0.0,1.0467997629020625e-12,300.39495857076895,8656.317846560136,1.4309119731040633e-9
t151,0.0,0.0,0.0,0.0,1.0465665403319478e-12,303.2751204199945,8741.133264639799,1.4160820116990335e-9
t152,0.0,0.0,0.0,0.0,1.0463516501102883e-12,306.1526837570314,8825.902080195974,1.4090671383996033e-9
t153,0.0,0.0,0.0,0.0,1.0461328618875648e-12,308.98836121017956,8909.68197099143,1.4091548459361883e-9
t154,0.0,0.0,0.0,0.0,1.0460187920795168e-12,311.8703837236225,8997.39687307392,1.4162568682419597e-9
