Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,Total
t83,0.0,0.0,0.0,0.0,0.0,8.883327007371449e-11,8.873050054450334e-11,1.319482590833464e-10,3.0951202970156424e-10
t84,0.0,0.0,0.0,0.0,0.0,8.883661698228518e-11,8.871352079836677e-11,1.2540904046112605e-10,3.02959178241778e-10
t85,0.0,0.0,0.0,0.0,0.0,8.883946062032006e-11,8.869878741337241e-11,1.1667184136772174e-10,2.942100894014142e-10
t86,0.0,0.0,0.0,0.0,0.0,2.662208107363194e-10,8.874676635060405e-11,9.483692263630649e-11,4.4980449972322994e-10
t87,0.0,0.0,0.0,0.0,0.0,1.832702925052432,0.5855483477414745,3.4654126328838844e-10,2.4182512731404477
t88,0.0,0.0,0.0,0.0,0.0,10.90558697743548,8.516954528925917,3.1784122465762435e-10,19.422541506679238
t89,0.0,0.0,0.0,0.0,0.0,11.622935097917738,18.543773105509505,2.9861617499654194e-10,30.16670820372586
t90,0.0,0.0,0.0,0.0,0.0,11.22810509831946,27.948584585985486,2.859962263024795e-10,39.17668968459094
t91,0.0,0.0,0.0,0.0,0.0,9.25237834505629,37.19762334483147,2.5058346982090064e-10,46.45000169013834
t92,0.0,0.0,0.0,0.0,0.0,8.548501354388168,46.01725374832085,2.455910525720872e-10,54.565755102954604
t93,0.0,0.0,0.0,0.0,0.0,8.024235110352642,54.58259143328354,2.42656797050857e-10,62.60682654387884
t94,0.0,0.0,0.0,0.0,0.0,7.639162331042926,63.70939096852014,2.4152113805938995e-10,71.34855329980459
t95,0.0,0.0,0.0,0.0,0.0,7.289868586950078,71.86229613830915,2.4208888745093226e-10,79.15216472550131
t96,0.0,0.0,0.0,0.0,0.0,6.731613448521215,76.1232218882093,2.2161189677755146e-10,82.85483533695214
t97,0.0,0.0,0.0,0.0,0.0,6.368796709837038,80.09488923905535,2.236463738810416e-10,86.46368594911603
t98,0.0,0.0,0.0,0.0,0.0,6.223904490087297,85.87377900479017,2.2596157726170246e-10,92.09768349510342
