Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro
t20,0.0,0.0,0.0,0.0,0.0,-0.16304347826135446,-0.1630434782608748,-0.37417988691985127
t21,0.0,0.0,0.0,0.0,0.0,-0.1630434782613487,-0.1630434782608746,-0.35853863373456346
t22,0.0,0.0,0.0,0.0,0.0,-0.16304347826134766,-0.16304347826087454,-0.3627020935190957
t23,0.0,0.0,0.0,0.0,0.0,-0.16304347826134652,-0.16304347826087448,-0.3667583146147381
t24,0.0,0.0,0.0,0.0,0.0,-0.16304347826134535,-0.16304347826087442,-0.37089198706440446
t25,0.0,0.0,0.0,0.0,0.0,-0.16304347826134405,-0.16304347826087434,-0.37526240720579296
t26,0.0,0.0,0.0,0.0,0.0,-0.16304347826133767,-0.16304347826087415,-0.35978780204253263
t27,0.0,0.0,0.0,0.0,0.0,-0.16304347826133625,-0.16304347826087406,-0.36409383686520347
t28,0.0,0.0,0.0,0.0,0.0,-0.16304347826133475,-0.16304347826087398,-0.36829195071301396
t29,0.0,0.0,0.0,0.0,0.0,-0.16304347826133317,-0.16304347826087393,-0.37251896592597233
t30,0.0,0.0,0.0,0.0,0.0,-0.16304347826133156,-0.16304347826087384,-0.376983443679285
t31,0.0,0.0,0.0,0.0,0.0,-0.16304347826132448,-0.16304347826087365,-0.3615333657940277
t32,0.0,0.0,0.0,0.0,0.0,-0.16304347826132268,-0.16304347826087356,-0.3658525021580301
t33,0.0,0.0,0.0,0.0,0.0,-0.16304347826132082,-0.16304347826087348,-0.37002240043052653
t34,0.0,0.0,0.0,0.0,0.0,-0.16304347826131885,-0.1630434782608734,-0.37424979072369435
t35,0.0,0.0,0.0,0.0,0.0,-0.1630434782613168,-0.16304347826087331,-0.37868718989529987
t36,0.0,0.0,0.0,0.0,0.0,-0.16304347826130902,-0.16304347826087306,-0.3632405782055034
t37,0.0,0.0,0.0,0.0,0.0,-0.16304347826130677,-0.16304347826087298,-0.367530852278082
t38,0.0,0.0,0.0,0.0,0.0,-0.16304347826130447,-0.1630434782608729,-0.3716839500586658
t39,0.0,0.0,0.0,0.0,0.0,-0.16304347826130203,-0.16304347826087282,-0.3758860263433519
t40,0.0,0.0,0.0,0.0,0.0,-0.16304347826129958,-0.16304347826087273,-0.38030233483541487
t41,0.0,0.0,0.0,0.0,0.0,-0.16304347826129106,-0.16304347826087245,-0.3648192308836886
t42,0.0,0.0,0.0,0.0,0.0,-0.16304347826128837,-0.16304347826087237,-0.36910332862037154
t43,0.0,0.0,0.0,0.0,0.0,-0.16304347826128557,-0.1630434782608723,-0.37324122273512456
t44,0.0,0.0,0.0,0.0,0.0,-0.1630434782612827,-0.1630434782608722,-0.3774110702553088
t45,0.0,0.0,0.0,0.0,0.0,-0.16304347826127974,-0.16304347826087212,-0.381769341337542
t46,0.0,0.0,0.0,0.0,0.0,-0.1630434782612704,-0.16304347826087182,-0.36615300328871075
t47,0.0,0.0,0.0,0.0,0.0,-0.16304347826126722,-0.1630434782608717,-0.3703362579419902
t48,0.0,0.0,0.0,0.0,0.0,-0.16304347826126395,-0.1630434782608716,-0.3744279226074645
t49,0.0,0.0,0.0,0.0,0.0,-0.16304347826126056,-0.16304347826087148,-0.3785725747402798
t50,0.0,0.0,0.0,0.0,0.0,-0.16304347826125704,-0.16304347826087137,-0.3829006692928713
t51,0.0,0.0,0.0,0.0,0.0,-0.16304347826124668,-0.16304347826087107,-0.36741657296069635
t52,0.0,0.0,0.0,0.0,0.0,-0.16304347826124294,-0.16304347826087096,-0.3717035346631936
t53,0.0,0.0,0.0,0.0,0.0,-0.1630434782612391,-0.16304347826087084,-0.3758422779171291
t54,0.0,0.0,0.0,0.0,0.0,-0.1630434782612351,-0.16304347826087073,-0.379945266936362
t55,0.0,0.0,0.0,0.0,0.0,-0.16304347826123097,-0.16304347826087062,-0.3842810364138726
t56,0.0,0.0,0.0,0.0,0.0,-0.16304347826121948,-0.16304347826087026,-0.36876261020793394
t57,0.0,0.0,0.0,0.0,0.0,-0.16304347826121507,-0.16304347826087015,-0.3729523629825089
t58,0.0,0.0,0.0,0.0,0.0,-0.16304347826121054,-0.16304347826087004,-0.3769245618227218
t59,0.0,0.0,0.0,0.0,0.0,-0.16304347826120583,-0.16304347826086993,-0.38094143078096726
t60,0.0,0.0,0.0,0.0,0.0,-0.16304347826120097,-0.16304347826086982,-0.38518429781014707
t61,0.0,0.0,0.0,0.0,0.0,-0.16304347826118806,-0.16304347826086946,-0.36951340044159864
t62,0.0,0.0,0.0,0.0,0.0,-0.16304347826118284,-0.16304347826086932,-0.37353584054516586
t63,0.0,0.0,0.0,0.0,0.0,-0.1630434782611775,-0.16304347826086918,-0.377404867616638
t64,0.0,0.0,0.0,0.0,0.0,-0.16304347826117185,-0.16304347826086904,-0.38127193950507166
t65,0.0,0.0,0.0,0.0,0.0,-0.16304347826116608,-0.1630434782608689,-0.3852852132165355
t66,0.0,0.0,0.0,0.0,0.0,-0.1630434782611513,-0.1630434782608685,-0.36924190563960146
t67,0.0,0.0,0.0,0.0,0.0,-0.16304347826114501,-0.16304347826086837,-0.372924849947332
t68,0.0,0.0,0.0,0.0,0.0,-0.1630434782611385,-0.16304347826086824,-0.37632679718383094
t69,0.0,0.0,0.0,0.0,0.0,-0.16304347826113166,-0.1630434782608681,-0.37958386481057016
t70,0.0,0.0,0.0,0.0,0.0,-0.1630434782611245,-0.16304347826086796,-0.3828562329871913
t71,0.0,0.0,0.0,0.0,0.0,-0.16304347826110713,-0.16304347826086749,-0.3656980637842724
t72,0.0,0.0,0.0,0.0,0.0,-0.1630434782610993,-0.16304347826086735,-0.3683138817448261
t73,0.0,0.0,0.0,0.0,0.0,-0.16304347826109106,-0.1630434782608672,-0.370453327399296
t74,0.0,0.0,0.0,0.0,0.0,-0.16304347826108234,-0.16304347826086704,-0.3722341575580502
t75,0.0,0.0,0.0,0.0,0.0,-0.16304347826107318,-0.1630434782608669,-0.37375229246407266
