Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro_long,pumped_hydro_short,geothermal
t92,0.0,0.0,0.0,0.0,1435.434362545002,0.0,793.5028566205449,0.0,0.0,0.0
t93,0.0,0.0,0.0,0.0,1436.919868753002,0.0,793.5028566205449,0.0,0.0,0.0
t94,0.0,0.0,0.0,0.0,1438.371253489002,0.0,793.5028566205449,0.0,0.0,0.0
t95,0.0,0.0,0.0,0.0,1439.788516741002,0.0,793.5028566205449,0.0,0.0,0.0
t96,0.0,0.0,0.0,0.0,1441.171658521002,0.0,793.5028566205449,0.0,0.0,0.0
t97,0.0,0.0,0.0,0.0,1442.520678823002,0.0,793.5028566205449,0.0,0.0,0.0
t98,0.0,0.0,0.0,0.0,1443.839400325002,0.0,793.5028566205449,0.0,0.0,0.0
t99,0.0,0.0,0.0,0.0,1445.127823021002,0.0,793.5028566205449,0.0,0.0,0.0
t100,0.0,0.0,0.0,0.0,1446.385946911002,0.0,811.0127102319857,0.0,0.0,0.0
t101,0.0,0.0,0.0,0.0,1447.613772001002,0.0,811.0127102319857,0.0,0.0,0.0
t102,0.0,0.0,0.0,0.0,1448.811298285002,0.0,811.0127102319857,0.0,0.0,0.0
t103,0.0,0.0,0.0,0.0,1449.978525769002,0.0,811.0127102319857,0.0,0.0,0.0
t104,0.0,0.0,0.0,0.0,1451.115454447002,0.0,811.0127102319857,0.0,0.0,0.0
t105,0.0,0.0,0.0,0.0,1452.222084319002,0.0,832.9827628471525,0.0,0.0,0.0
t106,0.0,0.0,0.0,0.0,1453.298415391002,0.0,856.1178894591095,0.0,0.0,0.0
t107,0.0,0.0,0.0,0.0,1454.344447657002,0.0,856.1178894591095,0.0,0.0,0.0
t108,0.0,0.0,0.0,0.0,1455.3601811170022,0.0,856.1178894591095,0.0,0.0,0.0
t109,0.0,0.0,0.0,0.0,1456.3456157770022,0.0,856.1178894591095,0.0,0.0,0.0
t110,0.0,0.0,0.0,0.0,1457.3185972570022,0.0,856.1178894591095,0.0,0.0,0.0
t111,0.0,0.0,0.0,0.0,1458.2791255570023,0.0,856.1178894591095,0.0,0.0,0.0
t112,0.0,0.0,0.0,0.0,1459.2272006770024,0.0,856.1178894591095,0.0,0.0,0.0
t113,0.0,0.0,0.0,0.0,1460.1628226110024,0.0,883.1070689514871,0.0,0.0,0.0
t114,0.0,0.0,0.0,0.0,1461.0859913710024,0.0,883.1070689514871,0.0,0.0,0.0
t115,0.0,0.0,0.0,0.0,1461.9967069510024,0.0,883.1070689514871,0.0,0.0,0.0
t116,0.0,0.0,0.0,0.0,1462.8949693450024,0.0,883.1070689514871,0.0,0.0,0.0
t117,0.0,0.0,0.0,0.0,1463.7807785650025,0.0,883.1070689514871,0.0,0.0,0.0
t118,0.0,0.0,0.0,0.0,1464.6541345990024,0.0,883.1070689514871,0.0,0.0,0.0
t119,0.0,0.0,0.0,0.0,1465.5150374530024,0.0,883.1070689514871,0.0,0.0,0.0
t120,0.0,0.0,0.0,0.0,1466.3634871270024,0.0,883.1070689514871,0.0,0.0,0.0
t121,0.0,0.0,0.0,0.0,1467.1994836210024,0.0,883.1070689514871,0.0,0.0,0.0
t122,0.0,0.0,0.0,0.0,1468.0316076130025,0.0,883.1070689514871,0.0,0.0,0.0
t123,0.0,0.0,0.0,0.0,1468.8598591030025,0.0,883.1070689514871,0.0,0.0,0.0
t124,0.0,0.0,0.0,0.0,1469.6842380910025,0.0,883.1070689514871,0.0,0.0,0.0
t125,0.0,0.0,0.0,0.0,1470.5047445770026,0.0,883.1070689514871,0.0,0.0,0.0
t126,0.0,0.0,0.0,0.0,1471.3213785610026,0.0,883.1070689514871,0.0,0.0,0.0
t127,0.0,0.0,0.0,0.0,1472.1341400430026,0.0,883.1070689514871,0.0,0.0,0.0
t128,0.0,0.0,0.0,0.0,1472.9430290230025,0.0,883.1070689514871,0.0,0.0,0.0
t129,0.0,0.0,0.0,0.0,1473.7480455010025,0.0,883.1070689514871,0.0,0.0,0.0
t130,0.0,0.0,0.0,0.0,1474.5491894710026,0.0,883.1070689514871,0.0,0.0,0.0
t131,0.0,0.0,0.0,0.0,1475.3464609450025,0.0,883.1070689514871,0.0,0.0,0.0
t132,0.0,0.0,0.0,0.0,1476.1398599170025,0.0,883.1070689514871,0.0,0.0,0.0
t133,0.0,0.0,0.0,0.0,1476.9293863810024,0.0,883.1070689514871,0.0,0.0,0.0
t134,0.0,0.0,0.0,0.0,1477.7177410690024,0.0,883.1070689514871,0.0,0.0,0.0
t135,0.0,0.0,0.0,0.0,1478.5049239750024,0.0,883.1070689514871,0.0,0.0,0.0
t136,0.0,0.0,0.0,0.0,1479.2909350990024,0.0,883.1070689514871,0.0,0.0,0.0
t137,0.0,0.0,0.0,0.0,1480.0757744470025,0.0,883.1070689514871,0.0,0.0,0.0
t138,0.0,0.0,0.0,0.0,1480.8594420070024,0.0,917.4207222132527,0.0,0.0,0.0
t139,0.0,0.0,0.0,0.0,1481.6419377910024,0.0,917.4207222132527,0.0,0.0,0.0
t140,0.0,0.0,0.0,0.0,1482.4232617930024,0.0,917.4207222132527,0.0,0.0,0.0
t141,0.0,0.0,0.0,0.0,1483.2034140130024,0.0,917.4207222132527,0.0,0.0,0.0
t142,0.0,0.0,0.0,0.0,1483.9823944570023,0.0,917.4207222132527,0.0,0.0,0.0
t143,0.0,0.0,0.0,0.0,1484.7602031190024,0.0,917.4207222132527,0.0,0.0,0.0
t144,0.0,0.0,0.0,0.0,1485.5368399990025,0.0,917.4207222132527,0.0,0.0,0.0
t145,0.0,0.0,0.0,0.0,1486.3123050970025,0.0,917.4207222132527,0.0,0.0,0.0
t146,0.0,0.0,0.0,0.0,1487.0886133210026,0.0,917.4207222132527,0.0,0.0,0.0
t147,0.0,0.0,0.0,0.0,1487.8657646710026,0.0,917.4207222132527,0.0,0.0,0.0
t148,0.0,0.0,0.0,0.0,1488.6437591470026,0.0,917.4207222132527,0.0,0.0,0.0
t149,0.0,0.0,0.0,0.0,1489.4225967490027,0.0,917.4207222132527,0.0,0.0,0.0
t150,0.0,0.0,0.0,0.0,1490.2022774770026,0.0,955.2552674039279,0.0,0.0,0.0
t151,0.0,0.0,0.0,0.0,1490.9828013310025,0.0,955.2552674039279,0.0,0.0,0.0
t152,0.0,0.0,0.0,0.0,1491.7641683110025,0.0,955.2552674039279,0.0,0.0,0.0
t153,0.0,0.0,0.0,0.0,1492.5463784110025,0.0,955.2552674039279,0.0,0.0,0.0
t154,0.0,0.0,0.0,0.0,1493.3294316430024,0.0,955.2552674039279,0.0,0.0,0.0
