Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro_long,pumped_hydro_short,geothermal,Total
t66,20.50071499368377,0.0,0.0,0.0,6.0,0.0,1.790271876316229,0.0,0.0,16.0,44.29098687
t67,21.766893191066917,0.0,0.0,0.0,6.0,0.0,1.1297936389330836,0.0,0.0,16.0,44.89668683
t68,23.033071388450058,0.0,0.0,0.0,6.0,0.0,0.4580557415499449,0.0,0.0,16.0,45.49112713
t69,24.299249585833206,0.0,0.0,0.0,5.717132324166794,0.0,0.0,0.0,0.0,16.0,46.01638191
t70,25.56542778321635,0.0,0.0,0.0,5.0766821467836465,0.0,0.0,0.0,0.0,16.0,46.64210993
t71,26.83160598059949,0.0,0.0,0.0,4.4206423394005085,0.0,0.0,0.0,0.0,16.0,47.25224832
t72,28.09778417798264,0.0,0.0,0.0,3.832466022017364,0.0,0.0,0.0,0.0,16.0,47.9302502
t73,29.36396237536578,0.0,0.0,0.0,3.526319774634217,0.0,0.0,0.0,0.0,16.0,48.89028215
t74,29.172189265661707,0.0,0.0,0.0,4.572291854338296,0.0,0.0,0.0,0.0,16.0,49.74448112
t75,28.980416090689612,0.0,0.0,0.0,5.438029149310385,0.0,0.0,0.0,0.0,16.0,50.41844524
t76,28.78864298098554,0.0,0.0,0.0,6.0,0.0,0.2574957990144604,0.0,0.0,16.0,51.04613878000001
t77,28.596869806013444,0.0,0.0,0.0,6.0,0.0,0.9419187639865569,0.0,0.0,16.0,51.53878857
t78,28.405096696309368,0.0,0.0,0.0,6.0,0.0,1.5518681036906337,0.0,0.0,16.0,51.95696480000001
t79,28.213323586605295,0.0,0.0,0.0,6.0,0.0,2.366729923394704,0.0,0.0,16.0,52.58005351
t80,28.0215504116332,0.23353120667366972,0.01800115499,0.004552145079999999,6.0,0.0,2.817376001623129,0.0,0.0,16.0,53.09501092
t81,27.829777301929127,0.46706282815848205,0.03600230998,0.009104290159999999,6.0,0.0,3.068397179772394,0.0,0.0,16.0,53.41034391
t82,27.638004126957032,0.7005940348321519,0.054003464970000005,0.013656435239999999,6.0,0.0,3.3767061780008145,0.0,0.0,16.0,53.78296423999999
t83,27.44623101725296,0.9341252415058215,0.07200461996,0.018208580319999997,6.0,0.0,3.6068251109612213,0.0,0.0,16.0,54.07739457
t84,27.254457842280864,1.1676568629906339,0.09000577495,0.022760725399999997,6.0,0.0,3.8435537543785037,0.0,0.0,16.0,54.37843496
t85,27.062684732576788,1.4011880696643038,0.10800692994000001,0.027312870479999998,6.0,0.0,4.546954387338907,0.0,0.0,16.0,55.14614698999999
t86,25.862238546445607,5.922432073715274,0.70978011884,0.17948970928,6.0,0.0,1.112955591719122,0.0,0.0,16.0,55.78689604
t87,24.661792360314422,10.443676077766245,1.31155327563,0.33166653995999995,3.24136952632934,0.0,0.0,0.0,0.0,16.0,55.99005778000001
t88,22.797638989933922,14.964919667006074,1.91332643242,0.48384337063999994,0.0,0.0,0.0,0.0,0.0,16.0,56.15972846
t89,17.546129648182962,19.486163671057042,2.51509962132,0.6360202094399999,0.0,0.0,0.0,0.0,0.0,16.0,56.18341315000001
t90,12.423737246661993,24.007407675108013,3.1168727781100003,0.7881970401199999,0.0,0.0,0.0,0.0,0.0,16.0,56.33621474
t91,7.336598595141012,28.528651679158983,3.7186459349,0.9403738707999999,0.0,0.0,0.0,0.0,0.0,16.0,56.524270079999994
t92,0.9359560519662722,34.32562910053373,4.3347938075,1.0961857899999998,0.0,0.0,0.0,0.0,0.0,16.0,56.69256475
t93,0.0,34.505447540700004,4.950941680100001,1.2519977091999999,0.0,0.0,0.0,0.0,0.0,16.0,56.70838693
t94,0.0,33.7246322889,5.5670895527,1.4078096284,0.0,0.0,0.0,0.0,0.0,16.0,56.69953147
t95,0.0,33.00614869733,6.18323739319,1.56362153948,0.0,0.0,0.0,0.0,0.0,16.0,56.75300763
t96,0.0,32.19953068553,6.79938526579,1.7194334586799997,0.0,0.0,0.0,0.0,0.0,16.0,56.71834941
t97,0.0,31.65951924373,7.41553313839,1.8752453778799998,0.0,0.0,0.0,0.0,0.0,16.0,56.95029776
t98,0.0,32.38307159411,6.962868642729999,1.7607752531599998,0.0,0.0,0.0,0.0,0.0,16.0,57.10671549
t99,0.0,32.84398350472,6.51020411496,1.6463051203199996,0.0,0.0,0.0,0.0,0.0,16.0,57.00049274
t100,0.0,52.30737923275305,6.0575396193,1.5318349956,0.0,0.0,0.0,0.0,0.0,16.0,75.89675384765306
t101,0.0,33.46235312548,5.60487512364,1.41736487088,0.0,0.0,0.0,0.0,0.0,16.0,56.48459312
t102,0.0,33.57486242608999,5.15221059587,1.30289473804,0.0,0.0,0.0,0.0,0.0,16.0,56.02996776
t103,0.0,33.85614902647,4.69954610021,1.1884246133199998,0.0,0.0,0.0,0.0,0.0,16.0,55.74411974
t104,0.0,33.32155425652,4.90506824236,1.24039720112,0.0,0.0,0.0,0.0,0.0,16.0,55.4670197
t105,0.0,56.57050361957734,5.11059038451,1.2923697889199999,0.0,0.0,0.0,0.0,0.0,16.0,78.97346379300734
t106,0.0,57.3014122585172,5.3161125587699996,1.3443423848399998,0.0,0.0,0.0,0.0,0.0,16.0,79.9618672021272
t107,0.0,31.719424926440002,5.52163470092,1.3963149726399997,0.0,0.0,0.0,0.0,0.0,16.0,54.6373746
t108,0.0,31.39139765649,5.72715684307,1.44828756044,0.0,0.0,0.0,0.0,0.0,16.0,54.56684206
t109,0.0,31.19557194631,5.93267901733,1.50026015636,0.0,0.0,0.0,0.0,0.0,16.0,54.628511120000006
t110,0.0,30.18281347469,6.81371621567,1.7230574796399998,0.0,0.0,0.0,0.0,0.0,16.0,54.719587170000004
t111,0.0,29.06561575307,7.69475341401,1.9458548029199998,0.0,0.0,0.0,0.0,0.0,16.0,54.706223969999996
t112,0.0,27.924621701220005,8.575790644460001,2.16865213432,0.0,0.0,0.0,0.0,0.0,16.0,54.66906448
t113,0.0,56.09659699522784,9.4568278428,2.3914494576,0.0,0.0,0.0,0.0,0.0,16.0,83.94487429562784
t114,0.0,25.667831837979996,10.33786504114,2.61424678088,0.0,0.0,0.0,0.0,0.0,16.0,54.61994366
t115,0.0,24.566317886359997,11.21890223948,2.8370441041599994,0.0,0.0,0.0,0.0,0.0,16.0,54.62226423
t116,0.0,23.96847212935,11.64846940205,2.9456733585999997,0.0,0.0,0.0,0.0,0.0,16.0,54.562614890000006
t117,0.0,23.167917292570003,12.07803653251,3.0543026049199997,0.0,0.0,0.0,0.0,0.0,16.0,54.300256430000005
t118,0.0,22.61634208556,12.50760369508,3.16293185936,0.0,0.0,0.0,0.0,0.0,16.0,54.28687764
t119,0.0,22.035753928779997,12.93717082554,3.27156110568,0.0,0.0,0.0,0.0,0.0,16.0,54.24448586
t120,0.0,21.473233291999996,13.366737956000001,3.380190352,0.0,0.0,0.0,0.0,0.0,16.0,54.2201616
t121,0.0,20.933627564989994,13.79630511857,3.48881960644,0.0,0.0,0.0,0.0,0.0,16.0,54.21875229
t122,0.0,20.900602310959997,13.81554096728,3.49368398176,0.0,0.0,0.0,0.0,0.0,16.0,54.20982726
t123,0.0,20.7983915067,13.8347768481,3.4985483651999996,0.0,0.0,0.0,0.0,0.0,16.0,54.13171672
t124,0.0,20.67106243267,13.85401269681,3.50341274052,0.0,0.0,0.0,0.0,0.0,16.0,54.02848787
t125,0.0,20.63282274841,13.87324857763,3.5082771239599997,0.0,0.0,0.0,0.0,0.0,16.0,54.01434845
t126,0.0,20.57166817438,13.89248442634,3.5131414992799996,0.0,0.0,0.0,0.0,0.0,16.0,53.9772941
t127,0.0,20.51800498012,13.91172030716,3.51800588272,0.0,0.0,0.0,0.0,0.0,16.0,53.94773117
t128,0.0,20.37804652012,13.96935775716,3.5325812827199994,0.0,0.0,0.0,0.0,0.0,16.0,53.87998556
t129,0.0,20.177275310120002,14.026995207159999,3.5471566827199994,0.0,0.0,0.0,0.0,0.0,16.0,53.7514272
t130,0.0,20.042164270120004,14.08463265716,3.56173208272,0.0,0.0,0.0,0.0,0.0,16.0,53.68852901
t131,0.0,19.90318814012,14.14227010716,3.57630748272,0.0,0.0,0.0,0.0,0.0,16.0,53.62176573
t132,0.0,19.78668631012,14.19990755716,3.59088288272,0.0,0.0,0.0,0.0,0.0,16.0,53.57747675
t133,0.0,19.654320219890003,14.257545039270001,3.6054582908399997,0.0,0.0,0.0,0.0,0.0,16.0,53.51732355
t134,0.0,19.522472282469998,14.34557633821,3.6277197093199995,0.0,0.0,0.0,0.0,0.0,16.0,53.49576833
t135,0.0,19.32232017505001,14.433607637149999,3.6499811277999994,0.0,0.0,0.0,0.0,0.0,16.0,53.40590894000001
t136,0.0,19.123490047399997,14.5216389682,3.6722425543999995,0.0,0.0,0.0,0.0,0.0,16.0,53.31737157
t137,0.0,18.944955539750005,14.60967029925,3.6945039809999995,0.0,0.0,0.0,0.0,0.0,16.0,53.24912982000001
t138,0.0,56.02817582990134,14.69770159819,3.7167653994799994,0.0,0.0,0.0,0.0,0.0,16.0,90.44264282757133
t139,0.0,18.515616404909995,14.78573289713,3.7390268179599997,0.0,0.0,0.0,0.0,0.0,16.0,53.04037611999999
t140,0.0,17.938900072410004,15.225856639629999,3.8503256279599998,0.0,0.0,0.0,0.0,0.0,16.0,53.015082340000006
t141,0.0,17.30401504991,15.66598038213,3.9616244379599994,0.0,0.0,0.0,0.0,0.0,16.0,52.93161987
t142,0.0,16.65546918741,16.10610412463,4.0729232479599995,0.0,0.0,0.0,0.0,0.0,16.0,52.83449656
t143,0.0,16.056378984909998,16.54622786713,4.18422205796,0.0,0.0,0.0,0.0,0.0,16.0,52.78682891
t144,0.0,15.41013687241,16.98635160963,4.29552086796,0.0,0.0,0.0,0.0,0.0,16.0,52.69200935
t145,0.0,14.893011659909998,17.42647535213,4.40681967796,0.0,0.0,0.0,0.0,0.0,16.0,52.72630669
t146,0.0,14.771570897419998,17.44865254106,4.412427861519999,0.0,0.0,0.0,0.0,0.0,16.0,52.6326513
t147,0.0,14.5461315047,17.470829762100003,4.4180360532,0.0,0.0,0.0,0.0,0.0,16.0,52.43499732
t148,0.0,14.457300472210004,17.49300695103,4.4236442367599995,0.0,0.0,0.0,0.0,0.0,16.0,52.37395166
t149,0.0,14.204129129490003,17.51518417207,4.429252428439999,0.0,0.0,0.0,0.0,0.0,16.0,52.14856573
t150,0.0,55.19047885903824,17.537361361,4.434860612,0.0,0.0,0.0,0.0,0.0,16.0,93.16270083203824
t151,0.0,13.948528834280001,17.559538582040002,4.44046880368,0.0,0.0,0.0,0.0,0.0,16.0,51.94853622000001
t152,0.0,14.152279893790002,17.33150180697,4.382802699239999,0.0,0.0,0.0,0.0,0.0,16.0,51.8665844
t153,0.0,14.287286113299999,17.1034650319,4.3251365948,0.0,0.0,0.0,0.0,0.0,16.0,51.71588774
t154,0.0,14.465918852810006,16.87542825683,4.267470490359999,0.0,0.0,0.0,0.0,0.0,16.0,51.6088176
t155,0.0,14.81688402232,16.64739148176,4.20980438592,0.0,0.0,0.0,0.0,0.0,16.0,51.67407989
t156,0.0,15.0841214816,16.4193547388,4.152138289599999,0.0,0.0,0.0,0.0,0.0,16.0,51.65561451
t157,0.0,15.394544821109996,16.19131796373,4.09447218516,0.0,0.0,0.0,0.0,0.0,16.0,51.68033497
t158,0.0,15.490393346169999,16.04290483731,4.056941366519999,0.0,0.0,0.0,0.0,0.0,16.0,51.59023955
t159,0.0,15.58491985123,15.89449171089,4.01941054788,0.0,0.0,0.0,0.0,0.0,16.0,51.49882211
t160,0.0,15.762733366289998,15.74607858447,3.9818797292399997,0.0,0.0,0.0,0.0,0.0,16.0,51.49069168
t161,0.0,15.884509411349999,15.597665458049999,3.9443489105999996,0.0,0.0,0.0,0.0,0.0,16.0,51.42652378
t162,0.0,16.00013605641,15.44925233163,3.9068180919599995,0.0,0.0,0.0,0.0,0.0,16.0,51.35620648
t163,0.0,16.15978988147,15.30083920521,3.8692872733199994,0.0,0.0,0.0,0.0,0.0,16.0,51.32991636
t164,0.0,16.070646513920003,15.33820513056,3.87873639552,0.0,0.0,0.0,0.0,0.0,16.0,51.28758804
t165,0.0,59.508524260066054,15.37557105591,3.8881855177199993,0.0,0.0,0.0,0.0,0.0,16.0,94.77228083369604
t166,0.0,15.829343678819999,15.41293698126,3.8976346399199997,0.0,0.0,0.0,0.0,0.0,16.0,51.1399153
t167,0.0,15.712430001039998,15.45030293872,3.90708377024,0.0,0.0,0.0,0.0,0.0,16.0,51.06981671
t168,0.0,15.602567143720002,15.48766883196,3.9165328843199996,0.0,0.0,0.0,0.0,0.0,16.0,51.00676886
t169,0.0,15.580397945940005,15.52503478942,3.9259820146399997,0.0,0.0,0.0,0.0,0.0,16.0,51.03141475
t170,0.0,16.198457419590003,14.90840221637,3.7700475240399998,0.0,0.0,0.0,0.0,0.0,16.0,50.87690716
t171,0.0,16.81651690324,14.29176964332,3.61411303344,0.0,0.0,0.0,0.0,0.0,16.0,50.72239958
t172,0.0,17.48481298689,13.675137070269999,3.4581785428399994,0.0,0.0,0.0,0.0,0.0,16.0,50.6181286
t173,0.0,18.086368570540003,13.05850449722,3.30224405224,0.0,0.0,0.0,0.0,0.0,16.0,50.44711712
t174,0.0,18.695856213960006,12.441871956279998,3.1463095697599996,0.0,0.0,0.0,0.0,0.0,16.0,50.28403774
t175,0.0,19.41198653761,11.825239383229999,2.9903750791599997,0.0,0.0,0.0,0.0,0.0,16.0,50.227601
t176,0.0,19.697375467019995,11.532753663860001,2.91641107912,0.0,0.0,0.0,0.0,0.0,16.0,50.14654021
t177,0.0,20.05855998643,11.24026794449,2.84244707908,0.0,0.0,0.0,0.0,0.0,16.0,50.14127501
t178,0.0,20.418422505840006,10.94778222512,2.7684830790399997,0.0,0.0,0.0,0.0,0.0,16.0,50.13468781
t179,0.0,20.658372145250006,10.65529650575,2.694519079,0.0,0.0,0.0,0.0,0.0,16.0,50.00818773
t180,0.0,20.868796734660002,10.362810786379999,2.62055507896,0.0,0.0,0.0,0.0,0.0,16.0,49.8521626
t181,0.0,21.16427104407,10.07032506701,2.5465910789199997,0.0,0.0,0.0,0.0,0.0,16.0,49.78118719
t182,0.0,20.75836158066,10.419125304380001,2.63479593496,0.0,0.0,0.0,0.0,0.0,16.0,49.81228282
t183,0.0,20.211437087249998,10.76792554175,2.723000791,0.0,0.0,0.0,0.0,0.0,16.0,49.70236342
