Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro_long,pumped_hydro_short,geothermal,Total
t1787,37.72442054342522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.72442054342522
t1788,38.19513605243418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.19513605243418
t1789,38.55612422144313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.55612422144313
t1790,38.11731577144313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.11731577144313
t1791,37.73094727144313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.73094727144313
t1792,37.34105342144313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.34105342144313
t1793,36.96234970144313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.96234970144313
t1794,36.51930789144313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.51930789144313
t1795,35.97050478144313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.97050478144313
t1796,35.42091386144313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.42091386144313
t1797,34.83783188144313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.83783188144313
t1798,34.20010655144313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.20010655144313
t1799,33.60034961144313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.60034961144313
t1800,32.94815271144313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.94815271144313
t1801,32.11219556144313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.11219556144313
t1802,31.18633635144313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.18633635144313
t1803,30.59098113144313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.59098113144313
t1804,30.036167721443128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.036167721443128
t1805,29.58298015144313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.58298015144313
t1806,29.21616429144313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21616429144313
