BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t1415,10003.166750643164,1648.8332493568362,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11652.0
t1416,8673.911171551945,1802.088828448056,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10476.0
t1417,8302.214899152443,1374.7851008475573,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9677.0
t1418,8266.623871113246,991.3761288867522,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9258.0
t1419,8049.624310392685,1007.3756896073149,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9057.0
t1420,8062.245047690077,969.7549523099243,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9032.0
t1421,8787.501787728905,494.49821227109567,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9282.0
t1422,10670.781343832434,0.0,-397.7813438324349,0.0,0.0,0.0,0.0,0.0,0.0,-10273.0
t1423,9326.851973519184,2901.148026480815,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12228.0
t1424,13265.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13265.0
t1425,13411.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13411.0
t1426,16934.77660735003,0.0,-3384.7766073500284,0.0,0.0,0.0,0.0,0.0,0.0,-13550.0
t1427,19088.71039286363,0.0,-5413.710392863632,0.0,0.0,0.0,0.0,0.0,0.0,-13675.0
t1428,18624.559352129418,0.0,-4936.559352129418,0.0,0.0,0.0,0.0,0.0,0.0,-13688.0
t1429,18658.027833970147,0.0,-5059.027833970146,0.0,0.0,0.0,0.0,0.0,0.0,-13599.0
t1430,18676.59311465392,0.0,-5110.59311465392,0.0,0.0,0.0,0.0,0.0,0.0,-13566.0
t1431,17613.6529817348,0.0,-4204.652981734796,0.0,0.0,0.0,0.0,0.0,0.0,-13409.0
t1432,13295.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13295.0
t1433,13000.636541648404,381.3634583515948,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13382.0
t1434,15245.790124327745,0.0,-1379.7901243277445,0.0,0.0,0.0,0.0,0.0,0.0,-13866.0
t1435,15438.262626188474,0.0,-672.2626261884734,0.0,0.0,0.0,0.0,0.0,0.0,-14766.0
t1436,16226.922683483732,0.0,-1614.92268348373,0.0,0.0,0.0,0.0,0.0,0.0,-14612.0
t1437,14570.69396900575,0.0,-540.6939690057513,0.0,0.0,0.0,0.0,0.0,0.0,-14030.0
t1438,10166.932380333827,2885.067619666175,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13052.0
t1439,8453.371200444877,3274.6287995551215,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11728.0
t1440,7396.312024900919,3127.68797509908,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10524.0
t1441,6479.843928882054,3239.156071117946,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9719.0
t1442,6383.315083137227,2877.6849168627723,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9261.0
t1443,6897.352621863488,2147.6473781365125,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9045.0
t1444,7759.54059552101,1252.4594044789908,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9012.0
t1445,9246.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9246.0
t1446,9831.879698024508,360.12030197549194,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10192.0
t1447,10587.507628433377,1471.4923715666223,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12059.0
t1448,12346.265721406033,793.734278593969,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13140.0
t1449,15093.16298552304,0.0,-1707.1629855230412,0.0,0.0,0.0,0.0,0.0,0.0,-13386.0
t1450,16882.3084019169,0.0,-3280.308401916903,0.0,0.0,0.0,0.0,0.0,0.0,-13602.0
t1451,18169.634797314044,0.0,-4411.6347973140455,0.0,0.0,0.0,0.0,0.0,0.0,-13758.0
