Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro
t78,0.0,0.0,0.0,0.0,3294.4666211603017,72.15938834277435,4119.590962971656,8.868246180226356e-9
t79,0.0,0.0,0.0,0.0,3290.034958346313,67.81178186355676,4078.856232775961,8.667312741403829e-9
t80,0.0,0.0,0.0,0.0,3285.62036455818,63.317853207036634,4037.857533746717,8.444512545286033e-9
t81,0.0,0.0,0.0,0.0,3281.222811697027,58.38553034025788,3997.004290775751,8.029881571911362e-9
t82,0.0,0.0,0.0,0.0,3276.8422607649572,53.20236909354705,3956.023687576076,7.563725793734553e-9
t83,0.0,0.0,0.0,0.0,3272.478856335417,47.721290021326546,3915.086591060695,7.015902594259218e-9
t84,0.0,0.0,0.0,0.0,3268.132498067316,41.805936171515626,3874.2675683121347,6.363569066719916e-9
t85,0.0,0.0,0.0,0.0,3263.80325627065,35.32487775160527,3833.535671057778,5.5459890334366805e-9
t86,0.0,0.0,0.0,0.0,3259.432503382838,35.324877752165015,3817.3712932669405,4.270078552786981e-9
t87,0.0,0.0,0.0,0.0,3261.0199701881756,35.33163562672128,3817.373478338584,5.587993146873398e-9
t88,0.0,0.0,0.0,0.0,3262.5654988202027,44.223784317389985,3824.3518739762385,6.584342313413405e-9
t89,0.0,0.0,0.0,0.0,3264.069150862719,53.44619742323872,3840.464384121533,7.2632244202480685e-9
t90,0.0,0.0,0.0,0.0,3265.5309688543107,62.056874871287945,3865.4325389625355,7.836175940674548e-9
t91,0.0,0.0,0.0,0.0,3266.9510524737493,69.2387718953714,3898.7354359139194,8.179297638227334e-9
t92,0.0,0.0,0.0,0.0,3268.329211127175,76.00078836096681,3938.996461599246,8.46084664704949e-9
t93,0.0,0.0,0.0,0.0,3269.6655886897693,82.55903576901387,3987.20459834399,8.714771629633574e-9
t94,0.0,0.0,0.0,0.0,3270.9601437875076,88.80673937914382,4042.208652922362,8.953517453151073e-9
