Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro
t24,0.0,0.0,0.0,0.0,0.0,-0.16304347826276158,-0.1630434782608743,-0.3938518234276334
t25,0.0,0.0,0.0,0.0,0.0,-0.16304347826275614,-0.16304347826087406,-0.3981463673246996
t26,0.0,0.0,0.0,0.0,0.0,-0.16304347826272958,-0.16304347826087315,-0.38305024692269024
t27,0.0,0.0,0.0,0.0,0.0,-0.1630434782627235,-0.1630434782608729,-0.3873419162485029
t28,0.0,0.0,0.0,0.0,0.0,-0.1630434782627171,-0.16304347826087265,-0.39155681290284006
t29,0.0,0.0,0.0,0.0,0.0,-0.1630434782627104,-0.16304347826087237,-0.39582217720055834
t30,0.0,0.0,0.0,0.0,0.0,-0.16304347826270335,-0.1630434782608721,-0.4002629758507851
t31,0.0,0.0,0.0,0.0,0.0,-0.16304347826267404,-0.16304347826087112,-0.38552173793893013
t32,0.0,0.0,0.0,0.0,0.0,-0.1630434782626663,-0.16304347826087084,-0.3899238969207738
t33,0.0,0.0,0.0,0.0,0.0,-0.16304347826265825,-0.16304347826087057,-0.39423116491279225
t34,0.0,0.0,0.0,0.0,0.0,-0.16304347826264984,-0.1630434782608703,-0.398577251976425
t35,0.0,0.0,0.0,0.0,0.0,-0.16304347826264112,-0.16304347826086996,-0.4030778120684536
t36,0.0,0.0,0.0,0.0,0.0,-0.1630434782626089,-0.1630434782608689,-0.38850467439010405
t37,0.0,0.0,0.0,0.0,0.0,-0.16304347826259946,-0.1630434782608686,-0.39292007851883015
t38,0.0,0.0,0.0,0.0,0.0,-0.16304347826258964,-0.16304347826086826,-0.3972229548577434
t39,0.0,0.0,0.0,0.0,0.0,-0.16304347826257945,-0.16304347826086793,-0.4015333400619674
t40,0.0,0.0,0.0,0.0,0.0,-0.16304347826256887,-0.16304347826086757,-0.4059692391550977
t41,0.0,0.0,0.0,0.0,0.0,-0.16304347826253346,-0.16304347826086654,-0.3914956772678403
t42,0.0,0.0,0.0,0.0,0.0,-0.1630434782625221,-0.16304347826086618,-0.395832051236624
t43,0.0,0.0,0.0,0.0,0.0,-0.16304347826251034,-0.16304347826086582,-0.4000419677235765
t44,0.0,0.0,0.0,0.0,0.0,-0.16304347826249818,-0.16304347826086546,-0.4042384179680554
t45,0.0,0.0,0.0,0.0,0.0,-0.1630434782624856,-0.16304347826086507,-0.40854216743734656
t46,0.0,0.0,0.0,0.0,0.0,-0.1630434782624466,-0.1630434782608639,-0.3941093637174966
t47,0.0,0.0,0.0,0.0,0.0,-0.16304347826243318,-0.16304347826086352,-0.39824548599392257
t48,0.0,0.0,0.0,0.0,0.0,-0.16304347826241933,-0.16304347826086313,-0.4022316724420305
t49,0.0,0.0,0.0,0.0,0.0,-0.16304347826240498,-0.16304347826086274,-0.40619805871194686
t50,0.0,0.0,0.0,0.0,0.0,-0.16304347826239024,-0.1630434782608623,-0.41026921522041987
t51,0.0,0.0,0.0,0.0,0.0,-0.16304347826234722,-0.16304347826086105,-0.3958489857033713
t52,0.0,0.0,0.0,0.0,0.0,-0.16304347826233148,-0.16304347826086063,-0.3997382992303306
t53,0.0,0.0,0.0,0.0,0.0,-0.1630434782623152,-0.16304347826086021,-0.4034674758325102
t54,0.0,0.0,0.0,0.0,0.0,-0.16304347826229842,-0.16304347826085977,-0.4071637367073707
t55,0.0,0.0,0.0,0.0,0.0,-0.1630434782622811,-0.1630434782608593,-0.4109476037395847
t56,0.0,0.0,0.0,0.0,0.0,-0.16304347826223334,-0.163043478260858,-0.3964866780098884
t57,0.0,0.0,0.0,0.0,0.0,-0.16304347826221488,-0.16304347826085752,-0.4000593248826856
t58,0.0,0.0,0.0,0.0,0.0,-0.1630434782621958,-0.16304347826085705,-0.4034574178926568
t59,0.0,0.0,0.0,0.0,0.0,-0.1630434782621761,-0.16304347826085658,-0.4068050642859214
t60,0.0,0.0,0.0,0.0,0.0,-0.16304347826215576,-0.1630434782608561,-0.4102169762688933
t61,0.0,0.0,0.0,0.0,0.0,-0.16304347826210214,-0.16304347826085475,-0.39563066785355
t62,0.0,0.0,0.0,0.0,0.0,-0.16304347826208035,-0.16304347826085425,-0.3987836581035905
t63,0.0,0.0,0.0,0.0,0.0,-0.16304347826205784,-0.16304347826085372,-0.40174140411068127
t64,0.0,0.0,0.0,0.0,0.0,-0.16304347826203444,-0.1630434782608532,-0.40461304340131526
t65,0.0,0.0,0.0,0.0,0.0,-0.16304347826201024,-0.16304347826085266,-0.4074993042746468
t66,0.0,0.0,0.0,0.0,0.0,-0.16304347826194907,-0.1630434782608512,-0.3925520593826998
t67,0.0,0.0,0.0,0.0,0.0,-0.16304347826192292,-0.16304347826085064,-0.39504604332731214
t68,0.0,0.0,0.0,0.0,0.0,-0.1630434782618957,-0.16304347826085008,-0.39725246884564763
t69,0.0,0.0,0.0,0.0,0.0,-0.16304347826186733,-0.16304347826084953,-0.39925652290950114
t70,0.0,0.0,0.0,0.0,0.0,-0.16304347826183768,-0.16304347826084892,-0.40114283614975127
t71,0.0,0.0,0.0,0.0,0.0,-0.16304347826176582,-0.1630434782608473,-0.3850727755130035
t72,0.0,0.0,0.0,0.0,0.0,-0.16304347826173332,-0.16304347826084675,-0.3862050771647685
t73,0.0,0.0,0.0,0.0,0.0,-0.16304347826169918,-0.16304347826084611,-0.3868096318417626
t74,0.0,0.0,0.0,0.0,0.0,-0.16304347826166327,-0.1630434782608455,-0.38691634307341727
t75,0.0,0.0,0.0,0.0,0.0,-0.16304347826162532,-0.1630434782608448,-0.3865218547122516
t76,0.0,0.0,0.0,0.0,0.0,-0.1630434782615364,-0.1630434782608432,-0.36716409199186
t77,0.0,0.0,0.0,0.0,0.0,-0.16304347826149362,-0.16304347826084253,-0.36487018910666535
t78,0.0,0.0,0.0,0.0,0.0,-0.16304347826144797,-0.16304347826084184,-0.3612700882760259
t79,0.0,0.0,0.0,0.0,0.0,-0.16304347826139898,-0.16304347826084117,-0.35620846142952906
t80,0.0,0.0,0.0,0.0,0.0,-0.1630434782613461,-0.16304347826084042,-0.3494554511536354
t81,0.0,0.0,0.0,0.0,0.0,-0.16304347826122512,-0.16304347826083868,-0.3197217060924733
t82,0.0,0.0,0.0,0.0,0.0,-0.16304347826116133,-0.16304347826083795,-0.3070406704776098
t83,0.0,0.0,0.0,0.0,0.0,-0.16304347826109,-0.16304347826083737,-0.2970340966370768
t84,0.0,0.0,0.0,0.0,0.0,-0.16304347826100873,-0.1630434782608368,-0.28256949083538485
t85,0.0,0.0,0.0,0.0,0.0,-0.1630434782609138,-0.16304347826083618,-0.26168625266053386
t86,0.0,0.0,0.0,0.0,0.0,-0.16304347826071397,-0.16304347826083476,-0.1965842338060594
t87,0.0,0.0,0.0,0.0,0.0,-0.16304347826061888,-0.16304347826083415,-0.1606629877755744
t88,0.0,0.0,0.0,0.0,0.0,-0.1630434782605238,-0.16304347826083354,-0.13863200977816947
t89,0.0,0.0,0.0,0.0,0.0,-0.1630434782604459,-0.16304347826083293,-0.12408874757267419
t90,0.0,0.0,0.0,0.0,0.0,-0.16304347826038154,-0.16304347826083232,-0.11432460575071958
t91,0.0,0.0,0.0,0.0,0.0,-0.16304347826026147,-0.1630434782608309,-0.08631096397609765
