Resource,onshore_wind,solar_pv_sat,solar_btm,hydro,battery4,battery8,pumped_hydro,Total
t91,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t92,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t93,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t94,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t95,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t96,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t97,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t98,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t99,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t100,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t101,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t102,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t103,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t104,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t105,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t106,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t107,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t108,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t109,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t110,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t111,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t112,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t113,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t114,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t115,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t116,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t117,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t118,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t119,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t120,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t121,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t122,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t123,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t124,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t125,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t126,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t127,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t128,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t129,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t130,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t131,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t132,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t133,0.0,0.0,0.0,0.0,0.0,217.76516588771722,-0.0,217.76516588771722
t134,0.0,0.0,0.0,0.0,0.0,7.48920691655876,-0.0,7.48920691655876
t135,0.0,0.0,0.0,0.0,0.0,214.46425232816293,-0.0,214.46425232816293
t136,0.0,0.0,0.0,0.0,0.0,212.86702684324058,-0.0,212.86702684324058
t137,0.0,0.0,0.0,0.0,0.0,211.23689346017537,-0.0,211.23689346017537
t138,0.0,0.0,0.0,0.0,0.0,209.66463661493478,-0.0,209.66463661493478
t139,0.0,0.0,0.0,0.0,0.0,208.09380828226395,-0.0,208.09380828226395
t140,0.0,0.0,0.0,0.0,0.0,208.87325984834118,-0.0,208.87325984834118
t141,0.0,0.0,0.0,0.0,0.0,209.74702834676282,-0.0,209.74702834676282
t142,0.0,0.0,0.0,0.0,0.0,210.6429463650543,-0.0,210.6429463650543
t143,0.0,0.0,0.0,0.0,0.0,211.45867563476,-0.0,211.45867563476
t144,0.0,0.0,0.0,0.0,0.0,212.350858843396,-0.0,212.350858843396
t145,0.0,0.0,0.0,0.0,0.0,213.03368766490175,-0.0,213.03368766490175
t146,0.0,0.0,0.0,0.0,0.0,217.19955798695517,-0.0,217.19955798695517
t147,0.0,0.0,0.0,0.0,0.0,221.53405404125536,-0.0,221.53405404125536
t148,0.0,0.0,0.0,0.0,0.0,225.64705001538022,-0.0,225.64705001538022
t149,0.0,0.0,0.0,0.0,0.0,230.02651137419477,-0.0,230.02651137419477
t150,0.0,0.0,0.0,0.0,0.0,234.2194841180339,-0.0,234.2194841180339
t151,0.0,0.0,0.0,0.0,0.0,238.3788739775483,-0.0,238.3788739775483
t152,0.0,0.0,0.0,0.0,0.0,239.83049162955896,-0.0,239.83049162955896
t153,0.0,0.0,0.0,0.0,0.0,241.39357357286787,-0.0,241.39357357286787
t154,0.0,0.0,0.0,0.0,0.0,242.88591878659264,-0.0,242.88591878659264
t155,0.0,0.0,0.0,0.0,0.0,244.09883864655887,-0.0,244.09883864655887
t156,0.0,0.0,0.0,0.0,0.0,245.4475175743035,-0.0,245.4475175743035
t157,0.0,0.0,0.0,0.0,0.0,246.72617318732674,-0.0,246.72617318732674
t158,0.0,0.0,0.0,0.0,0.0,247.2208802220695,-0.0,247.2208802220695
t159,0.0,0.0,0.0,0.0,0.0,247.71773018983933,-0.0,247.71773018983933
t160,0.0,0.0,0.0,0.0,0.0,248.07953684793924,-0.0,248.07953684793924
t161,0.0,0.0,0.0,0.0,0.0,248.53220426096772,-0.0,248.53220426096772
t162,0.0,0.0,0.0,0.0,0.0,248.99484185888036,-0.0,248.99484185888036
t163,0.0,0.0,0.0,0.0,0.0,249.3860931571946,-0.0,249.3860931571946
t164,0.0,0.0,0.0,0.0,0.0,247.64773962069748,-0.0,247.64773962069748
t165,0.0,0.0,0.0,0.0,0.0,245.9979856965132,-0.0,245.9979856965132
t166,0.0,0.0,0.0,0.0,0.0,244.2732080247305,-0.0,244.2732080247305
t167,0.0,0.0,0.0,0.0,0.0,242.57988144448,-0.0,242.57988144448
t168,0.0,0.0,0.0,0.0,0.0,240.87512307090623,-0.0,240.87512307090623
t169,0.0,0.0,0.0,0.0,0.0,239.0281750837987,-0.0,239.0281750837987
t170,0.0,0.0,0.0,0.0,0.0,245.7813158267758,-0.0,245.7813158267758
t171,0.0,0.0,0.0,0.0,0.0,252.5344571099544,-0.0,252.5344571099544
t172,0.0,0.0,0.0,0.0,0.0,259.2061428497027,-0.0,259.2061428497027
t173,0.0,0.0,0.0,0.0,0.0,265.9860434714655,-0.0,265.9860434714655
t174,0.0,0.0,0.0,0.0,0.0,272.753083319521,-0.0,272.753083319521
t175,0.0,0.0,0.0,0.0,0.0,279.3472091842837,-0.0,279.3472091842837
t176,0.0,0.0,0.0,0.0,0.0,281.12875529544567,-0.0,281.12875529544567
t177,0.0,0.0,0.0,0.0,0.0,282.78740427139337,-0.0,282.78740427139337
t178,0.0,0.0,0.0,0.0,0.0,284.4504689257106,-0.0,284.4504689257106
t179,0.0,0.0,0.0,0.0,0.0,286.3219125887792,-0.0,286.3219125887792
t180,0.0,0.0,0.0,0.0,0.0,288.20651439916315,-0.0,288.20651439916315
t181,0.0,0.0,0.0,0.0,0.0,289.9717077870394,-0.0,289.9717077870394
t182,0.0,0.0,0.0,0.0,0.0,295.05494214189,-0.0,295.05494214189
t183,0.0,0.0,0.0,0.0,0.0,300.36682229538343,-0.0,300.36682229538343
t184,0.0,0.0,0.0,0.0,0.0,305.49435734300704,-0.0,305.49435734300704
t185,0.0,0.0,0.0,0.0,0.0,310.7175849327147,-0.0,310.7175849327147
t186,0.0,0.0,0.0,0.0,0.0,315.94367059835105,-0.0,315.94367059835105
t187,0.0,0.0,0.0,0.0,0.0,321.1047351886356,-0.0,321.1047351886356
t188,0.0,0.0,0.0,0.0,0.0,313.14333889197496,-0.0,313.14333889197496
t189,0.0,0.0,0.0,0.0,0.0,305.10406012760023,-0.0,305.10406012760023
t190,0.0,0.0,0.0,0.0,0.0,296.93759764621274,-0.0,296.93759764621274
t191,0.0,0.0,0.0,0.0,0.0,288.83650314983794,-0.0,288.83650314983794
t192,0.0,0.0,0.0,0.0,0.0,280.7954281668918,-0.0,280.7954281668918
t193,0.0,0.0,0.0,0.0,0.0,272.589299509251,-0.0,272.589299509251
t194,0.0,0.0,0.0,0.0,0.0,244.7239684515824,-0.0,244.7239684515824
t195,0.0,0.0,0.0,0.0,0.0,216.82648468125828,-0.0,216.82648468125828
t196,0.0,0.0,0.0,0.0,0.0,188.61246874944686,-0.0,188.61246874944686
t197,0.0,0.0,0.0,0.0,0.0,160.4821499748694,-0.0,160.4821499748694
t198,0.0,0.0,0.0,0.0,0.0,132.3754108756167,-0.0,132.3754108756167
t199,0.0,0.0,0.0,0.0,0.0,104.06074640287669,-0.0,104.06074640287669
t200,0.0,0.0,0.0,0.0,0.0,79.04795498801302,-0.0,79.04795498801302
t201,0.0,0.0,0.0,0.0,0.0,53.96013862819941,-0.0,53.96013862819941
t202,0.0,0.0,0.0,0.0,0.0,28.784437151535638,-0.0,28.784437151535638
t203,0.0,0.0,0.0,0.0,0.0,3.554369965923558,-0.0,3.554369965923558
t204,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t208,0.0,0.0,0.0,0.0,6.746555731918789,0.0,0.0,6.746555731918789
t209,0.0,0.0,0.0,0.0,14.426043177051632,0.0,0.0,14.426043177051632
t210,0.0,0.0,0.0,0.0,21.883807838488103,0.0,0.0,21.883807838488103
t211,0.0,0.0,0.0,0.0,29.4265549405873,0.0,0.0,29.4265549405873
t212,0.0,0.0,0.0,0.0,33.84216504772942,0.0,0.0,33.84216504772942
t213,0.0,0.0,0.0,0.0,127.92356853653176,0.0,0.0,127.92356853653176
t214,0.0,0.0,0.0,0.0,42.13217392201373,0.0,0.0,42.13217392201373
t215,0.0,0.0,0.0,0.0,46.415100140655824,0.0,0.0,46.415100140655824
t216,0.0,0.0,0.0,0.0,50.53189295729799,0.0,0.0,50.53189295729799
