Resource,onshore_wind,solar_pv_sat,solar_btm,hydro,battery4,battery8,pumped_hydro
t156,0.0,0.0,0.0,-0.0,69.7082014832272,4718.081373258758,-0.0
t157,0.0,0.0,0.0,-0.0,69.7082014832272,4945.0694525910985,-0.0
t158,0.0,0.0,0.0,-0.0,69.7082014832272,5172.512662395403,-0.0
t159,0.0,0.0,0.0,-0.0,69.7082014832272,5400.412974170055,-0.0
t160,0.0,0.0,0.0,-0.0,69.7082014832272,5628.646148070159,-0.0
t161,0.0,0.0,0.0,-0.0,69.7082014832272,5857.295775990249,-0.0
t162,0.0,0.0,0.0,-0.0,69.7082014832272,6086.371030500419,-0.0
t163,0.0,0.0,0.0,-0.0,69.7082014832272,6315.806236205038,-0.0
t164,0.0,0.0,0.0,-0.0,69.7082014832272,6543.642156656079,-0.0
t165,0.0,0.0,0.0,-0.0,69.7082014832272,6769.960303496871,-0.0
t166,0.0,0.0,0.0,-0.0,69.7082014832272,6994.6916548796235,-0.0
t167,0.0,0.0,0.0,-0.0,69.7082014832272,7217.865145808545,-0.0
t168,0.0,0.0,0.0,-0.0,69.7082014832272,7439.470259033779,-0.0
t169,0.0,0.0,0.0,-0.0,69.7082014832272,7659.376180110874,-0.0
t170,0.0,0.0,0.0,-0.0,69.7082014832272,7885.494990671507,-0.0
t171,0.0,0.0,0.0,-0.0,69.7082014832272,8117.8266912126655,-0.0
t172,0.0,0.0,0.0,-0.0,69.7082014832272,8356.296342634392,-0.0
t173,0.0,0.0,0.0,-0.0,69.7082014832272,8601.00350262814,-0.0
t174,0.0,0.0,0.0,-0.0,69.7082014832272,8851.9363392821,-0.0
t175,0.0,0.0,0.0,-0.0,69.7082014832272,9108.935771731642,-0.0
t176,0.0,0.0,0.0,-0.0,69.7082014832272,9367.574226603452,-0.0
t177,0.0,0.0,0.0,-0.0,69.7082014832272,9627.738638533134,-0.0
t178,0.0,0.0,0.0,-0.0,69.7082014832272,9889.433069944787,-0.0
t179,0.0,0.0,0.0,-0.0,69.7082014832272,10152.849229526464,-0.0
t180,0.0,0.0,0.0,-0.0,69.7082014832272,10417.999222773695,-0.0
t181,0.0,0.0,0.0,-0.0,69.7082014832272,10684.773193937772,-0.0
t182,0.0,0.0,0.0,-0.0,69.7082014832272,10956.22374070831,-0.0
t183,0.0,0.0,0.0,-0.0,69.7082014832272,11232.561217220064,-0.0
t184,0.0,0.0,0.0,-0.0,69.7082014832272,11513.61602597563,-0.0
t185,0.0,0.0,0.0,-0.0,69.7082014832272,11799.476204113727,-0.0
t186,0.0,0.0,0.0,-0.0,69.7082014832272,12090.14438106421,-0.0
