Resource,onshore_wind,solar_pv_sat,hydro,battery,pumped_hydro,Total
t14683,10.213850847778117,0.0,0.0,0.0,0.0,10.213850847778117
t14684,9.970607765100802,0.0,0.0,0.0,0.0,9.970607765100802
t14685,9.727364682423485,0.0,0.0,0.0,0.0,9.727364682423485
t14686,9.48412159974617,0.0,0.0,0.0,0.0,9.48412159974617
t14687,9.240878772082873,0.0,0.0,0.0,0.0,9.240878772082873
t14688,8.997635689405557,0.0,0.0,0.0,0.0,8.997635689405557
t14689,8.75439260672824,0.0,0.0,0.0,0.0,8.75439260672824
t14690,8.756159598871458,0.0,0.0,0.0,0.0,8.756159598871458
t14691,8.757926591014675,0.0,0.0,0.0,0.0,8.757926591014675
t14692,8.759693583157894,0.0,0.0,0.0,0.0,8.759693583157894
t14693,8.761460575301111,0.0,0.0,0.0,0.0,8.761460575301111
t14694,8.763227567444329,0.0,0.0,0.0,0.0,8.763227567444329
t14695,8.764994559587548,0.0,0.0,0.0,0.0,8.764994559587548
t14696,8.766761551730763,0.0,0.0,0.0,0.0,8.766761551730763
t14697,8.768528543873982,0.0,0.0,0.0,0.0,8.768528543873982
t14698,8.770295536017201,0.0,0.0,0.0,0.0,8.770295536017201
t14699,8.772062528160417,0.0,0.0,0.0,0.0,8.772062528160417
t14700,8.773829520303636,0.0,0.0,0.0,0.0,8.773829520303636
t14701,8.775596512446853,0.0,0.0,0.0,0.0,8.775596512446853
t14702,8.87834574124996,0.0,0.0,0.0,0.0,8.87834574124996
t14703,8.981094970053068,0.0,0.0,0.0,0.0,8.981094970053068
t14704,9.083844198856175,0.0,0.0,0.0,0.0,9.083844198856175
t14705,9.186593427659282,0.0,0.0,0.0,0.0,9.186593427659282
t14706,9.28934265646239,0.0,0.0,0.0,0.0,9.28934265646239
t14707,9.392091885265497,0.0,0.0,0.0,0.0,9.392091885265497
t14708,9.494840859054584,0.0,0.0,0.0,0.0,9.494840859054584
t14709,9.597590087857693,0.0,0.0,0.0,0.0,9.597590087857693
t14710,9.700339316660799,0.0,0.0,0.0,0.0,9.700339316660799
t14711,9.803088545463908,0.0,0.0,0.0,0.0,9.803088545463908
t14712,9.905837774267013,0.0,0.0,0.0,0.0,9.905837774267013
t14713,10.008587003070122,0.0,0.0,0.0,0.0,10.008587003070122
t14714,9.980072610445804,0.0,0.0,0.0,0.0,9.980072610445804
t14715,9.951558217821486,0.0,0.0,0.0,0.0,9.951558217821486
