Resource,onshore_wind,solar_pv_sat,hydro,battery,pumped_hydro
t259,0.0,0.0,-0.0,4518.980651518309,-0.0
t260,0.0,0.0,-0.0,4463.545804768309,-0.0
t261,0.0,0.0,-0.0,4408.480587333526,-0.0
t262,0.0,0.0,-0.0,4353.880797463961,-0.0
t263,0.0,0.0,-0.0,4299.643656453091,-0.0
t264,0.0,0.0,-0.0,4245.871668431352,-0.0
t265,0.0,0.0,-0.0,4192.590219942222,-0.0
t266,0.0,0.0,-0.0,4139.702559050917,-0.0
t267,0.0,0.0,-0.0,4087.2134756596133,-0.0
t268,0.0,0.0,-0.0,4035.1244067357,-0.0
t269,0.0,0.0,-0.0,3983.5442243770044,-0.0
t270,0.0,0.0,-0.0,3932.401558866135,-0.0
t271,0.0,0.0,-0.0,3881.6427631813526,-0.0
t272,0.0,0.0,-0.0,3831.297277844396,-0.0
t273,0.0,0.0,-0.0,3781.353128072657,-0.0
t274,0.0,0.0,-0.0,3731.8079189096134,-0.0
t275,0.0,0.0,-0.0,3682.6829646704828,-0.0
t276,0.0,0.0,-0.0,3634.0108367683088,-0.0
t277,0.0,0.0,-0.0,3585.918946887874,-0.0
t278,0.0,0.0,-0.0,3538.287960909613,-0.0
t279,0.0,0.0,-0.0,3491.0220805726567,-0.0
t280,0.0,0.0,-0.0,3444.0216756813525,-0.0
t281,0.0,0.0,-0.0,3397.3220137030917,-0.0
t282,0.0,0.0,-0.0,3350.8272964096136,-0.0
t283,0.0,0.0,-0.0,3304.53896074657,-0.0
t284,0.0,0.0,-0.0,3258.489210616135,-0.0
t285,0.0,0.0,-0.0,3212.6828359313527,-0.0
t286,0.0,0.0,-0.0,3167.0331392900484,-0.0
t287,0.0,0.0,-0.0,3121.6234651596137,-0.0
t288,0.0,0.0,-0.0,3076.458124453092,-0.0
t289,0.0,0.0,-0.0,3031.683958018309,-0.0
t290,0.0,0.0,-0.0,2987.187766018309,-0.0
t291,0.0,0.0,-0.0,2942.8996157248307,-0.0
t292,0.0,0.0,-0.0,2898.7682550726568,-0.0
