Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,geothermal,Total
t17,0.0,0.0,0.0,0.0,0.0,1.6052301686647812e-11,1.421803889440232e-11,1.674576013255249e-11,0.0,4.701610071360262e-11
t18,0.0,0.0,0.0,0.0,0.0,1.6089363364667297e-11,1.4217953702707073e-11,1.6784512056337966e-11,0.0,4.7091829123712336e-11
t19,0.0,0.0,0.0,0.0,0.0,1.6116102018989615e-11,1.4188609604999483e-11,1.6748650800511847e-11,0.0,4.7053362424500945e-11
t20,0.0,0.0,0.0,0.0,0.0,1.613129386496231e-11,1.4127247213001232e-11,1.6714256763698857e-11,0.0,4.69727978416624e-11
t21,0.0,0.0,0.0,0.0,0.0,1.5948256738162804e-11,1.3785066113327253e-11,1.5481613751859616e-11,0.0,4.521493660334967e-11
t22,0.0,0.0,0.0,0.0,0.0,1.5953492622166024e-11,1.3788518418150497e-11,1.5500147133703625e-11,0.0,4.5242158174020146e-11
t23,0.0,0.0,0.0,0.0,0.0,1.5897186037146855e-11,1.376325974239177e-11,1.5635893908790547e-11,0.0,4.529633968832917e-11
t24,0.0,0.0,0.0,0.0,0.0,1.5840152977277243e-11,1.3752510712412294e-11,1.5838750101530458e-11,0.0,4.5431413791219995e-11
t25,0.0,0.0,0.0,0.0,0.0,1.5565996035269294e-11,1.3859960031927537e-11,1.6197424220938564e-11,0.0,4.5623380288135396e-11
t26,0.0,0.0,0.0,0.0,0.0,1.561356774269658e-11,1.3881478771709514e-11,1.493612824312409e-11,0.0,4.4431174757530184e-11
t27,0.0,0.0,0.0,0.0,0.0,1.558483210810233e-11,1.3854717060141212e-11,1.514435888847853e-11,0.0,4.458390805672207e-11
t28,0.0,0.0,0.0,0.0,0.0,1.555097390099989e-11,1.379777425658198e-11,1.5334164513707995e-11,0.0,4.4682912671289865e-11
t29,0.0,0.0,0.0,0.0,0.0,1.5411768821533852e-11,1.3837431212678163e-11,1.5721685613880493e-11,0.0,4.497088564809251e-11
t30,0.0,0.0,0.0,0.0,0.0,1.547244852752556e-11,1.3676623091981418e-11,1.579623177396559e-11,0.0,4.494530339347257e-11
t31,0.0,0.0,0.0,0.0,0.0,1.542486287737348e-11,1.3773153035382908e-11,1.4794847170577846e-11,0.0,4.399286308333423e-11
t32,0.0,0.0,0.0,0.0,0.0,1.539282944562136e-11,1.3718619301848277e-11,1.501270908173461e-11,0.0,4.4124157829204246e-11
t33,0.0,0.0,0.0,0.0,0.0,1.5228194506938814e-11,1.3745914275348403e-11,1.5345270086111338e-11,0.0,4.4319378868398555e-11
t34,0.0,0.0,0.0,0.0,0.0,1.5328540022770936e-11,1.3666458039579843e-11,1.5329307095844365e-11,0.0,4.4324305158195144e-11
t35,0.0,0.0,0.0,0.0,0.0,1.5298075684742536e-11,1.36456663313938e-11,1.5507722521175223e-11,0.0,4.445146453731156e-11
t36,0.0,0.0,0.0,0.0,0.0,1.5287905699308757e-11,1.3634108080563775e-11,1.4863341349337628e-11,0.0,4.378535512921016e-11
t37,0.0,0.0,0.0,0.0,0.0,1.5086511469924516e-11,1.3531869813511625e-11,1.443155444776711e-11,0.0,4.304993573120325e-11
t38,0.0,0.0,0.0,0.0,0.0,1.535312769662629e-11,1.3640330793353876e-11,1.5214676387346324e-11,0.0,4.420813487732649e-11
t39,0.0,0.0,0.0,0.0,0.0,1.538525189287216e-11,1.3613290999841632e-11,1.536066590204811e-11,0.0,4.43592087947619e-11
t40,0.0,0.0,0.0,0.0,0.0,1.540682505723084e-11,1.357521514749308e-11,1.5515997520151743e-11,0.0,4.449803772487566e-11
t41,0.0,0.0,0.0,0.0,0.0,1.5161612857370226e-11,1.3517063636739169e-11,1.4834358868265986e-11,0.0,4.351303536237538e-11
t42,0.0,0.0,0.0,0.0,0.0,1.5421031175569412e-11,1.3637630073345232e-11,1.502037476834138e-11,0.0,4.4079036017256025e-11
t43,0.0,0.0,0.0,0.0,0.0,1.5437452280274024e-11,1.3605428875794162e-11,1.521335689667277e-11,0.0,4.4256238052740956e-11
t44,0.0,0.0,0.0,0.0,0.0,1.543976517447368e-11,1.3582422135970484e-11,1.541486643197714e-11,0.0,4.4437053742421304e-11
t45,0.0,0.0,0.0,0.0,0.0,1.518924619105041e-11,1.3552295009785347e-11,1.5800831152837135e-11,0.0,4.454237235367289e-11
t46,0.0,0.0,0.0,0.0,0.0,1.5403772686218386e-11,1.3765656763998045e-11,1.4786796109804653e-11,0.0,4.395622556002108e-11
t47,0.0,0.0,0.0,0.0,0.0,1.5413067117524007e-11,1.3765787517304356e-11,1.5011708320936577e-11,0.0,4.419056295576494e-11
t48,0.0,0.0,0.0,0.0,0.0,1.5408622411034313e-11,1.37704956606773e-11,1.52163996871768e-11,0.0,4.4395517758888413e-11
t49,0.0,0.0,0.0,0.0,0.0,1.5156990810599994e-11,1.3772770616428412e-11,1.564307238602976e-11,0.0,4.4572833813058166e-11
t50,0.0,0.0,0.0,0.0,0.0,1.5438740677122472e-11,1.3702887012867913e-11,1.5636307868542155e-11,0.0,4.477793555853254e-11
t51,0.0,0.0,0.0,0.0,0.0,1.5488896700455094e-11,1.3857642911599267e-11,1.487826624268613e-11,0.0,4.422480585474049e-11
t52,0.0,0.0,0.0,0.0,0.0,1.5587465250934052e-11,1.3822671404899644e-11,1.511596516734935e-11,0.0,4.452610182318305e-11
