Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,geothermal
t32,0.0,0.0,0.0,0.0,0.0,-0.16304347826200447,-0.1630434782608798,-0.3664016429610031,0.0
t33,0.0,0.0,0.0,0.0,0.0,-0.1630434782620009,-0.1630434782608798,-0.37288533049662476,0.0
t34,0.0,0.0,0.0,0.0,0.0,-0.1630434782619972,-0.16304347826087978,-0.38008109453686334,0.0
t35,0.0,0.0,0.0,0.0,0.0,-0.16304347826199328,-0.16304347826087975,-0.38796044714724215,0.0
t36,0.0,0.0,0.0,0.0,0.0,-0.1630434782619775,-0.16304347826087967,-0.35423499811433234,0.0
t37,0.0,0.0,0.0,0.0,0.0,-0.16304347826197324,-0.16304347826087964,-0.3619046307859495,0.0
t38,0.0,0.0,0.0,0.0,0.0,-0.16304347826196877,-0.16304347826087962,-0.36968374432709505,0.0
t39,0.0,0.0,0.0,0.0,0.0,-0.16304347826196416,-0.1630434782608796,-0.3775413297124859,0.0
t40,0.0,0.0,0.0,0.0,0.0,-0.16304347826195936,-0.1630434782608796,-0.38615138767944657,0.0
t41,0.0,0.0,0.0,0.0,0.0,-0.16304347826194202,-0.1630434782608795,-0.3560878776708838,0.0
t42,0.0,0.0,0.0,0.0,0.0,-0.16304347826193683,-0.16304347826087948,-0.3652813108905735,0.0
t43,0.0,0.0,0.0,0.0,0.0,-0.1630434782619314,-0.16304347826087948,-0.37113831464448055,0.0
t44,0.0,0.0,0.0,0.0,0.0,-0.1630434782619258,-0.16304347826087945,-0.3774289124367392,0.0
t45,0.0,0.0,0.0,0.0,0.0,-0.16304347826192,-0.16304347826087942,-0.3844105858554149,0.0
t46,0.0,0.0,0.0,0.0,0.0,-0.16304347826190085,-0.16304347826087934,-0.359543134938352,0.0
t47,0.0,0.0,0.0,0.0,0.0,-0.1630434782618946,-0.1630434782608793,-0.3665789477196423,0.0
t48,0.0,0.0,0.0,0.0,0.0,-0.16304347826188811,-0.16304347826087928,-0.37332747790390075,0.0
t49,0.0,0.0,0.0,0.0,0.0,-0.1630434782618814,-0.16304347826087925,-0.3801028172441069,0.0
t50,0.0,0.0,0.0,0.0,0.0,-0.16304347826187446,-0.16304347826087925,-0.3873508114980369,0.0
t51,0.0,0.0,0.0,0.0,0.0,-0.16304347826185325,-0.16304347826087912,-0.3632906962485783,0.0
t52,0.0,0.0,0.0,0.0,0.0,-0.16304347826184581,-0.1630434782608791,-0.37012963129823845,0.0
t53,0.0,0.0,0.0,0.0,0.0,-0.1630434782618381,-0.16304347826087906,-0.3767188168562278,0.0
t54,0.0,0.0,0.0,0.0,0.0,-0.1630434782618301,-0.16304347826087903,-0.3835307111213153,0.0
t55,0.0,0.0,0.0,0.0,0.0,-0.1630434782618218,-0.16304347826087903,-0.3907761258568226,0.0
