BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t61,31.729615193318896,10.428646486726596,-4.55007358082886e-11,0.0,0.0,0.0,7.564794172576364e-16,0.0,0.0,-42.15826168
t62,31.710250144446583,10.888202905599254,-4.5830114526081997e-11,0.0,0.0,0.0,6.404540200072461e-16,0.0,0.0,-42.59845305
t63,31.715342708723842,11.270421081322333,-4.6166049264921026e-11,0.0,0.0,0.0,6.472448166909271e-16,0.0,0.0,-42.98576379
t64,31.7213346810558,11.680383528990692,-4.6484637595598565e-11,0.0,0.0,0.0,0.0,0.0,0.0,-43.40171821
t65,31.75527797700236,12.04458366304471,-4.706666881437781e-11,0.0,0.0,0.0,0.0,0.0,0.0,-43.79986164
t66,31.732340715099784,12.558646154946166,-4.594860395147756e-11,0.0,0.0,0.0,0.0,0.0,0.0,-44.29098687
t67,31.736945335570393,13.159741494475986,-4.6373960684018786e-11,0.0,0.0,0.0,0.0,0.0,0.0,-44.89668683
t68,31.743186484930586,13.74794064511603,-4.6602071838809e-11,0.0,0.0,0.0,0.0,0.0,0.0,-45.49112713
t69,31.776915818669877,14.239466091376991,-4.686300271972323e-11,0.0,0.0,0.0,0.0,0.0,0.0,-46.01638191
t70,31.753369781887006,14.888740148160132,-4.7142510614528316e-11,0.0,0.0,0.0,0.0,0.0,0.0,-46.64210993
t71,31.75454397842366,15.497704341622526,-4.617751920110985e-11,0.0,0.0,0.0,0.0,0.0,0.0,-47.25224832
t72,31.759245873976766,16.171004326069664,-4.6425586691520135e-11,0.0,0.0,0.0,0.0,0.0,0.0,-47.9302502
t73,31.790744088401947,17.099538061644992,-4.694812332575744e-11,0.0,0.0,0.0,0.0,0.0,0.0,-48.89028215
t74,31.76489652922461,17.979584590822626,-4.7230398145981544e-11,0.0,0.0,0.0,0.0,0.0,0.0,-49.74448112
t75,31.763432572353263,18.655012667694244,-4.751644258063696e-11,0.0,0.0,0.0,0.0,0.0,0.0,-50.41844524
t76,31.766276679087056,19.279862100959534,-4.6578556936217986e-11,0.0,0.0,0.0,0.0,0.0,0.0,-51.04613878
t77,31.793309427345502,19.745479142701345,-4.6840672456693024e-11,0.0,0.0,0.0,0.0,0.0,0.0,-51.53878857
t78,31.766540551556254,20.19042424849077,-4.703440176363318e-11,0.0,0.0,0.0,0.0,0.0,0.0,-51.9569648
t79,31.768067407448644,20.81198610259851,-4.7157805505764814e-11,0.0,0.0,0.0,0.0,0.0,0.0,-52.58005351
t80,32.37858212975359,20.716428790292824,-4.641890185724753e-11,0.0,0.0,0.0,0.0,0.0,0.0,-53.09501092
t81,32.952979558086454,20.457364351957324,-4.3764634828129995e-11,0.0,0.0,0.0,0.0,0.0,0.0,-53.41034391
t82,33.49407145648047,20.2888927835639,-4.4375252885361426e-11,0.0,0.0,0.0,0.0,0.0,0.0,-53.78296424
t83,34.0553602035323,20.02203436651437,-4.66536202966787e-11,0.0,0.0,0.0,0.0,0.0,0.0,-54.07739457
t84,34.615492070562574,19.762942889483952,-4.650481004944836e-11,0.0,0.0,0.0,0.0,0.0,0.0,-54.37843496
t85,35.159358853301015,19.986788136744693,-4.570952138683672e-11,0.0,0.0,0.0,0.0,0.0,0.0,-55.14614699
t86,46.32528829005592,9.461607749988996,-4.4919724172438265e-11,0.0,0.0,0.0,0.0,0.0,0.0,-55.78689604
t87,54.415532146969014,1.5745256331022421,-7.123281849520515e-11,0.0,0.0,0.0,0.0,0.0,0.0,-55.99005778
t88,55.007744786757,1.1519836733164823,-7.348743301063411e-11,0.0,0.0,0.0,0.0,0.0,0.0,-56.15972846
t89,55.67489697036794,0.508516179704208,-7.215578396415318e-11,0.0,0.0,0.0,0.0,0.0,0.0,-56.18341315
t90,56.2757691551114,0.06044558495820302,-6.959863817025869e-11,0.0,0.0,0.0,0.0,0.0,0.0,-56.33621474
t91,56.76388740209577,3.832743669037053e-11,-0.23961732213409742,0.0,0.0,0.0,0.0,0.0,0.0,-56.52427008
t92,57.33220131747362,3.878290729942868e-11,-0.6396365675123916,0.0,0.0,0.0,0.0,0.0,0.0,-56.69256475
t93,57.86145390187443,3.968896210470463e-11,-1.1530669719141031,0.0,0.0,0.0,0.0,0.0,0.0,-56.70838693
t94,58.3350990896849,4.0456917117823586e-11,-1.6355676197253444,0.0,0.0,0.0,6.740674197981163e-16,0.0,0.0,-56.69953147
t95,58.86818664211846,4.0827181273849875e-11,-2.1151790121592846,0.0,0.0,0.0,0.0,0.0,0.0,-56.75300763
t96,59.418829384756265,4.181618090518965e-11,-2.700479974798083,0.0,0.0,0.0,0.0,0.0,0.0,-56.71834941
t97,60.1094383615397,4.160222301493592e-11,-3.159140601581323,0.0,0.0,0.0,0.0,0.0,0.0,-56.95029776
