Constraint,CapRes_1
t341,2.2390199099442353e-15
t342,2.24436261305595e-15
t343,2.2496904589495485e-15
t344,2.2524615008263137e-15
t345,2.2535690989124127e-15
t346,2.2557601198142854e-15
t347,2.2617969076611548e-15
t348,2.269267826685568e-15
t349,2.283494877587453e-15
t350,2.2967359996780223e-15
t351,2.3072922195635896e-15
t352,2.3192849901830224e-15
t353,2.3292422877483763e-15
t354,2.3418785675001743e-15
t355,2.3605690877862683e-15
t356,2.380661142341188e-15
t357,2.397000634400874e-15
t358,2.422514595848985e-15
t359,2.44497403616143e-15
t360,2.4720957367119075e-15
t361,2.5131754742582285e-15
t362,2.540240843030818e-15
t363,2.5583081312395536e-15
t364,2.5723481721629044e-15
t365,2.5796925957613567e-15
t366,2.579988837940631e-15
t367,2.59410898338492e-15
t368,2.6392814066211706e-15
t369,2.6741183035136425e-15
t370,2.7171601554643663e-15
t371,2.7594168689262798e-15
t372,2.7933444830181887e-15
t373,2.8569427461777446e-15
t374,3.3046516245866052e-15
t375,3.848667869619842e-15
t376,4.6210512885195986e-15
t377,5.6411091764156e-15
t378,7.0299952066178475e-15
t379,8.552723784024356e-15
t380,1.4810119246570766e-14
t381,4.1533536149537926e-14
t382,5.631296209539323e-14
t383,5.963069003657476e-14
t384,6.083997392221466e-14
t385,6.162429347951699e-14
t386,6.110987676414207e-14
t387,5.975513332533974e-14
t388,5.688064690170607e-14
t389,4.835170596651054e-14
t390,2.1940116217812937e-14
t391,1.0126123125702115e-14
t392,5.160517629909632e-14
t393,5.9500148825415e-14
t394,6.103074035507129e-14
t395,6.166615423226923e-14
t396,6.197095039119471e-14
t397,6.225639014705985e-14
t398,6.197163912292136e-14
t399,6.157668982787941e-14
t400,6.10777027832853e-14
t401,5.999885218237168e-14
t402,5.718146309761799e-14
t403,3.656111005786258e-14
t404,4.955233171637807e-14
t405,5.447533242807242e-14
t406,5.6774070121257324e-14
t407,5.809581167782367e-14
t408,5.896635444802917e-14
t409,5.958142937433915e-14
t410,6.01778161702843e-14
t411,6.044044640079083e-14
t412,6.065565894983892e-14
t413,6.070628691043807e-14
t414,6.071821475820381e-14
t415,6.072553857997847e-14
t416,6.056579679517022e-14
t417,6.053406773839265e-14
t418,6.044256111644376e-14
t419,6.036295508857487e-14
t420,6.035416420626314e-14
t421,6.021878116593404e-14
t422,6.013821018945553e-14
t423,6.00093787537987e-14
t424,5.990143129259005e-14
t425,5.974951549262859e-14
t426,5.95893643811057e-14
t427,5.946704225783408e-14
t428,5.95557627156792e-14
t429,5.957616916864965e-14
t430,5.965353687916191e-14
t431,5.962207982436738e-14
t432,5.969351114358607e-14
t433,5.969052215572525e-14
t434,5.960020802057737e-14
t435,5.949619500509252e-14
